date,team,player_acquired,player_relinquished,notes,category,source_page
2021-01-07,CON,Natisha Hiedeman,,The Connecticut Sun signed Natisha Hiedeman to a training camp contract.,signing,bbref_transactions_2021.html
2021-01-07,CHI,,Kiah Gillespie,The Chicago Sky waived Kiah Gillespie.,waiver,bbref_transactions_2021.html
2021-01-08,MIN,Bridget Carleton,,The Minnesota Lynx signed Bridget Carleton to a training camp contract.,signing,bbref_transactions_2021.html
2021-01-08,WAS,Jacki Gemelos,,The Washington Mystics signed Jacki Gemelos to a training camp contract.,signing,bbref_transactions_2021.html
2021-01-08,WAS,Stella Johnson,,The Washington Mystics signed Stella Johnson to a training camp contract.,signing,bbref_transactions_2021.html
2021-01-08,WAS,Sug Sutton,,The Washington Mystics signed Sug Sutton to a training camp contract.,signing,bbref_transactions_2021.html
2021-01-09,CHI,,Maria Conde,The Chicago Sky suspended the contract of Maria Conde.,contract_suspension,bbref_transactions_2021.html
2021-01-10,CON,Beatrice Mompremier,,The Connecticut Sun signed Beatrice Mompremier to a training camp contract.,signing,bbref_transactions_2021.html
2021-01-11,LAS,Te'a Cooper,,The Los Angeles Sparks signed Te'a Cooper to a training camp contract.,signing,bbref_transactions_2021.html
2021-01-12,LVA,Emma Cannon,,The Las Vegas Aces signed Emma Cannon to a training camp contract.,signing,bbref_transactions_2021.html
2021-01-12,LVA,Lindsay Allen,,The Las Vegas Aces signed Lindsay Allen to a training camp contract.,signing,bbref_transactions_2021.html
2021-01-12,PHO,Shey Peddy,,The Phoenix Mercury signed Shey Peddy to a training camp contract.,signing,bbref_transactions_2021.html
2021-01-23,PHO,Nia Coffey,,The Phoenix Mercury signed Nia Coffey.,signing,bbref_transactions_2021.html
2021-02-01,ATL,Cheyenne Parker,,The Atlanta Dream signed Cheyenne Parker to a multi-year contract.,signing,bbref_transactions_2021.html
2021-02-01,CHI,Candace Parker,,The Chicago Sky signed Candace Parker to a multi-year contract.,signing,bbref_transactions_2021.html
2021-02-01,CON,Kamiah Smalls,,The Connecticut Sun signed Kamiah Smalls to a training camp contract.,signing,bbref_transactions_2021.html
2021-02-01,DAL,Allisha Gray,,The Dallas Wings signed Allisha Gray to a multi-year contract.,signing,bbref_transactions_2021.html
2021-02-01,IND,Jantel Lavender,,The Indiana Fever signed Jantel Lavender to a multi-year contract.,signing,bbref_transactions_2021.html
2021-02-01,LVA,Dearica Hamby,,The Las Vegas Aces signed Dearica Hamby to a contract extension.,signing,bbref_transactions_2021.html
2021-02-01,MIN,Kayla McBride,,The Minnesota Lynx signed Kayla McBride to a multi-year contract.,signing,bbref_transactions_2021.html
2021-02-01,MIN,Natalie Achonwa,,The Minnesota Lynx signed Natalie Achonwa to a multi-year contract.,signing,bbref_transactions_2021.html
2021-02-01,PHO,Diana Taurasi,,The Phoenix Mercury signed Diana Taurasi to a multi-year contract.,signing,bbref_transactions_2021.html
2021-02-01,SEA,Epiphanny Prince,,The Seattle Storm signed Epiphanny Prince to a multi-year contract.,signing,bbref_transactions_2021.html
2021-02-01,WAS,Alysha Clark,,The Washington Mystics signed Alysha Clark to a multi-year contract.,signing,bbref_transactions_2021.html
2021-02-02,CON,Alyssa Thomas,,The Connecticut Sun signed Alyssa Thomas to a multi-year contract.,signing,bbref_transactions_2021.html
2021-02-02,LAS,Erica Wheeler,,The Los Angeles Sparks signed Erica Wheeler to a multi-year contract.,signing,bbref_transactions_2021.html
