season,kind,games,gamelog_games,gamelog_player_rows,team_box_real,team_box_derived,misc_games,advanced_games,dnp_rows_preserved,master_player_rows
2021,Playoffs,17,17,320,17,0,17,17,51,371
2021,Regular Season,192,192,3565,192,0,192,192,639,4204
2022,Playoffs,23,23,423,23,0,23,23,91,514
2022,Regular Season,216,216,4096,216,0,216,216,651,4747
2023,Playoffs,20,20,354,20,0,20,20,64,418
2023,Regular Season,240,240,4544,240,0,240,240,787,5331
2024,Playoffs,22,22,399,22,0,22,22,118,517
2024,Regular Season,240,240,4515,240,0,240,240,845,5360
2025,Playoffs,24,24,446,24,0,24,24,122,568
2025,Regular Season,286,286,5407,286,0,286,286,1096,6503
2026,Regular Season,232,232,4591,232,0,232,232,999,5590
