game_id,season,season_type,game_date,team_id,team_abbreviation,opp_team_id,opp_team_abbreviation,is_home,wl,minutes,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,points_paint,points_fast_break,points_second_chance,points_off_turnovers,fouls_drawn,opp_fgm,opp_fga,opp_fg_pct,opp_fg3m,opp_fg3a,opp_fg3_pct,opp_ftm,opp_fta,opp_ft_pct,opp_oreb,opp_dreb,opp_reb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_plus_minus,opp_points_paint,opp_points_fast_break,opp_points_second_chance,opp_points_off_turnovers,opp_fouls_drawn,box_source,opp_box_source,in_misc,era,source,observed_time
1022100001,2021,Regular Season,2021-05-14,1611661313,NYL,1611661325,IND,1,W,200.0,31,66,0.47,13,26,0.5,15,18,0.833,3,25,28,20,5,2,14,20,90,3,26,13,5,15,21,37,88,0.42,3,18,0.167,10,13,0.769,19,26,45,14,6,3,12,21,87,-3,50,16,22,20,20,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100001.parquet,2026-07-31T20:42:42+00:00
1022100001,2021,Regular Season,2021-05-14,1611661325,IND,1611661313,NYL,0,L,200.0,37,88,0.42,3,18,0.167,10,13,0.769,19,26,45,14,6,3,12,21,87,-3,50,16,22,20,20,31,66,0.47,13,26,0.5,15,18,0.833,3,25,28,20,5,2,14,20,90,3,26,13,5,15,21,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100001.parquet,2026-07-31T20:42:42+00:00
1022100002,2021,Regular Season,2021-05-14,1611661323,CON,1611661330,ATL,0,W,200.0,27,61,0.443,10,23,0.435,14,22,0.636,12,30,42,20,7,4,21,21,78,11,28,10,13,15,17,23,64,0.359,3,18,0.167,18,21,0.857,8,18,26,14,14,7,14,17,67,-11,28,9,9,18,21,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100002.parquet,2026-07-31T20:42:42+00:00
1022100002,2021,Regular Season,2021-05-14,1611661330,ATL,1611661323,CON,1,L,200.0,23,64,0.359,3,18,0.167,18,21,0.857,8,18,26,14,14,7,14,17,67,-11,28,9,9,18,21,27,61,0.443,10,23,0.435,14,22,0.636,12,30,42,20,7,4,21,21,78,11,28,10,13,15,17,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100002.parquet,2026-07-31T20:42:42+00:00
1022100003,2021,Regular Season,2021-05-14,1611661317,PHO,1611661324,MIN,0,W,200.0,31,75,0.413,4,20,0.2,11,19,0.579,11,31,42,20,6,9,11,16,77,2,46,17,9,17,21,29,72,0.403,5,16,0.313,12,14,0.857,6,30,36,16,5,6,14,21,75,-2,32,11,20,10,16,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100003.parquet,2026-07-31T20:42:42+00:00
1022100003,2021,Regular Season,2021-05-14,1611661324,MIN,1611661317,PHO,1,L,200.0,29,72,0.403,5,16,0.313,12,14,0.857,6,30,36,16,5,6,14,21,75,-2,32,11,20,10,16,31,75,0.413,4,20,0.2,11,19,0.579,11,31,42,20,6,9,11,16,77,2,46,17,9,17,21,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100003.parquet,2026-07-31T20:42:42+00:00
1022100004,2021,Regular Season,2021-05-14,1611661320,LAS,1611661321,DAL,1,L,200.0,28,78,0.359,7,28,0.25,8,14,0.571,6,19,25,15,12,3,15,17,71,-23,34,8,14,23,17,34,64,0.531,8,17,0.471,18,22,0.818,8,37,45,19,8,3,27,17,94,23,42,22,8,21,17,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100004.parquet,2026-07-31T20:42:42+00:00
1022100004,2021,Regular Season,2021-05-14,1611661321,DAL,1611661320,LAS,0,W,200.0,34,64,0.531,8,17,0.471,18,22,0.818,8,37,45,19,8,3,27,17,94,23,42,22,8,21,17,28,78,0.359,7,28,0.25,8,14,0.571,6,19,25,15,12,3,15,17,71,-23,34,8,14,23,17,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100004.parquet,2026-07-31T20:42:42+00:00
1022100005,2021,Regular Season,2021-05-15,1611661322,WAS,1611661329,CHI,1,L,200.0,18,72,0.25,4,30,0.133,16,19,0.842,14,30,44,10,10,4,16,20,56,-14,20,4,11,17,20,22,60,0.367,8,17,0.471,18,21,0.857,3,33,36,21,7,2,15,20,70,14,26,9,6,19,20,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100005.parquet,2026-07-31T20:42:42+00:00
1022100005,2021,Regular Season,2021-05-15,1611661329,CHI,1611661322,WAS,0,W,200.0,22,60,0.367,8,17,0.471,18,21,0.857,3,33,36,21,7,2,15,20,70,14,26,9,6,19,20,18,72,0.25,4,30,0.133,16,19,0.842,14,30,44,10,10,4,16,20,56,-14,20,4,11,17,20,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100005.parquet,2026-07-31T20:42:42+00:00
1022100006,2021,Regular Season,2021-05-15,1611661319,LVA,1611661328,SEA,0,L,200.0,35,80,0.438,3,12,0.25,10,12,0.833,6,27,33,22,4,4,6,13,83,-14,48,10,12,15,11,37,73,0.507,12,27,0.444,11,15,0.733,6,38,44,23,4,5,11,11,97,14,38,19,6,10,13,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100006.parquet,2026-07-31T20:42:42+00:00
1022100006,2021,Regular Season,2021-05-15,1611661328,SEA,1611661319,LVA,1,W,200.0,37,73,0.507,12,27,0.444,11,15,0.733,6,38,44,23,4,5,11,11,97,14,38,19,6,10,13,35,80,0.438,3,12,0.25,10,12,0.833,6,27,33,22,4,4,6,13,83,-14,48,10,12,15,11,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100006.parquet,2026-07-31T20:42:42+00:00
1022100007,2021,Regular Season,2021-05-16,1611661313,NYL,1611661325,IND,0,W,200.0,26,65,0.4,9,25,0.36,12,15,0.8,5,33,38,17,9,3,23,22,73,8,30,6,6,18,24,25,77,0.325,3,21,0.143,12,19,0.632,9,31,40,15,8,4,21,24,65,-8,28,4,11,15,22,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100007.parquet,2026-07-31T20:42:42+00:00
1022100007,2021,Regular Season,2021-05-16,1611661325,IND,1611661313,NYL,1,L,200.0,25,77,0.325,3,21,0.143,12,19,0.632,9,31,40,15,8,4,21,24,65,-8,28,4,11,15,22,26,65,0.4,9,25,0.36,12,15,0.8,5,33,38,17,9,3,23,22,73,8,30,6,6,18,24,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100007.parquet,2026-07-31T20:42:42+00:00
1022100008,2021,Regular Season,2021-05-16,1611661317,PHO,1611661323,CON,0,L,200.0,25,57,0.439,8,25,0.32,20,24,0.833,4,23,27,20,6,7,17,24,78,-8,24,8,10,17,21,28,66,0.424,8,17,0.471,22,27,0.815,10,24,34,15,8,3,13,21,86,8,30,2,24,25,24,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100008.parquet,2026-07-31T20:42:42+00:00
1022100008,2021,Regular Season,2021-05-16,1611661323,CON,1611661317,PHO,1,W,200.0,28,66,0.424,8,17,0.471,22,27,0.815,10,24,34,15,8,3,13,21,86,8,30,2,24,25,24,25,57,0.439,8,25,0.32,20,24,0.833,4,23,27,20,6,7,17,24,78,-8,24,8,10,17,21,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100008.parquet,2026-07-31T20:42:42+00:00
1022100009,2021,Regular Season,2021-05-18,1611661313,NYL,1611661324,MIN,1,W,200.0,30,67,0.448,12,27,0.444,14,16,0.875,3,37,40,24,4,4,17,17,86,11,30,4,12,9,18,28,74,0.378,3,23,0.13,16,20,0.8,8,28,36,18,8,4,10,18,75,-11,38,2,14,14,17,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100009.parquet,2026-07-31T20:42:42+00:00
1022100009,2021,Regular Season,2021-05-18,1611661324,MIN,1611661313,NYL,0,L,200.0,28,74,0.378,3,23,0.13,16,20,0.8,8,28,36,18,8,4,10,18,75,-11,38,2,14,14,17,30,67,0.448,12,27,0.444,14,16,0.875,3,37,40,24,4,4,17,17,86,11,30,4,12,9,18,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100009.parquet,2026-07-31T20:42:42+00:00
