snapshot_utc,commence_time,home_team,away_team,bookmaker,market,outcome,point,price
20260730T150132Z,2026-07-31T00:10:00Z,Chicago Sky,Connecticut Sun,draftkings,h2h,Chicago Sky,,-207
20260730T150132Z,2026-07-31T00:10:00Z,Chicago Sky,Connecticut Sun,draftkings,h2h,Connecticut Sun,,169
20260730T150132Z,2026-07-31T00:10:00Z,Chicago Sky,Connecticut Sun,draftkings,spreads,Chicago Sky,-4.5,-117
20260730T150132Z,2026-07-31T00:10:00Z,Chicago Sky,Connecticut Sun,draftkings,spreads,Connecticut Sun,4.5,-104
20260730T150132Z,2026-07-31T00:10:00Z,Chicago Sky,Connecticut Sun,draftkings,totals,Over,176.5,-114
20260730T150132Z,2026-07-31T00:10:00Z,Chicago Sky,Connecticut Sun,draftkings,totals,Under,176.5,-106
20260730T150132Z,2026-07-31T00:10:00Z,Chicago Sky,Connecticut Sun,fanatics,h2h,Chicago Sky,,-205
20260730T150132Z,2026-07-31T00:10:00Z,Chicago Sky,Connecticut Sun,fanatics,h2h,Connecticut Sun,,170
20260730T150132Z,2026-07-31T00:10:00Z,Chicago Sky,Connecticut Sun,fanatics,spreads,Chicago Sky,-4.5,-115
20260730T150132Z,2026-07-31T00:10:00Z,Chicago Sky,Connecticut Sun,fanatics,spreads,Connecticut Sun,4.5,-105
20260730T150132Z,2026-07-31T00:10:00Z,Chicago Sky,Connecticut Sun,fanatics,totals,Over,177.0,-110
20260730T150132Z,2026-07-31T00:10:00Z,Chicago Sky,Connecticut Sun,fanatics,totals,Under,177.0,-110
20260730T150132Z,2026-07-31T00:10:00Z,Chicago Sky,Connecticut Sun,mybookieag,h2h,Chicago Sky,,-206
20260730T150132Z,2026-07-31T00:10:00Z,Chicago Sky,Connecticut Sun,mybookieag,h2h,Connecticut Sun,,165
20260730T150132Z,2026-07-31T00:10:00Z,Chicago Sky,Connecticut Sun,mybookieag,spreads,Chicago Sky,-5.0,-110
20260730T150132Z,2026-07-31T00:10:00Z,Chicago Sky,Connecticut Sun,mybookieag,spreads,Connecticut Sun,5.0,-110
20260730T150132Z,2026-07-31T00:10:00Z,Chicago Sky,Connecticut Sun,mybookieag,totals,Over,176.5,-110
20260730T150132Z,2026-07-31T00:10:00Z,Chicago Sky,Connecticut Sun,mybookieag,totals,Under,176.5,-110
20260730T150132Z,2026-07-31T00:10:00Z,Chicago Sky,Connecticut Sun,fanduel,h2h,Chicago Sky,,-205
20260730T150132Z,2026-07-31T00:10:00Z,Chicago Sky,Connecticut Sun,fanduel,h2h,Connecticut Sun,,164
20260730T150132Z,2026-07-31T00:10:00Z,Chicago Sky,Connecticut Sun,fanduel,spreads,Chicago Sky,-4.5,-115
20260730T150132Z,2026-07-31T00:10:00Z,Chicago Sky,Connecticut Sun,fanduel,spreads,Connecticut Sun,4.5,-105
20260730T150132Z,2026-07-31T00:10:00Z,Chicago Sky,Connecticut Sun,fanduel,totals,Over,176.5,-110
