player_id,player_name,off_poss,def_poss,total_poss,minutes_2021_24,orapm_100,drapm_100,net_100,lambda_chosen,net_100_lam500,net_100_lam1000,net_100_lam2000,net_100_lam5000
1627673,Jonquel Jones,7912,7851,15763,4033.1,3.2,2.701,5.901,5000,10.518,9.284,7.868,5.901
1627668,Breanna Stewart,9185,9171,18356,4594.3,4.128,1.749,5.878,5000,10.932,9.632,8.08,5.878
203400,Skylar Diggins,7311,7307,14618,3705.1,3.084,2.12,5.204,5000,12.311,10.382,8.175,5.204
1628280,Brionna Jones,6729,6749,13478,3486.4,2.205,2.651,4.856,5000,10.14,8.682,7.023,4.856
201496,Candace Parker,4548,4535,9083,2268.5,1.817,2.463,4.28,5000,8.918,7.783,6.353,4.28
1628276,Kelsey Plum,9239,9235,18474,4545.1,4.057,0.197,4.253,5000,8.179,6.941,5.726,4.253
203833,Chelsea Gray,8320,8299,16619,4096.0,2.75,1.487,4.237,5000,7.752,6.804,5.727,4.237
202664,Courtney Vandersloot,8097,8095,16192,4048.6,1.588,2.64,4.228,5000,6.12,5.712,5.209,4.228
201886,DeWanna Bonner,8984,8947,17931,4627.2,2.119,1.928,4.046,5000,6.98,6.248,5.368,4.046
1629498,Jackie Young,9656,9662,19318,4740.9,3.266,0.451,3.716,5000,5.431,4.962,4.475,3.716
203399,Elena Delle Donne,2697,2686,5383,1379.2,1.916,1.786,3.701,5000,8.634,7.393,5.853,3.701
1628932,A'ja Wilson,9762,9764,19526,4796.6,2.465,1.16,3.625,5000,5.695,5.127,4.484,3.625
203826,Alyssa Thomas,7888,7865,15753,4023.7,1.63,1.85,3.48,5000,7.16,6.264,5.078,3.48
204319,Jewell Loyd,9410,9387,18797,4677.0,1.465,1.889,3.354,5000,9.727,7.644,5.591,3.354
201516,Allie Quigley,3693,3685,7378,1856.8,2.879,0.474,3.354,5000,8.023,6.748,5.288,3.354
1630149,Satou Sabally,4950,4954,9904,2455.0,2.956,0.34,3.295,5000,9.021,7.495,5.678,3.295
1629483,Napheesa Collier,7011,7003,14014,3547.9,1.782,1.478,3.26,5000,7.378,6.277,4.982,3.26
1628277,Allisha Gray,8661,8655,17316,4384.9,1.463,1.286,2.749,5000,6.639,5.714,4.524,2.749
203825,Kayla McBride,8723,8721,17444,4412.0,1.601,1.101,2.701,5000,6.883,5.714,4.391,2.701
1630142,Leonie Fiebich,1652,1641,3293,837.4,0.809,1.671,2.481,5000,8.217,6.322,4.431,2.481
1641648,Aliyah Boston,4916,4909,9825,2485.2,2.958,-0.536,2.422,5000,8.924,6.907,4.803,2.422
1628878,Ariel Atkins,7647,7628,15275,3874.4,1.69,0.669,2.359,5000,6.454,5.311,4.024,2.359
1629501,Alanna Smith,4539,4550,9089,2300.6,0.477,1.807,2.284,5000,5.936,4.864,3.698,2.284
1629479,Teaira McCowan,6378,6363,12741,3236.3,2.689,-0.411,2.278,5000,6.569,5.424,4.062,2.278
1631022,Shakira Austin,2842,2850,5692,1454.4,0.43,1.726,2.156,5000,3.355,3.258,2.958,2.156
202252,Alysha Clark,5201,5215,10416,2613.8,0.385,1.761,2.147,5000,4.119,3.392,2.789,2.147
1642291,Angel Reese,2175,2170,4345,1103.8,0.396,1.601,1.996,5000,10.12,7.27,4.583,1.996
1629524,Bridget Carleton,5844,5841,11685,2976.0,0.094,1.87,1.963,5000,4.092,3.423,2.785,1.963
203014,Nneka Ogwumike,7849,7818,15667,3933.8,0.93,0.973,1.902,5000,3.739,3.431,2.888,1.902
203398,Brittney Griner,6008,6004,12012,3086.0,2.056,-0.215,1.841,5000,5.519,4.447,3.294,1.841
203416,Emma Meesseman,2054,2061,4115,1029.6,1.707,0.132,1.838,5000,4.617,3.77,2.89,1.838
1629477,Sabrina Ionescu,8857,8842,17699,4451.7,2.924,-1.096,1.829,5000,4.595,3.708,2.815,1.829
1629497,Marina Mabrey,8189,8195,16384,4145.6,2.31,-0.486,1.823,5000,4.13,3.599,2.905,1.823
100720,Sue Bird,3383,3362,6745,1686.6,1.367,0.42,1.787,5000,3.031,2.833,2.479,1.787
203406,Layshia Clarendon,3129,3112,6241,1575.2,0.929,0.678,1.607,5000,4.734,3.747,2.776,1.607
203024,Damiris Dantas,2070,2080,4150,1043.2,1.03,0.464,1.494,5000,4.229,3.397,2.535,1.494
204333,Natasha Cloud,8662,8647,17309,4381.3,0.381,1.039,1.42,5000,4.51,3.52,2.539,1.42
1627675,Courtney Williams,8542,8536,17078,4316.2,0.786,0.634,1.419,5000,2.874,2.344,1.92,1.419
1631007,Veronica Burton,2938,2938,5876,1496.1,0.771,0.581,1.353,5000,3.034,2.503,1.996,1.353
1628279,Brittney Sykes,6971,7006,13977,3531.1,-0.169,1.515,1.346,5000,6.037,4.555,3.026,1.346
1631009,Rhyne Howard,6711,6703,13414,3366.8,0.574,0.739,1.313,5000,5.427,4.136,2.819,1.313
1628317,Karlie Samuelson,3606,3574,7180,1816.0,0.176,1.126,1.302,5000,5.8,4.316,2.839,1.302
202658,Danielle Robinson,4192,4178,8370,2080.5,0.247,1.029,1.276,5000,8.056,5.659,3.443,1.276
