season,season_type,zone,fga,fgm,pts,attempt_share,fg_pct,pps,pts_value
2021,Playoffs,Above the Break 3,657,232,696,0.275472,0.353120,1.059361,3
2021,Playoffs,Backcourt,1,0,0,0.000419,0.000000,0.000000,3
2021,Playoffs,Corner 3,86,33,99,0.036059,0.383721,1.151163,3
2021,Playoffs,In The Paint (Non-RA),445,171,342,0.186583,0.384270,0.768539,2
2021,Playoffs,Mid-Range,430,168,336,0.180294,0.390698,0.781395,2
2021,Playoffs,Restricted Area,766,449,898,0.321174,0.586162,1.172324,2
2021,Regular Season,Above the Break 3,7369,2515,7545,0.280521,0.341295,1.023884,3
2021,Regular Season,Backcourt,57,0,0,0.002170,0.000000,0.000000,3
2021,Regular Season,Corner 3,701,275,825,0.026685,0.392297,1.176890,3
2021,Regular Season,In The Paint (Non-RA),5273,2116,4232,0.200731,0.401290,0.802579,2
2021,Regular Season,Mid-Range,5472,2002,4004,0.208306,0.365863,0.731725,2
2021,Regular Season,Restricted Area,7397,4505,9010,0.281587,0.609031,1.218061,2
2022,Playoffs,Above the Break 3,851,292,876,0.271105,0.343126,1.029377,3
2022,Playoffs,Backcourt,6,1,3,0.001911,0.166667,0.500000,3
2022,Playoffs,Corner 3,109,44,132,0.034724,0.403670,1.211009,3
2022,Playoffs,In The Paint (Non-RA),645,263,526,0.205479,0.407752,0.815504,2
2022,Playoffs,Mid-Range,597,237,474,0.190188,0.396985,0.793970,2
2022,Playoffs,Restricted Area,931,574,1148,0.296591,0.616541,1.233083,2
2022,Regular Season,Above the Break 3,8527,2926,8778,0.290291,0.343145,1.029436,3
2022,Regular Season,Backcourt,53,3,9,0.001804,0.056604,0.169811,3
2022,Regular Season,Corner 3,1087,412,1236,0.037006,0.379025,1.137075,3
2022,Regular Season,In The Paint (Non-RA),5513,2188,4376,0.187683,0.396880,0.793760,2
2022,Regular Season,Mid-Range,5569,2048,4096,0.189589,0.367750,0.735500,2
2022,Regular Season,Restricted Area,8625,5408,10816,0.293627,0.627014,1.254029,2
2023,Playoffs,Above the Break 3,823,300,900,0.292570,0.364520,1.093560,3
2023,Playoffs,Backcourt,8,0,0,0.002844,0.000000,0.000000,3
2023,Playoffs,Corner 3,130,36,108,0.046214,0.276923,0.830769,3
2023,Playoffs,In The Paint (Non-RA),676,265,530,0.240313,0.392012,0.784024,2
2023,Playoffs,Mid-Range,459,166,332,0.163171,0.361656,0.723312,2
2023,Playoffs,Restricted Area,717,446,892,0.254888,0.622036,1.244073,2
2023,Regular Season,Above the Break 3,9265,3191,9573,0.282392,0.344414,1.033243,3
2023,Regular Season,Backcourt,69,0,0,0.002103,0.000000,0.000000,3
2023,Regular Season,Corner 3,1275,488,1464,0.038861,0.382745,1.148235,3
2023,Regular Season,In The Paint (Non-RA),6998,2801,5602,0.213295,0.400257,0.800514,2
2023,Regular Season,Mid-Range,5886,2156,4312,0.179402,0.366293,0.732586,2
2023,Regular Season,Restricted Area,9316,5823,11646,0.283946,0.625054,1.250107,2
2024,Playoffs,Above the Break 3,886,306,918,0.294352,0.345372,1.036117,3
2024,Playoffs,Backcourt,6,0,0,0.001993,0.000000,0.000000,3
2024,Playoffs,Corner 3,121,46,138,0.040199,0.380165,1.140496,3
2024,Playoffs,In The Paint (Non-RA),817,344,688,0.271429,0.421053,0.842105,2
2024,Playoffs,Mid-Range,469,171,342,0.155814,0.364606,0.729211,2
2024,Playoffs,Restricted Area,711,463,926,0.236213,0.651195,1.302391,2
2024,Regular Season,Above the Break 3,9561,3233,9699,0.291859,0.338145,1.014434,3
2024,Regular Season,Backcourt,54,0,0,0.001648,0.000000,0.000000,3
2024,Regular Season,Corner 3,1346,474,1422,0.041088,0.352155,1.056464,3
2024,Regular Season,In The Paint (Non-RA),7030,2760,5520,0.214598,0.392603,0.785206,2
2024,Regular Season,Mid-Range,5488,2053,4106,0.167526,0.374089,0.748178,2
2024,Regular Season,Restricted Area,9280,5828,11656,0.283281,0.628017,1.256034,2
2025,Playoffs,Above the Break 3,929,312,936,0.279735,0.335845,1.007535,3
2025,Playoffs,Backcourt,10,0,0,0.003011,0.000000,0.000000,3
2025,Playoffs,Corner 3,160,50,150,0.048178,0.312500,0.937500,3
2025,Playoffs,In The Paint (Non-RA),855,362,724,0.257453,0.423392,0.846784,2
2025,Playoffs,Mid-Range,514,193,386,0.154773,0.375486,0.750973,2
2025,Playoffs,Restricted Area,853,525,1050,0.256850,0.615475,1.230950,2
2025,Regular Season,Above the Break 3,11974,4014,12042,0.310731,0.335226,1.005679,3
2025,Regular Season,Backcourt,92,0,0,0.002387,0.000000,0.000000,3
2025,Regular Season,Corner 3,1790,667,2001,0.046451,0.372626,1.117877,3
2025,Regular Season,In The Paint (Non-RA),8808,3572,7144,0.228571,0.405540,0.811081,2
2025,Regular Season,Mid-Range,5322,2044,4088,0.138108,0.384066,0.768132,2
2025,Regular Season,Restricted Area,10549,6629,13258,0.273751,0.628401,1.256802,2
2026,Regular Season,Above the Break 3,9028,3063,9189,0.315963,0.339278,1.017833,3
2026,Regular Season,Backcourt,75,1,3,0.002625,0.013333,0.040000,3
2026,Regular Season,Corner 3,1386,498,1494,0.048507,0.359307,1.077922,3
2026,Regular Season,In The Paint (Non-RA),6061,2545,5090,0.212123,0.419898,0.839795,2
2026,Regular Season,Mid-Range,3275,1234,2468,0.114619,0.376794,0.753588,2
2026,Regular Season,Restricted Area,8748,5587,11174,0.306163,0.638660,1.277321,2
