season,season_type,team_id,zone,fga,fgm,pts,games,team_abbr,attempt_share,fg_pct,pps,league_fg_pct,league_share,k_conversion,k_share,fg_pct_shrunk,share_shrunk,pts_value,pps_shrunk
2021,Playoffs,1611661313,Restricted Area,21,12,24,1,NYL,0.313433,0.571429,1.142857,0.586162,0.321174,343.740841,109.530113,0.585314,0.329194,2,1.170627
2021,Playoffs,1611661313,In The Paint (Non-RA),11,3,6,1,NYL,0.164179,0.272727,0.545455,0.384270,0.186583,1231.180672,149.517590,0.383282,0.185836,2,0.766564
2021,Playoffs,1611661313,Mid-Range,3,1,2,1,NYL,0.044776,0.333333,0.666667,0.390698,0.180294,1807.084576,122.307775,0.390603,0.136888,2,0.781205
2021,Playoffs,1611661313,Corner 3,7,4,12,1,NYL,0.104478,0.571429,1.714286,0.383721,0.036059,5000.000000,490.572701,0.383983,0.045805,3,1.151950
2021,Playoffs,1611661313,Above the Break 3,25,8,24,1,NYL,0.373134,0.320000,0.960000,0.353120,0.275472,4515.440280,333.689182,0.352938,0.301850,3,1.058814
2021,Playoffs,1611661313,Backcourt,0,0,0,1,NYL,0.000000,,,0.000000,0.000419,122.411748,5000.000000,0.000000,0.000428,3,0.000000
2021,Playoffs,1611661317,Restricted Area,213,131,262,11,PHO,0.273427,0.615023,1.230047,0.586162,0.321174,343.740841,109.530113,0.597204,0.279367,2,1.194408
2021,Playoffs,1611661317,In The Paint (Non-RA),175,75,150,11,PHO,0.224647,0.428571,0.857143,0.384270,0.186583,1231.180672,149.517590,0.389783,0.218559,2,0.779566
2021,Playoffs,1611661317,Mid-Range,152,62,124,11,PHO,0.195122,0.407895,0.815789,0.390698,0.180294,1807.084576,122.307775,0.392032,0.193147,2,0.784064
2021,Playoffs,1611661317,Corner 3,19,6,18,11,PHO,0.024390,0.315789,0.947368,0.383721,0.036059,5000.000000,490.572701,0.383464,0.028905,3,1.150391
2021,Playoffs,1611661317,Above the Break 3,219,79,237,11,PHO,0.281130,0.360731,1.082192,0.353120,0.275472,4515.440280,333.689182,0.353472,0.279486,3,1.060417
2021,Playoffs,1611661317,Backcourt,1,0,0,11,PHO,0.001284,0.000000,0.000000,0.000000,0.000419,122.411748,5000.000000,0.000000,0.000536,3,0.000000
2021,Playoffs,1611661319,Restricted Area,69,46,92,5,LVA,0.193820,0.666667,1.333333,0.586162,0.321174,343.740841,109.530113,0.599620,0.225603,2,1.199241
2021,Playoffs,1611661319,In The Paint (Non-RA),91,44,88,5,LVA,0.255618,0.483516,0.967033,0.384270,0.186583,1231.180672,149.517590,0.391100,0.237111,2,0.782201
2021,Playoffs,1611661319,Mid-Range,78,38,76,5,LVA,0.219101,0.487179,0.974359,0.390698,0.180294,1807.084576,122.307775,0.394690,0.210878,2,0.789380
2021,Playoffs,1611661319,Corner 3,7,3,9,5,LVA,0.019663,0.428571,1.285714,0.383721,0.036059,5000.000000,490.572701,0.383784,0.029401,3,1.151351
2021,Playoffs,1611661319,Above the Break 3,111,39,117,5,LVA,0.311798,0.351351,1.054054,0.353120,0.275472,4515.440280,333.689182,0.353078,0.296613,3,1.059233
2021,Playoffs,1611661319,Backcourt,0,0,0,5,LVA,0.000000,,,0.000000,0.000419,122.411748,5000.000000,0.000000,0.000395,3,0.000000
2021,Playoffs,1611661321,Restricted Area,32,22,44,1,DAL,0.438356,0.687500,1.375000,0.586162,0.321174,343.740841,109.530113,0.594792,0.364196,2,1.189585
