season,season_type,team_id,zone,fga,fgm,pts,games,team_abbr,attempt_share,fg_pct,pps,league_fg_pct,league_share,k_conversion,k_share,fg_pct_shrunk,share_shrunk,pts_value,pps_shrunk
2021,Playoffs,1611661313,Restricted Area,24,15,30,1,NYL,0.347826,0.625000,1.250000,0.586162,0.321174,251.698868,75.025548,0.589543,0.331926,2,1.179086
2021,Playoffs,1611661313,In The Paint (Non-RA),7,2,4,1,NYL,0.101449,0.285714,0.571429,0.384270,0.186583,226.127746,117.251986,0.381310,0.154107,2,0.762621
2021,Playoffs,1611661313,Mid-Range,10,3,6,1,NYL,0.144928,0.300000,0.600000,0.390698,0.180294,321.344996,62.001013,0.387960,0.160689,2,0.775921
2021,Playoffs,1611661313,Corner 3,1,1,3,1,NYL,0.014493,1.000000,3.000000,0.383721,0.036059,654.722812,240.143215,0.384661,0.031057,3,1.153982
2021,Playoffs,1611661313,Above the Break 3,27,11,33,1,NYL,0.391304,0.407407,1.222222,0.353120,0.275472,1509.093100,96.498325,0.354074,0.321810,3,1.062223
2021,Playoffs,1611661313,Backcourt,0,0,0,1,NYL,0.000000,,,0.000000,0.000419,4.802415,5000.000000,0.000000,0.000411,3,0.000000
2021,Playoffs,1611661317,Restricted Area,214,125,250,11,PHO,0.276129,0.584112,1.168224,0.586162,0.321174,251.698868,75.025548,0.585220,0.280537,2,1.170440
2021,Playoffs,1611661317,In The Paint (Non-RA),160,61,122,11,PHO,0.206452,0.381250,0.762500,0.384270,0.186583,226.127746,117.251986,0.383018,0.204155,2,0.766037
2021,Playoffs,1611661317,Mid-Range,141,62,124,11,PHO,0.181935,0.439716,0.879433,0.390698,0.180294,321.344996,62.001013,0.405647,0.182095,2,0.811293
2021,Playoffs,1611661317,Corner 3,31,11,33,11,PHO,0.040000,0.354839,1.064516,0.383721,0.036059,654.722812,240.143215,0.382415,0.039128,3,1.147246
2021,Playoffs,1611661317,Above the Break 3,229,78,234,11,PHO,0.295484,0.340611,1.021834,0.353120,0.275472,1509.093100,96.498325,0.351472,0.293721,3,1.054416
2021,Playoffs,1611661317,Backcourt,0,0,0,11,PHO,0.000000,,,0.000000,0.000419,4.802415,5000.000000,0.000000,0.000364,3,0.000000
2021,Playoffs,1611661319,Restricted Area,58,36,72,5,LVA,0.162921,0.620690,1.241379,0.586162,0.321174,251.698868,75.025548,0.592628,0.190803,2,1.185256
2021,Playoffs,1611661319,In The Paint (Non-RA),113,47,94,5,LVA,0.317416,0.415929,0.831858,0.384270,0.186583,226.127746,117.251986,0.394819,0.285504,2,0.789638
2021,Playoffs,1611661319,Mid-Range,94,44,88,5,LVA,0.264045,0.468085,0.936170,0.390698,0.180294,321.344996,62.001013,0.408212,0.252066,2,0.816424
2021,Playoffs,1611661319,Corner 3,3,1,3,5,LVA,0.008427,0.333333,1.000000,0.383721,0.036059,654.722812,240.143215,0.383491,0.019592,3,1.150473
2021,Playoffs,1611661319,Above the Break 3,87,31,93,5,LVA,0.244382,0.356322,1.068966,0.353120,0.275472,1509.093100,96.498325,0.353295,0.251455,3,1.059884
2021,Playoffs,1611661319,Backcourt,1,0,0,5,LVA,0.002809,0.000000,0.000000,0.000000,0.000419,4.802415,5000.000000,0.000000,0.000579,3,0.000000
2021,Playoffs,1611661321,Restricted Area,24,9,18,1,DAL,0.347826,0.375000,0.750000,0.586162,0.321174,251.698868,75.025548,0.567780,0.332123,2,1.135560
2021,Playoffs,1611661321,In The Paint (Non-RA),9,2,4,1,DAL,0.130435,0.222222,0.444444,0.384270,0.186583,226.127746,117.251986,0.378067,0.164879,2,0.756134
2021,Playoffs,1611661321,Mid-Range,14,6,12,1,DAL,0.202899,0.428571,0.857143,0.390698,0.180294,321.344996,62.001013,0.392279,0.191153,2,0.784558
2021,Playoffs,1611661321,Corner 3,3,1,3,1,DAL,0.043478,0.333333,1.000000,0.383721,0.036059,654.722812,240.143215,0.383491,0.037509,3,1.150473
