abbreviation,franchise,city,arena,lat,lon,elevation_ft,timezone
NYL,New York Liberty,"Brooklyn, NY",Barclays Center,40.6828,-73.9758,30,America/New_York
PHO,Phoenix Mercury,"Phoenix, AZ",Footprint Center,33.4457,-112.0712,1090,America/Phoenix
LVA,Las Vegas Aces,"Las Vegas (Paradise), NV",Michelob ULTRA Arena,36.0905,-115.1767,2030,America/Los_Angeles
LAS,Los Angeles Sparks,"Los Angeles, CA",Crypto.com Arena,34.043,-118.2673,285,America/Los_Angeles
DAL,Dallas Wings,"Arlington, TX",College Park Center,32.7299,-97.1081,604,America/Chicago
WAS,Washington Mystics,"Washington, DC",Entertainment & Sports Arena,38.8621,-76.9978,130,America/New_York
CON,Connecticut Sun,"Uncasville, CT",Mohegan Sun Arena,41.491,-72.091,40,America/New_York
MIN,Minnesota Lynx,"Minneapolis, MN",Target Center,44.9795,-93.276,830,America/Chicago
IND,Indiana Fever,"Indianapolis, IN",Gainbridge Fieldhouse,39.764,-86.1555,715,America/Indiana/Indianapolis
PDX,Portland Fire,"Portland, OR",Moda Center,45.5316,-122.6668,50,America/Los_Angeles
SEA,Seattle Storm,"Seattle, WA",Climate Pledge Arena,47.6221,-122.354,175,America/Los_Angeles
CHI,Chicago Sky,"Chicago, IL",Wintrust Arena,41.8534,-87.6193,595,America/Chicago
ATL,Atlanta Dream,"College Park (Atlanta), GA",Gateway Center Arena,33.6545,-84.4477,1010,America/New_York
GSV,Golden State Valkyries,"San Francisco, CA",Chase Center,37.768,-122.3877,20,America/Los_Angeles
TOR,Toronto Tempo,"Toronto, ON",Coca-Cola Coliseum,43.6353,-79.4185,250,America/Toronto
