universe,variant,kind,margin_mae,margin_err_var,total_mae,note
673,(a) calibrated margin head (incumbent),observable,10.085991899037579,161.61164767287897,14.223623518386727,deployed head
673,(b) score-head difference home_cal - away_cal,observable,10.160268528368148,162.82350975789467,14.223623518386727,= a_h-a_a + b_h*S_h - b_a*S_a; e = e_h - e_a = 2u
673,"(c) ORACLE sides minus common shock, then diff",ORACLE,10.160268528368148,162.82350975789467,0.0,margin unchanged vs (b) BY IDENTITY; totals collapse to 0 error
673,"(c') ORACLE sides minus idiosyncratic u, then diff",ORACLE,5.2789207708774157e-17,3.7553641621219608e-31,14.223623518386727,margin error -> 0; totals untouched: u is the ONLY margin-relevant mass
673,ANALYTIC-NORMAL corr=0 counterfactual,ANALYTIC-NORMAL,12.48982613192464,244.45494241644315,12.507830480244913,"side accuracy fixed, co-movement removed"
rs627,(a) incumbent margin head,observable,10.175266229683182,164.66417594048752,14.322465996189326,
rs627,(b) incumbent side-head difference,observable,10.254906205053533,165.93625713105098,14.322465996189326,
rs627,full substitution (challenger 3pt both sides),observable,10.356873556744414,168.99192576251778,14.217187525951367,bottomup gate-4 protocol
rs627,(d2) blend: inc 3pt COMMON + chal 3pt DIFF,observable,10.356873556744414,168.99192576251778,14.320289404186505,margin IDENTICAL to full substitution (theorem: margins see only differentials)
rs627,(d3) blend: chal 3pt COMMON + inc 3pt DIFF,observable,10.175266229683182,164.6641759404875,14.219777658189557,margin IDENTICAL to incumbent; totals move to challenger's — the safe substitution
rs627,(d4) ORACLE error blend c_inc + u_sub,ORACLE,10.417109100923417,170.133244093946,,identical to full substitution side-diff — rescue impossible via c
673,ORACLE shrink ft diff err lam=0.25,ORACLE,9.96630830102269,158.21627733009774,,ceiling for a channel-differential head
673,ORACLE shrink ft diff err lam=0.5,ORACLE,9.97186552067541,158.40864958006222,,ceiling for a channel-differential head
673,ORACLE shrink ft diff err lam=1.0,ORACLE,10.371310021003476,169.55662185822848,,ceiling for a channel-differential head
673,ORACLE shrink 3pt diff err lam=0.25,ORACLE,9.338030173232173,137.58888195735975,,ceiling for a channel-differential head
673,ORACLE shrink 3pt diff err lam=0.5,ORACLE,8.956785775611039,125.21919722509917,,ceiling for a channel-differential head
673,ORACLE shrink 3pt diff err lam=1.0,ORACLE,9.423223524358848,135.43907071035406,,ceiling for a channel-differential head
673,ORACLE shrink paint diff err lam=0.25,ORACLE,9.518751095500445,143.37421191382478,,ceiling for a channel-differential head
673,ORACLE shrink paint diff err lam=0.5,ORACLE,9.253510624525886,135.7912910933249,,ceiling for a channel-differential head
673,ORACLE shrink paint diff err lam=1.0,ORACLE,9.755976539096869,152.58899426798794,,ceiling for a channel-differential head
673,ORACLE shrink np2 diff err lam=0.25,ORACLE,9.932097497397388,158.6715347402226,,ceiling for a channel-differential head
673,ORACLE shrink np2 diff err lam=0.5,ORACLE,9.89110355817293,158.44981966694243,,ceiling for a channel-differential head
673,ORACLE shrink np2 diff err lam=1.0,ORACLE,10.114372554864335,166.16158309851076,,ceiling for a channel-differential head
673,"(e) walk-forward c tracker W=14d, totals",observable,10.085991899037579,161.61164767287897,14.363033207861765,c_hat subtracted from both sides; margin-neutral by construction
673,"(e) c tracker W=14d damped x0.25, totals",observable,10.085991899037579,161.61164767287897,14.207255855690548,damped tracker grid line
673,"(e) c tracker W=14d damped x0.5, totals",observable,10.085991899037579,161.61164767287897,14.225855724071712,damped tracker grid line
673,"(e) walk-forward c tracker W=30d, totals",observable,10.085991899037579,161.61164767287897,14.324304436005892,c_hat subtracted from both sides; margin-neutral by construction
673,"(e) walk-forward c tracker W=60d, totals",observable,10.085991899037579,161.61164767287897,14.28540021638117,c_hat subtracted from both sides; margin-neutral by construction
