feature,class,n,pearson_r_c,spearman_r_c,pearson_r_absc,pearson_r_u
ORACLE_hot_cold_vs_env,ORACLE_context,673,-0.9657394323631757,-0.9622163887780475,0.1601242055041586,-0.00721165213233596
ORACLE_c_3pt,ORACLE_context,673,0.5442414020193379,0.540269057455655,-0.07928808078755116,-0.0123929775209208
ORACLE_pace_realized_sum,ORACLE_context,673,-0.5432424992149436,-0.4761009825348843,0.21594568231184968,-0.03257346569069641
ORACLE_pace_shock,ORACLE_context,673,-0.5322949920393656,-0.4670916668923732,0.20982825759498464,-0.043123642142033985
ORACLE_c_paint,ORACLE_context,673,0.5000892882149741,0.4715487680515392,-0.11734877579483327,0.041957785302793545
ORACLE_c_ft,ORACLE_context,673,0.4479214914447602,0.42874334611777354,-0.0581127276872067,-0.021683632084017582
ORACLE_c_np2,ORACLE_context,673,0.14025306522227177,0.11927219708655859,0.020339880804372146,0.04604618232506995
crew_factor,walkforward,673,-0.15221230371521613,-0.1428019497268531,0.06596198378367484,0.014741979484302411
crew_prior_mean,walkforward,673,-0.15221230371521613,-0.1428019497268531,0.06596198378367484,0.014741979484302411
env_total_season,walkforward,673,-0.10332177454577562,-0.01734091126666491,0.16716824657479049,0.013213348587771415
season,walkforward,673,-0.09696838095561311,-0.07847608542674338,0.1338125486907707,-0.02080816510195622
env_total_30d,walkforward,673,-0.081891645302835,-0.026659756282266647,0.15972697741847186,0.030431141289435627
env_total_14d,walkforward,673,-0.08162485838337778,-0.024860952845017513,0.173343178048802,-0.01732616781268938
rest_a,walkforward,673,-0.0617088169833575,-0.07074603813326825,-0.02255532730958739,0.0388862741988411
pace_prior_sum,walkforward,673,-0.059814503252002806,-0.07227812117819186,0.02941445480696028,0.03219428873645837
month,walkforward,673,0.05020238246190744,0.05357614618673725,-0.06215000206974767,0.04362662184554371
rest_min,walkforward,673,-0.03702914152297958,-0.008071381606647986,0.01023165315972875,0.017880748938334877
rest_sum,walkforward,673,-0.031082725145348548,-0.03504716441202418,-0.004865823038352795,0.04308135721493438
fg3a_prior_sum,walkforward,673,-0.019225975302337488,-0.0027691840037481538,0.034038049408037584,-0.035153323619339746
days_into_season,walkforward,673,0.017228568269117856,0.009761758244046093,-0.03524997848456575,0.04913062940315807
rest_h,walkforward,673,0.00676404520422204,0.004138630143025711,0.012915516360205073,0.03351194828393251
