era,cutoff,game_id,game_date,season,season_type,model_margin,market_margin,consensus_home_spread,n_books,edge,side,margin_true,cons_outcome,cons_profit_m110,be_book,be_line_margin,be_price,be_outcome,be_profit,clv_pts,TEAM_ABBREVIATION_h,TEAM_ABBREVIATION_a,str_margin_cal,raw_margin_cal,str_total_cal,model_abs_err,market_abs_err,edge_sign,profit_captured,profit_m110,outcome,line_mag,disagreement_abs,internal_spread,pred_total,line_disp,n_books_vintage,absence_proxy_home,absence_load_home,rest_days_home,gp_prior_home,post_hoc_dnp_home,absence_proxy_away,absence_load_away,rest_days_away,gp_prior_away,post_hoc_dnp_away,rest_diff,gp_min,absence_proxy_total,absence_load_total,post_hoc_dnp_total
old,T-64m,1022400028,2024-05-25,2024,Regular Season,1.4878091936952025,8.541666666666666,-8.541666666666666,12,-7.053857472971462,away,32.0,loss,-1.0,betrivers,9.0,-114.0,loss,-1.0,,SEA,WAS,1.4878091936952025,3.7218023537762064,159.38200822332675,30.512190806304798,23.458333333333336,0,-1.0,-1.0,-1,8.541666666666666,7.053857472971464,2.233993160081004,159.38200822332675,0.25746432527221863,12,2.0,9.054166666666667,3.0,5,0,2.0,23.991666666666667,2.0,5,2,1.0,5,4.0,33.045833333333334,2
old,T-64m,1022400032,2024-05-28,2024,Regular Season,5.132446418276836,7.75,-7.75,12,-2.6175535817231648,away,23.0,loss,-1.0,superbook,8.0,-110.0,loss,-1.0,,CON,PHO,5.132446418276836,0.0339585810981433,167.52705369896682,17.867553581723165,15.25,0,-1.0,-1.0,-1,7.75,2.617553581723164,5.098487837178693,167.52705369896682,0.26111648393354675,12,0.0,0.0,3.0,5,0,0.0,0.0,3.0,5,3,0.0,5,0.0,0.0,3
old,T-64m,1022400033,2024-05-28,2024,Regular Season,-1.0727695026817603,5.416666666666667,-5.416666666666667,12,6.489436169348428,away,-6.0,win,0.9090909090909092,williamhill_us,5.5,-105.0,win,0.9523809523809524,,IND,LAS,-1.0727695026817603,1.440924729619231,161.30350231102912,4.92723049731824,11.416666666666668,1,0.9523809523809524,0.9090909090909092,1,5.416666666666667,6.489436169348427,2.513694232300991,161.30350231102912,0.19462473604038077,12,1.0,23.7375,3.0,7,3,0.0,0.0,2.0,5,2,1.0,5,1.0,23.7375,5
old,T-64m,1022400035,2024-05-29,2024,Regular Season,6.467161722532994,14.076923076923077,-14.076923076923077,13,7.609761354390082,away,3.0,win,0.9090909090909092,williamhill_us,14.5,-110.0,win,0.9090909090909092,,NYL,PHO,6.467161722532994,2.8802875193244244,162.87671183537023,3.4671617225329943,11.076923076923077,1,0.9090909090909092,0.9090909090909092,1,14.076923076923077,7.609761354390082,3.58687420320857,162.87671183537023,0.1877669040497027,13,0.0,0.0,4.0,6,3,2.0,36.02083333333333,1.0,6,2,3.0,6,2.0,36.02083333333333,5
old,T-64m,1022400038,2024-05-30,2024,Regular Season,-2.741420658691736,-5.576923076923077,5.576923076923077,13,-2.835502418231341,home,-15.0,loss,-1.0,unibet_us,-6.0,-117.0,loss,-1.0,,IND,SEA,-2.741420658691736,-0.9357860813575308,163.03231740144977,12.258579341308264,9.423076923076923,0,-1.0,-1.0,-1,5.576923076923077,2.8355024182313406,1.8056345773342053,163.03231740144977,0.1877669040497027,13,3.0,12.966666666666669,2.0,8,2,2.0,8.055555555555555,2.0,7,0,0.0,7,5.0,21.022222222222226,2
old,T-64m,1022400039,2024-05-30,2024,Regular Season,2.4893913960029783,4.5,-4.5,13,-2.0106086039970217,away,10.0,loss,-1.0,lowvig,4.5,-108.0,loss,-1.0,,CHI,LAS,2.4893913960029783,1.574098284425921,161.89452424023216,7.510608603997022,5.5,0,-1.0,-1.0,-1,4.5,2.0106086039970217,0.9152931115770573,161.89452424023216,0.0,13,1.0,3.1,2.0,5,1,1.0,16.995833333333334,2.0,6,2,0.0,5,2.0,20.095833333333335,3
old,T-64m,1022400040,2024-05-31,2024,Regular Season,-7.411367209140198,-8.541666666666666,8.541666666666666,12,1.1302994575264673,home,4.0,win,0.9090909090909092,fanduel,-9.0,-110.0,win,0.9090909090909092,,ATL,LVA,-7.411367209140198,-3.454078839215809,166.57720032158375,11.411367209140199,12.541666666666666,1,0.9090909090909092,0.9090909090909092,1,8.541666666666666,1.1302994575264682,3.957288369924389,166.57720032158375,0.14433756729740643,12,1.0,2.0611111111111113,2.0,5,2,2.0,11.133333333333333,2.0,5,1,0.0,5,3.0,13.194444444444445,3
old,T-64m,1022400041,2024-05-31,2024,Regular Season,4.753074915261182,8.423076923076923,-8.423076923076923,13,3.670002007815741,away,2.0,win,0.9090909090909092,betmgm,8.5,-105.0,win,0.9523809523809524,,CON,DAL,4.753074915261182,-0.9227277873851656,166.85377917906033,2.753074915261182,6.423076923076923,1,0.9523809523809524,0.9090909090909092,1,8.423076923076923,3.670002007815741,5.675802702646347,166.85377917906033,0.2773500981126145,13,0.0,0.0,3.0,6,1,3.0,57.54166666666667,5.0,5,3,-2.0,5,3.0,57.54166666666667,4
old,T-64m,1022400042,2024-05-31,2024,Regular Season,9.262351695700898,13.26923076923077,-13.26923076923077,13,0.5315824649316685,away,11.0,win,0.9090909090909092,lowvig,13.5,-108.0,win,0.925925925925926,,NYL,WAS,9.262351695700898,8.210995057524318,157.6809380905711,1.7376483042991016,2.26923076923077,1,0.925925925925926,0.9090909090909092,1,13.26923076923077,4.006879073529872,1.0513566381765802,157.6809380905711,0.2594372608313854,13,3.0,15.10416666666667,2.0,7,1,2.0,19.770833333333336,2.0,7,1,0.0,7,5.0,34.87500000000001,2
old,T-64m,1022400043,2024-05-31,2024,Regular Season,9.033307043561509,6.666666666666667,-6.666666666666667,12,2.366640376894841,home,24.0,win,0.9090909090909092,williamhill_us,6.0,-110.0,win,0.9090909090909092,,MIN,PHO,9.033307043561509,4.78597590279783,165.24123396424966,14.966692956438491,17.333333333333332,1,0.9090909090909092,0.9090909090909092,1,6.666666666666667,2.366640376894842,4.247331140763679,165.24123396424966,0.38924947208076155,12,5.0,30.052777777777777,2.0,6,1,1.0,22.03888888888889,2.0,7,2,0.0,6,6.0,52.09166666666667,3
