binning,bin_low,bin_high,n,mean_predicted,observed_rate,gap
uniform,0.0,0.1,0,,,
uniform,0.1,0.2,3,0.18851666666666667,0.3333333333333333,0.14481666666666665
uniform,0.2,0.30000000000000004,40,0.26494875,0.575,0.31005124999999994
uniform,0.30000000000000004,0.4,160,0.36728375,0.4625,0.09521625
uniform,0.4,0.5,178,0.4544761235955056,0.4887640449438202,0.0342879213483146
uniform,0.5,0.6000000000000001,161,0.5557189440993787,0.484472049689441,-0.0712468944099377
uniform,0.6000000000000001,0.7000000000000001,91,0.6356467032967033,0.4945054945054945,-0.14114120879120873
uniform,0.7000000000000001,0.8,29,0.7469155172413793,0.7586206896551724,0.011705172413793097
uniform,0.8,0.9,9,0.8206055555555555,0.4444444444444444,-0.37616111111111106
uniform,0.9,1.0,0,,,
quantile,0.1734,0.34005,67,0.28109552238805974,0.4626865671641791,0.18159104477611937
quantile,0.34005,0.3799,67,0.35963731343283584,0.5074626865671642,0.14782537313432836
quantile,0.3799,0.39925,67,0.39105671641791045,0.47761194029850745,0.086555223880597
quantile,0.39925,0.44225,66,0.42210606060606065,0.45454545454545453,0.03243939393939388
quantile,0.44225,0.47765,68,0.46129705882352945,0.5147058823529411,0.053408823529411675
quantile,0.47765,0.5235,67,0.49665746268656713,0.5373134328358209,0.04065597014925376
quantile,0.5235,0.5583,67,0.5417194029850746,0.44776119402985076,-0.09395820895522383
quantile,0.5583,0.59645,67,0.5788059701492536,0.4626865671641791,-0.1161194029850745
quantile,0.59645,0.6395,67,0.6200223880597016,0.5223880597014925,-0.09763432835820907
quantile,0.6395,0.8514,68,0.7196529411764705,0.5882352941176471,-0.13141764705882342
