absent_player_id,absent_player_name,n_absences,n_unique_top_absorbers,modal_absorber_share
100940,Diana Taurasi,20,12,0.15
201480,Sylvia Fowles,5,4,0.4
201496,Candace Parker,8,6,0.25
202633,Liz Cambage,4,4,0.25
202650,Jantel Lavender,4,4,0.25
203014,Nneka Ogwumike,5,5,0.2
203026,Tiffany Hayes,3,3,0.3333333333333333
203398,Brittney Griner,13,8,0.23076923076923078
203399,Elena Delle Donne,6,5,0.3333333333333333
203403,Tianna Hawkins,11,6,0.2727272727272727
203406,Layshia Clarendon,6,4,0.3333333333333333
203827,Natasha Howard,3,3,0.3333333333333333
204297,Cayla George,8,5,0.375
204319,Jewell Loyd,4,4,0.25
204323,Cheyenne Parker-Tyus,4,3,0.5
204325,Crystal Bradford,3,2,0.6666666666666666
1627668,Breanna Stewart,5,3,0.6
1627671,Rachel Banham,8,8,0.125
1627672,Aerial Powers,16,11,0.1875
1627673,Jonquel Jones,3,3,0.3333333333333333
1627674,Kahleah Copper,4,4,0.25
1628242,Emma Cannon,9,8,0.2222222222222222
1628276,Kelsey Plum,3,2,0.6666666666666666
1628279,Brittney Sykes,16,8,0.25
1628890,Diamond DeShields,5,3,0.6
1628899,Myisha Hines-Allen,7,5,0.2857142857142857
1628922,Azurá Stevens,4,3,0.5
1629477,Sabrina Ionescu,7,7,0.14285714285714285
1629483,Napheesa Collier,5,5,0.2
1629566,Han Xu,4,4,0.25
1629568,Kennedy Burke,9,4,0.4444444444444444
1629574,Li Yueru,8,4,0.375
1630096,DiJonai Carrington,10,8,0.2
1630149,Satou Sabally,8,5,0.5
1630150,Chennedy Carter,11,7,0.2727272727272727
1630454,Charli Collier,16,7,0.3125
1631009,Rhyne Howard,3,2,0.6666666666666666
1631019,NaLyssa Smith,10,6,0.3
1631021,Sika Koné,10,8,0.3
1631022,Shakira Austin,3,3,0.3333333333333333
1631141,Jade Melbourne,3,3,0.3333333333333333
1641649,Diamond Miller,3,2,0.6666666666666666
1641660,Zia Cooke,11,7,0.2727272727272727
1642291,Angel Reese,3,3,0.3333333333333333
