absence_game_id,absent_player_id,absent_player_name,top_absorber_id,top_absorber_name,delta_usage,season
1022100004,1630149,Satou Sabally,1629481,Arike Ogunbowale,0.1237058823529411,2021
1022100006,1629568,Kennedy Burke,200676,Candice Dupree,0.0552499999999999,2021
1022100012,201496,Candace Parker,1630113,Ruthy Hebard,0.1516190476190476,2021
1022100020,201496,Candace Parker,1630113,Ruthy Hebard,0.0826190476190476,2021
1022100025,201496,Candace Parker,202664,Courtney Vandersloot,0.0964347826086956,2021
1022100030,201516,Allie Quigley,1628890,Diamond DeShields,0.0453076923076923,2021
1022100032,1628276,Kelsey Plum,204324,Dearica Hamby,0.0818260869565217,2021
1022100034,100940,Diana Taurasi,1628915,Kia Nurse,0.0635625,2021
1022100035,201496,Candace Parker,202664,Courtney Vandersloot,0.0674347826086956,2021
1022100036,1628276,Kelsey Plum,1628917,JiSu Park,0.1104736842105263,2021
1022100038,1628276,Kelsey Plum,204324,Dearica Hamby,0.0458260869565217,2021
1022100039,100940,Diana Taurasi,203400,Skylar Diggins-Smith,0.0910625,2021
1022100043,201496,Candace Parker,203828,Stefanie Dolson,0.0985714285714285,2021
1022100046,1629568,Kennedy Burke,203855,Stephanie Talbot,0.116047619047619,2021
1022100055,100940,Diana Taurasi,203400,Skylar Diggins-Smith,0.0390624999999999,2021
1022100058,100940,Diana Taurasi,1628915,Kia Nurse,0.0915625,2021
1022100060,203014,Nneka Ogwumike,201911,Kristi Toliver,0.1498181818181818,2021
1022100064,1629477,Sabrina Ionescu,1630119,Jazmine Jones,0.11384,2021
1022100067,1629477,Sabrina Ionescu,1630131,Kylee Shook,0.1303928571428571,2021
1022100069,1629568,Kennedy Burke,1628920,Mercedes Russell,0.0601363636363636,2021
1022100071,1630096,DiJonai Carrington,202662,Jasmine Thomas,0.1084999999999999,2021
1022100075,1630096,DiJonai Carrington,201896,Briann January,0.0585714285714285,2021
1022100079,1630096,DiJonai Carrington,1629492,Beatrice Mompremier,0.2027916666666666,2021
1022100081,1629568,Kennedy Burke,203855,Stephanie Talbot,0.241047619047619,2021
1022100092,203026,Tiffany Hayes,203015,Shekinna Stricklen,0.079,2021
1022100093,1628899,Myisha Hines-Allen,202250,Tina Charles,0.0706153846153846,2021
1022100101,203026,Tiffany Hayes,204322,Elizabeth Williams,0.0872857142857142,2021
1022100109,1629568,Kennedy Burke,1628886,Jordin Canada,0.0744761904761904,2021
1022100110,203026,Tiffany Hayes,204323,Cheyenne Parker-Tyus,0.1003333333333333,2021
1022100112,100940,Diana Taurasi,203398,Brittney Griner,0.1040666666666666,2021
1022100114,1628899,Myisha Hines-Allen,1628282,Sydney Wiese,0.1308461538461538,2021
1022100118,100940,Diana Taurasi,1628915,Kia Nurse,0.0885625,2021
1022100120,1627668,Breanna Stewart,204319,Jewell Loyd,0.1094814814814814,2021
1022100126,1630096,DiJonai Carrington,1630097,Kaila Charles,0.0530454545454545,2021
1022100127,1630149,Satou Sabally,204330,Isabelle Harrison,0.044125,2021
1022100131,1627668,Breanna Stewart,204319,Jewell Loyd,0.1354814814814814,2021
1022100132,1630096,DiJonai Carrington,1630097,Kaila Charles,0.0820454545454545,2021
1022100138,1627671,Rachel Banham,1630101,Crystal Dangerfield,0.1303846153846154,2021
1022100140,1629568,Kennedy Burke,1628920,Mercedes Russell,0.0701363636363636,2021
1022100141,1629568,Kennedy Burke,203855,Stephanie Talbot,0.220047619047619,2021
1022100142,1630389,Dana Evans,1628890,Diamond DeShields,0.0868695652173913,2021
1022100147,1630096,DiJonai Carrington,1627673,Jonquel Jones,0.1072727272727273,2021
1022100149,203398,Brittney Griner,100940,Diana Taurasi,0.0611333333333333,2021
1022100150,1629568,Kennedy Burke,203855,Stephanie Talbot,0.052047619047619,2021
1022100156,202250,Tina Charles,203849,Theresa Plaisance,0.1773846153846153,2021
1022100157,203406,Layshia Clarendon,203825,Kayla McBride,0.104,2021
1022100160,203406,Layshia Clarendon,1627671,Rachel Banham,0.2021249999999999,2021
1022100162,1629568,Kennedy Burke,1628920,Mercedes Russell,0.1301363636363636,2021
1022100164,203406,Layshia Clarendon,1629491,Jessica Shepard,0.1363636363636363,2021
1022100165,202633,Liz Cambage,1628276,Kelsey Plum,0.1382105263157894,2021
1022100166,204325,Crystal Bradford,203026,Tiffany Hayes,0.0642307692307692,2021
1022100169,1628899,Myisha Hines-Allen,203849,Theresa Plaisance,0.1677647058823529,2021
1022100171,202633,Liz Cambage,1629498,Jackie Young,0.10972,2021
1022100174,203406,Layshia Clarendon,203825,Kayla McBride,0.043,2021
1022100176,100940,Diana Taurasi,1629482,Sophie Cunningham,0.0774666666666666,2021
1022100177,1628899,Myisha Hines-Allen,202250,Tina Charles,0.0656153846153846,2021
1022100178,203406,Layshia Clarendon,1629491,Jessica Shepard,0.1363636363636363,2021
1022100180,1630149,Satou Sabally,1630440,Chelsea Dungee,0.1542857142857142,2021
1022100181,1627676,Tiffany Mitchell,1628242,Emma Cannon,0.160375,2021
1022100183,204325,Crystal Bradford,203026,Tiffany Hayes,0.0752307692307692,2021
1022100184,203406,Layshia Clarendon,203831,Natalie Achonwa,0.121,2021
1022100186,202633,Liz Cambage,203029,Riquna Williams,0.1106,2021
1022100187,1627668,Breanna Stewart,204319,Jewell Loyd,0.1634814814814814,2021
1022100188,204325,Crystal Bradford,203403,Tianna Hawkins,0.1578333333333333,2021
1022100190,1627671,Rachel Banham,1629483,Napheesa Collier,0.0354166666666666,2021
1022100192,1627676,Tiffany Mitchell,1628242,Emma Cannon,0.171375,2021
1022200005,1629566,Han Xu,1630139,Jocelyn Willoughby,0.1138888888888888,2022
1022200009,203403,Tianna Hawkins,204333,Natasha Cloud,0.0571304347826086,2022
1022200017,1629566,Han Xu,203828,Stefanie Dolson,0.0896875,2022
1022200019,1627675,Courtney Williams,1628304,Yvonne Anderson,0.076,2022
1022200021,1630454,Charli Collier,204330,Isabelle Harrison,0.0733749999999999,2022
1022200023,1629566,Han Xu,204335,Betnijah Laney-Hamilton,0.0367142857142857,2022
1022200024,1631019,NaLyssa Smith,1631086,Lexie Hull,0.1118695652173913,2022
1022200030,1630454,Charli Collier,1629481,Arike Ogunbowale,0.0839999999999999,2022
1022200031,1631019,NaLyssa Smith,1629501,Alanna Smith,0.1116,2022
1022200036,1631019,NaLyssa Smith,1631083,Emily Engstler,0.0874516129032257,2022
1022200041,1631019,NaLyssa Smith,1629501,Alanna Smith,0.1536,2022
