target,exposure_alpha,efficiency_alpha,mae_select,mae_2023,mae_2024
pts,0.25,a0.01,4.06623543729576,4.064950763301191,4.031239949550114
pts,0.25,a0.02,4.064962363953042,4.064399837971156,4.03069752125115
pts,0.25,a0.03,4.063906679728582,4.0641145782710595,4.030713730295032
pts,0.25,a0.05,4.062523338252354,4.064754529337947,4.031982803293125
pts,0.25,a0.08,4.063755608445873,4.0690364261201495,4.037045940331137
pts,0.25,a0.10,4.066772200536403,4.073617805649363,4.042205178091159
pts,0.25,a0.15,4.0821718774045435,4.090428208118828,4.060023047306092
pts,0.25,a0.20,4.104897248413874,4.115464608279329,4.082741906725549
pts,0.25,a0.30,4.166307150733994,4.182053363484553,4.143048803929148
pts,0.25,a->0 (expanding mean of rate),4.067716751829417,4.065964930572707,4.03203030142669
reb,0.3,a0.01,1.8126837720310038,1.774053457669847,1.7585616679021419
reb,0.3,a0.02,1.8124164572253472,1.7728323520818434,1.758118970759085
reb,0.3,a0.03,1.8122732981329872,1.7718856384431467,1.757938286525643
reb,0.3,a0.05,1.8124326018701373,1.7709578387715281,1.75816048974705
reb,0.3,a0.08,1.8143090120756846,1.7718726766946176,1.760325659563451
reb,0.3,a0.10,1.8163006337149048,1.7740884683008873,1.7629244284518
reb,0.3,a0.15,1.8235413709207067,1.7822162674914388,1.7727269764948068
reb,0.3,a0.20,1.8333812098839715,1.7936107008515216,1.7849022985998448
reb,0.3,a0.30,1.8592195909961486,1.8218024407136773,1.814075718875047
reb,0.3,a->0 (expanding mean of rate),1.813106170003065,1.7756450778818365,1.7591513537798158
ast,0.3,a0.01,1.2219546495251474,1.205549627824864,1.2039954863540168
ast,0.3,a0.02,1.2219856383514163,1.2054437570892427,1.2030803864743693
ast,0.3,a0.03,1.222167629998574,1.2054400795413356,1.202370737407858
ast,0.3,a0.05,1.222931390380751,1.2059155170504456,1.2016200765905511
ast,0.3,a0.08,1.2250615943309073,1.2078707973129434,1.201675883885267
ast,0.3,a0.10,1.2270321604544046,1.2104048809400456,1.202589809227255
ast,0.3,a0.15,1.233760381640368,1.2189279077058413,1.2066817781825228
ast,0.3,a0.20,1.2425851125314569,1.2294994652593407,1.2125785001100458
ast,0.3,a0.30,1.2650578293395491,1.2545623164003052,1.2311140560670653
ast,0.3,a->0 (expanding mean of rate),1.2221218510882088,1.205719200823925,1.2051309776563681
