target,family,selected,mae_2023,mae_2024,mae_pool,rmse_pool,skill_2023,skill_2024,skill_pool
pts,RATE36CTX,RATE36CTX_a0.05_m0.25,4.08175965277563,4.018115425773868,4.049894546101813,5.332583613507983,0.5094636690741975,2.152795127585385,1.3326257754461546
pts,PER36CTX,PER36CTX_a0.05_m0.25,4.067263493848796,4.003597829545504,4.035387654042812,5.346678376587505,0.862799178524956,2.5063206145089145,1.6860564466221186
pts,RATE36,RATE36_a0.05_m0.20,4.07764356355571,4.046239902546635,4.061920519139209,5.356016652515027,0.6097909687958565,1.4679214619204906,1.039637607831454
pts,RATE100,RATE100_a0.05_p0.25,4.074914551746403,4.043722269357739,4.05929733943134,5.3595345569461905,0.676309056987732,1.5292296485513068,1.1035460012348521
pts,PER36,PER36_a0.05_m0.20,4.064248511026379,4.031557957641535,4.047881151095914,5.370912114371143,0.9362876451540165,1.825449088389332,1.3816780152631374
pts,PER100,PER100_a0.05_p0.20,4.061500993034957,4.027423599496717,4.044439276184637,5.3709563171795764,1.003256810856735,1.926126979775208,1.4655322381420943
pts,CTX,CTX_a0.10,4.0888396172098815,4.042551668159894,4.065664374086115,5.350979038556874,0.33689362118110716,1.5577355631635845,0.9484262607497376
pts,TOT,TOT_a0.10,4.085092276972347,4.067259430967101,4.076163807462627,5.375394217707213,0.42823287722801034,0.9560640646724244,0.6926291010179593
pts,CTXROLL,CTXROLL_w10,4.1305260782607,4.073207809420823,4.1018282240014186,5.400249898187213,-0.6791898135365373,0.8112120274495581,0.06736823013301624
pts,ROLL,ROLL_w10,4.127791109679498,4.10379201601936,4.1157753508969455,5.423481436645299,-0.6125265324668153,0.06644020986768655,-0.2724249109212047
pts,SHRINK,SHRINK_a0.15_k2,4.112086194354142,4.097697885731936,4.104882320401997,5.360117789832716,-0.22972828326346406,0.21484152530226344,-0.007038564672003399
pts,CTXSTD_expanding,CTXSTD_expanding,4.1025354990651275,4.075121109862798,4.088809785398976,5.379342977327486,0.0030644035845177947,0.7646202597946038,0.3845357856791014
pts,STD_expanding,STD_expanding,4.102661221162649,4.1065203967892465,4.104593415939894,5.407062437359075,0.0,0.0,0.0
pts,NEG,NEG_reversed_a0.30,4.411481410926136,4.517207336164047,4.464415793895398,5.8931525982162825,-7.527313933953589,-10.00084986052676,-8.766334238079713
reb,RATE36CTX,RATE36CTX_a0.05_m0.30,1.771056528733611,1.7640314405578448,1.7675392390333597,2.3514807614424442,1.4175429131732964,2.1737831886370076,1.7968783850273815
reb,RATE100,RATE100_a0.05_p0.30,1.7671279687561818,1.7580186856404885,1.7625671736632424,2.3481287741863555,1.636218652261575,2.507226829524087,2.073122515531806
reb,RATE36,RATE36_a0.05_m0.30,1.7683399953814125,1.760000247581891,1.7641644877857727,2.348331047177269,1.5687535201038048,2.3973372302528357,1.9843769705571215
reb,PER36CTX,PER36CTX_a0.05_m0.30,1.773802381630959,1.7617203375588395,1.7677531978898289,2.3583008481640957,1.2647002901243911,2.301947833470427,1.7849909954077148
reb,PER100,PER100_a0.05_p0.30,1.7691037867288941,1.7557744050085087,1.7624300915576994,2.355031673359575,1.526238543018214,2.631685769791143,2.0807386919564075
reb,PER36,PER36_a0.05_m0.30,1.7709578387715281,1.75816048974705,1.764550519348892,2.3552207933294356,1.4230363001962956,2.4993629338166268,1.9629293536086303
reb,CTX,CTX_a0.10,1.7794850729460043,1.7843324424953058,1.7819120322328477,2.3644278211199197,0.9483842021767497,1.0479697981489506,0.9983370415898994
reb,TOT,TOT_a0.10,1.7765103753048266,1.7807374543258874,1.7786267703067022,2.3614318388061224,1.1139650279719486,1.247333643945596,1.1808636692005745
reb,SHRINK,SHRINK_a0.15_k2,1.7752864743345238,1.785795205686426,1.7805479389057812,2.3505785803521935,1.1820911227215465,0.9668507286198105,1.0741250184188256
reb,CTXROLL,CTXROLL_w20,1.7956686259584784,1.7988682665777496,1.7972706077006424,2.3856151578869547,0.04755783414127594,0.24187040245376926,0.14502639298363393
reb,ROLL,ROLL_w20,1.7930537076232467,1.7961465922375404,1.7946022392467282,2.383486502904104,0.19311223649164536,0.39280371235613204,0.2932788934127591
reb,CTXSTD_expanding,CTXSTD_expanding,1.7983799567153027,1.8037836166533407,1.8010854369837621,2.3912909948069,-0.10336318031891625,-0.030715500009778744,-0.06692258996253393
reb,STD_expanding,STD_expanding,1.796523013393498,1.8032297456206483,1.799880910062507,2.3896511762546098,0.0,0.0,0.0
reb,NEG,NEG_reversed_a0.30,1.9879082807873547,1.9826655334029808,1.9852833654959436,2.641999077891933,-10.65309300059253,-9.950800125059661,-10.30081792617034
ast,RATE100,RATE100_a0.05_p0.30,1.2054656938261814,1.1984977087664894,1.201976994258466,1.640346423881847,1.8218427857876784,2.2006796928575056,2.0113342724940164
ast,RATE36,RATE36_a0.05_m0.30,1.206233162976099,1.1993098556203936,1.2027668324412168,1.6400108680975267,1.7593368951235455,2.13440721714025,1.9469443631712118
ast,RATE36CTX,RATE36CTX_a0.05_m0.30,1.211220685325477,1.197048528320471,1.2041250331974358,1.6392480929586795,1.3531322591604737,2.3189351234572593,1.8362198813153083
ast,PER100,PER100_a0.05_p0.40,1.2053215888518438,1.2024493972094585,1.2038835527976122,1.6478419464387883,1.8335792963315494,1.8782156272517962,1.8559060669004666
ast,PER36,PER36_a0.05_m0.40,1.2058629767878017,1.203323603486518,1.2045915747307416,1.6477898165729787,1.7894864033006015,1.806879003844607,1.7981860565636902
ast,PER36CTX,PER36CTX_a0.05_m0.30,1.210378943970877,1.2000048570463613,1.2051848925687918,1.6447667156783254,1.4216871881550281,2.0776939947661415,1.7498170581713945
ast,TOT,TOT_a0.08,1.2179815594470416,1.2054468307840707,1.211705727611393,1.6490603262610977,0.8024984536428397,1.633620277491315,1.2182195914096876
ast,CTX,CTX_a0.08,1.2226878733079913,1.2042286115710292,1.213445772773847,1.649173162683688,0.4191966106238392,1.733028903931808,1.076366041309367
ast,STD_expanding,STD_expanding,1.2278349156584878,1.2254662967007968,1.226649006121801,1.6653647097788553,0.0,0.0,0.0
ast,ROLL,ROLL_w20,1.2255590969242491,1.215905063432121,1.2207255586513948,1.6615125964151698,0.18535217603077636,0.7802118503313095,0.4828966917874804
ast,SHRINK,SHRINK_a0.08_k2,1.22645606098922,1.2098777512587042,1.2181557070856392,1.6383652527134398,0.11229967902714365,1.2720501154589121,0.6923984769705465
ast,CTXSTD_expanding,CTXSTD_expanding,1.2324132724746757,1.2230955565721011,1.2277481201870435,1.6648520391536963,-0.3728804872544717,0.1934561672628745,-0.08960298013182497
ast,CTXROLL,CTXROLL_w20,1.230326678888778,1.214918110363656,1.222611985775603,1.6617133190015576,-0.20293959705110423,0.8607487913407886,0.3291096577790768
ast,NEG,NEG_reversed_a0.30,1.30950983077533,1.3668747431579735,1.3382310383148046,1.8345580749470463,-6.651945964009328,-11.539154266247625,-9.09649228394875
minutes,CTX,CTX_a0.30,4.672834053882625,4.700759992425153,4.686815887782493,6.1163925017497665,7.78901829958985,9.856275971745337,8.83883990175064
minutes,TOT,TOT_a0.30,4.672646659423577,4.7009111175857585,4.68679798181124,6.116113589299493,7.792716232543338,9.85337793296155,8.839188182790737
minutes,SHRINK,SHRINK_a0.30_k2,4.756091230603483,4.811359595083434,4.78376274792417,6.136476727939925,6.146069735504673,7.735372101790656,6.953169875446389
minutes,ROLL,ROLL_w5,4.834650883126644,4.826475526572222,4.830557682203708,6.327106328075448,4.595819374016927,7.445502727742411,6.042982533382392
minutes,CTXROLL,CTXROLL_w5,4.834631147623963,4.826459004755627,4.83053955571499,6.327369053950122,4.596208822915727,7.445819556952574,6.043335103609088
minutes,STD_expanding,STD_expanding,5.067546150917772,5.214739065973962,5.141242040723545,6.675185055484969,0.0,0.0,0.0
minutes,CTXSTD_expanding,CTXSTD_expanding,5.067836829665233,5.214872990590689,5.1414542365145355,6.67543601481081,-0.005736084858523214,-0.0025681940176254642,-0.004127325446070449
minutes,NEG,NEG_reversed_a0.30,5.947139337840574,6.321369820852636,6.134507380843798,7.998305093523672,-17.357378911359326,-21.221210512706403,-19.31955998672391
