target,family,selected,select_mae
pts,CTX,CTX_a0.10,4.070422840935277
pts,CTXROLL,CTXROLL_w10,4.095712644321779
pts,CTXSTD_expanding,CTXSTD_expanding,4.113381391313079
pts,NEG,NEG_reversed_a0.30,4.470121831786877
pts,PER100,PER100_a0.05_p0.20,4.0629916460506585
pts,PER36,PER36_a0.05_m0.20,4.062053941019578
pts,PER36CTX,PER36CTX_a0.05_m0.25,4.056327732022814
pts,RATE100,RATE100_a0.05_p0.25,4.058698862115794
pts,RATE36,RATE36_a0.05_m0.20,4.058300116434726
pts,RATE36CTX,RATE36CTX_a0.05_m0.25,4.053084668595359
pts,ROLL,ROLL_w10,4.096802054154995
pts,SHRINK,SHRINK_a0.15_k2,4.102796628832384
pts,STD_expanding,STD_expanding,4.117562227042204
pts,TOT,TOT_a0.10,4.074666998411233
reb,CTX,CTX_a0.10,1.8172438859457627
reb,CTXROLL,CTXROLL_w20,1.8271262358742477
reb,CTXSTD_expanding,CTXSTD_expanding,1.8354867576213996
reb,NEG,NEG_reversed_a0.30,1.989373772089479
reb,PER100,PER100_a0.05_p0.30,1.8091668677310575
reb,PER36,PER36_a0.05_m0.30,1.8124326018701373
reb,PER36CTX,PER36CTX_a0.05_m0.30,1.8090027228071337
reb,RATE100,RATE100_a0.05_p0.30,1.8054607922963677
reb,RATE36,RATE36_a0.05_m0.30,1.8077129688254505
reb,RATE36CTX,RATE36CTX_a0.05_m0.30,1.8031036149865791
reb,ROLL,ROLL_w20,1.8333792058416356
reb,SHRINK,SHRINK_a0.15_k2,1.8228197350732658
reb,STD_expanding,STD_expanding,1.8418206191593196
reb,TOT,TOT_a0.10,1.8224480452975504
ast,CTX,CTX_a0.08,1.234395520638517
ast,CTXROLL,CTXROLL_w20,1.239587328265624
ast,CTXSTD_expanding,CTXSTD_expanding,1.2382564941635126
ast,NEG,NEG_reversed_a0.30,1.3243961404526627
ast,PER100,PER100_a0.05_p0.40,1.222330084792679
ast,PER36,PER36_a0.05_m0.40,1.2228977624004294
ast,PER36CTX,PER36CTX_a0.05_m0.30,1.2257558564501887
ast,RATE100,RATE100_a0.05_p0.30,1.218831550595139
ast,RATE36,RATE36_a0.05_m0.30,1.2191818019456266
ast,RATE36CTX,RATE36CTX_a0.05_m0.30,1.2221167567072122
ast,ROLL,ROLL_w20,1.2367668176211428
ast,SHRINK,SHRINK_a0.08_k2,1.236953682178019
ast,STD_expanding,STD_expanding,1.2353260717184067
ast,TOT,TOT_a0.08,1.2311051335961267
minutes,CTX,CTX_a0.30,4.863996544364168
minutes,CTXROLL,CTXROLL_w5,5.000202747234857
minutes,CTXSTD_expanding,CTXSTD_expanding,5.195898138432413
minutes,NEG,NEG_reversed_a0.30,6.010601272193152
minutes,ROLL,ROLL_w5,4.999592917653015
minutes,SHRINK,SHRINK_a0.30_k2,4.964293246601253
minutes,STD_expanding,STD_expanding,5.195412646671477
minutes,TOT,TOT_a0.30,4.864040024705186
