target,split,tuned,mae_tuned,mae_incumbent,mae_naive,gap_vs_naive_pct,gap_vs_incumbent_pct
pts,2023,RATE36CTX_a0.05_m0.25,4.08175965277563,4.187762521566142,4.102661221162649,0.5094636690741975,2.531253103408277
pts,2024,RATE36CTX_a0.05_m0.25,4.018115425773868,4.147008954438363,4.1065203967892465,2.152795127585385,3.1081082794997554
pts,SCORE_pooled,RATE36CTX_a0.05_m0.25,4.049894546101813,4.167358208008697,4.104593415939894,1.3326257754461546,2.8186600729725106
reb,2023,RATE36CTX_a0.05_m0.30,1.771056528733611,1.8218024407136773,1.796523013393498,1.4175429131732964,2.7854783178458606
reb,2024,RATE36CTX_a0.05_m0.30,1.7640314405578448,1.814075718875047,1.8032297456206483,2.1737831886370076,2.758665352085515
reb,SCORE_pooled,RATE36CTX_a0.05_m0.30,1.7675392390333597,1.8179338602119444,1.799880910062507,1.7968783850273815,2.772082212754943
ast,2023,RATE100_a0.05_p0.30,1.2054656938261814,1.2545623164003052,1.2278349156584878,1.8218427857876784,3.913446301734613
ast,2024,RATE100_a0.05_p0.30,1.1984977087664894,1.2311140560670653,1.2254662967007968,2.2006796928575056,2.649335952249013
ast,SCORE_pooled,RATE100_a0.05_p0.30,1.201976994258466,1.2428223463820753,1.226649006121801,2.0113342724940164,3.286499654798812
minutes,2023,CTX_a0.30,4.672834053882625,4.672646659423577,5.067546150917772,7.78901829958985,-0.0040104564437822565
minutes,2024,CTX_a0.30,4.700759992425153,4.7009111175857585,5.214739065973962,9.856275971745337,0.0032148057435052867
minutes,SCORE_pooled,CTX_a0.30,4.686815887782493,4.68679798181124,5.141242040723545,8.83883990175064,-0.0003820512708841972
