target,slice,best_alpha_selected,n_select,n_2023,n_2024,skill_2023,skill_2024,mae_2023,mae_2024,naive_mae_2023,naive_mae_2024
pts,S1_starter=1,0.08,4048,2409,2421,-0.1627135714343129,0.6857924241229161,4.927563829320346,4.843230721215424,4.919559039108992,4.87667458607586
pts,S1_starter=0,0.15,3415,2026,2026,2.4829666574355644,1.846039238376016,3.0535850348330134,3.127394012480872,3.131335039803942,3.1862127500652155
pts,S2_min<15,0.15,1744,1396,1280,2.038669022846068,-0.15073359657721302,2.7534110688003177,2.929553105244299,2.8107121874879946,2.9251439305926565
pts,S2_min15-25,0.15,2452,1214,1286,1.2789392955391836,2.5463369087805163,3.8639942390749416,3.7201405692920044,3.9140525957703196,3.8173429825925003
pts,S2_min>=25,0.08,3267,1825,1881,-0.24138616784346473,0.6051292688128399,5.228968846450653,5.077227859246001,5.216377233346818,5.108138701621066
pts,S3_usage_low,0.15,2488,1614,1720,0.5637934415261017,1.8280698253465095,3.0659713966965083,3.0725217676797487,3.083355150815765,3.129735518302998
pts,S3_usage_mid,0.15,2487,1378,1402,1.1976274830712033,0.3894983754142763,4.213198522725405,4.267483149515585,4.264268575133169,4.284169921760831
pts,S3_usage_high,0.08,2488,1443,1325,-0.22370882206669282,0.6922089516132675,5.099813764048052,5.150622853347803,5.088430496123491,5.186524439797693
pts,S4_nprior3-7,0.08,1449,739,740,0.07514595765704722,0.06518141410863272,3.8102765329839503,3.758613478216643,3.813141955022875,3.7610649935649936
pts,S4_nprior8-19,0.08,3054,1573,1604,0.7050529918494172,0.31752080080848194,4.029872483881345,3.980054559302558,4.058486967670726,3.9927323149230407
pts,S4_nprior>=20,0.15,2960,2123,2103,-0.34526299118120696,1.5970503404909582,4.250796731220142,4.245956483839092,4.236170801200372,4.314867083284418
pts,S5_regular,0.1,6721,4081,4050,0.4172108051331927,0.7936201606764108,4.067986902551557,4.0724997744426155,4.085030089477801,4.105078505070448
pts,S5_playoffs,0.15,742,354,397,0.3735616042533657,3.0531438305864147,4.289832036399034,3.9954027959363767,4.305917290105776,4.121229871502438
reb,S1_starter=1,0.05,4048,2409,2421,0.6011234420628483,0.7508055615148508,2.0764797604248084,2.1042577837940617,2.089037454275934,2.12017618450121
reb,S1_starter=0,0.2,3415,2026,2026,2.856981977646532,2.443631306578839,1.40732151640273,1.3896804256085862,1.4487109264804732,1.4244897019237874
reb,S2_min<15,0.15,1744,1396,1280,1.8252946102187848,0.873228107025969,1.3942245341500696,1.3304932313045659,1.4201463896577085,1.3422138196339968
reb,S2_min15-25,0.2,2452,1214,1286,2.4056650621277145,3.5270006775170297,1.7868894321739268,1.7043487913657884,1.8309356104649366,1.7666588613759322
reb,S2_min>=25,0.05,3267,1825,1881,0.4060141567841719,0.7607272564256501,2.053163783702593,2.125654412247482,2.061533903196476,2.1419488005922696
reb,S3_usage_low,0.15,2488,1614,1720,1.6925949220977536,2.6621278555794934,1.6344682824608046,1.5216663847126222,1.662609526887211,1.5632829762858602
reb,S3_usage_mid,0.15,2487,1378,1402,0.48516508079690684,0.911006226853835,1.7715571478784364,1.8162625040195222,1.7801940276711288,1.8329608918803477
reb,S3_usage_high,0.08,2488,1443,1325,0.9978235478165829,0.6933793212842186,1.942322820166565,2.068804080403572,1.9618991114853703,2.083248897469507
reb,S4_nprior3-7,0.2,1449,739,740,0.5497765871867611,-0.22561135885961509,1.7760634621486309,1.6789208798007886,1.7858818222823636,1.67514157014157
reb,S4_nprior8-19,0.1,3054,1573,1604,0.8502719407970069,0.6980705484063036,1.7497289270751755,1.765617485667151,1.7647339648076494,1.778029385146871
reb,S4_nprior>=20,0.1,2960,2123,2103,1.5771115332116257,2.034008258105449,1.795017618737512,1.8295364562614367,1.8237806740890552,1.8675220081287114
reb,S5_regular,0.1,6721,4081,4050,0.7540402087824686,1.341712827601835,1.7749458808396046,1.790105402009321,1.7884313724946947,1.8144501119112704
reb,S5_playoffs,0.15,742,354,397,5.069693753973973,-0.2683880176391919,1.7939981117297574,1.6932974947687824,1.8898054611562551,1.6887650517238773
ast,S1_starter=1,0.05,4048,2409,2421,0.47434327166158163,0.773139500403892,1.513818649872301,1.4643851415186933,1.521033570272603,1.4757950963536268
ast,S1_starter=0,0.1,3415,2026,2026,1.6690058128414555,3.3380955812375057,0.8645352157586276,0.8954101816185236,0.8792092695748731,0.9263320301857415
ast,S2_min<15,0.15,1744,1396,1280,1.941407608579853,1.2383583491985826,0.719681463678376,0.7951797529075846,0.7339300372634618,0.8051504001109645
ast,S2_min15-25,0.1,2452,1214,1286,2.028803298647458,5.096484240368432,1.2231300364348665,1.1410108021252803,1.248458809953457,1.2022850713088375
ast,S2_min>=25,0.05,3267,1825,1881,0.11793950061883139,0.26997156397560806,1.5900416894926053,1.523211827355817,1.5919191910367694,1.527335198077216
ast,S3_usage_low,0.1,2488,1614,1720,1.718646652945817,3.533242586200261,0.9492240473661029,0.9921608985098609,0.9658231343377754,1.0285003094422769
ast,S3_usage_mid,0.1,2487,1378,1402,0.6706377480251204,1.6763971112842222,1.3626571139310408,1.2103404668223436,1.371857306880019,1.2309765216722441
ast,S3_usage_high,0.05,2488,1443,1325,0.3231542279348649,0.36617683796593786,1.378890624424363,1.4699177242378876,1.3833610140287997,1.4753200043798045
