dR2_M,dR2_OxM,target
3.125785298374595e-07,0.00014604993858458037,reb
0.00015115207840998846,4.151826075027287e-05,reb
1.4580671986230698e-05,5.180358630951787e-08,reb
3.547305937878775e-07,6.959649813120805e-07,reb
7.824480828588776e-06,4.112304889491991e-05,reb
9.77581701309127e-05,0.00013172548959494712,reb
1.7006160859645014e-05,3.5961612462109827e-05,reb
2.2778578134818872e-08,0.00014894820088717786,reb
2.2729268129739744e-05,0.00010289446347244713,reb
5.570806346777424e-06,6.0715731052818356e-05,reb
3.66778082617758e-05,5.849844431093931e-05,reb
3.5967245082257904e-07,3.7783422057513505e-05,reb
2.1273281689881962e-05,4.084589659425486e-05,reb
6.241545942642368e-06,0.00012799931148299581,reb
3.495615108706218e-06,4.366804958322312e-05,reb
1.6099435023564368e-05,9.556585122139083e-06,reb
8.319562802550085e-05,1.1722312310391558e-05,reb
2.1168064029741807e-05,1.331124099834824e-11,reb
8.413289585507133e-05,2.394471211875082e-05,reb
0.00017268119194024933,2.332519998959892e-05,reb
3.1665855096951745e-06,4.363283489461356e-05,reb
7.021863209777379e-07,0.00011158333186045422,reb
7.295240971427752e-06,3.0074023027459873e-07,reb
4.544081149970847e-05,0.00012812600426359566,reb
4.718186319219164e-05,7.54014801240821e-06,reb
3.0846934462314124e-07,1.6781837540613687e-05,reb
2.3744171221529164e-05,6.30610802543341e-06,reb
0.0001095195965791218,0.0001869142255720435,reb
4.824842358841508e-05,8.198365370359895e-06,reb
2.4778188885576924e-05,4.334481650714039e-06,reb
1.1498946315136038e-05,5.0529488576644965e-05,reb
4.4629560842612825e-05,2.9293830553500655e-06,reb
4.746128878130307e-06,0.00010448226502646207,reb
0.00015307302519529387,4.443997154213175e-05,reb
9.975583232901819e-06,8.670591524306825e-05,reb
1.0033439468148941e-07,2.063479007119451e-05,reb
1.139252760351539e-06,6.209592950945364e-09,reb
2.4596221173900368e-05,0.00010389130308785521,reb
3.3770974546820653e-06,5.804744110937676e-07,reb
6.64784265063112e-05,5.336460685556599e-05,reb
3.75028896913987e-05,6.406910551182143e-05,reb
1.6421358377538553e-05,1.850052669072344e-05,reb
1.0033843343970617e-05,2.4375914519314534e-05,reb
5.311478323200003e-05,0.0001429677482148728,reb
3.33244102291852e-05,2.314621805332706e-08,reb
0.00024370986966171237,5.252717401260654e-06,reb
4.6356590621687843e-07,2.47239782923403e-05,reb
2.0350153135839655e-05,9.079558952795885e-06,reb
0.00013333669649961966,7.061617969561507e-05,reb
2.8984340138760167e-05,1.2509289032847093e-05,reb
4.084314038865777e-06,9.229145339650913e-05,reb
5.762495983674398e-05,7.464051418049067e-05,reb
0.00010250782874299258,5.085806297677742e-05,reb
4.3657385381257185e-06,2.2280111749317655e-05,reb
1.3560874018936353e-05,1.410988281769221e-08,reb
7.342686136890819e-07,0.00013260294674510842,reb
0.00012363842484419685,0.0005306231186134047,reb
1.206301172707036e-05,0.0003347715532049378,reb
0.00015628774246023713,8.981946874386804e-05,reb
0.0003634975027817511,0.0003812196971055837,reb
6.298825472383918e-05,5.1084037520632286e-05,reb
0.0001471019332801582,2.7896310803576796e-06,reb
9.500728940026182e-05,0.00012988712031913874,reb
6.936318394323848e-06,5.210292987944953e-06,reb
1.6384753958487153e-05,3.815162739073674e-05,reb
1.1098598765135748e-05,8.129732126738176e-05,reb
8.940640633392505e-07,5.997138781721478e-05,reb
3.916019362504297e-05,5.935372504906056e-05,reb
9.526331736298133e-05,0.00012711866542802763,reb
2.3438231810168908e-05,1.9518720902333975e-05,reb
1.4048929555032785e-05,4.157678229699258e-06,reb
2.9666479028800374e-05,6.75570775503509e-05,reb
3.006790679660476e-06,2.7614426205579967e-05,reb
1.0499814320108491e-05,1.844059439592982e-07,reb
8.11640188391749e-09,6.95409045403661e-06,reb
0.0001302708897992222,0.00018516954946201647,reb
7.683044960704599e-05,4.7441798620928566e-05,reb
1.179369688575349e-05,0.00011858240705198142,reb
6.682382905620621e-05,1.0182290475224676e-06,reb
1.2924258273594447e-06,1.1136508941689272e-05,reb
4.6081027530231466e-05,4.28572983190989e-06,reb
2.0109145795421668e-05,0.0004037004390695653,reb
0.00018897290303843128,0.00014018369466473057,reb
8.48218306548354e-06,3.104634004458262e-05,reb
1.0684381439363122e-05,1.1045229119432953e-05,reb
5.542571413841291e-05,0.00013469274529287478,reb
2.456386242255526e-05,8.184087174623045e-08,reb
1.4872085436712368e-05,4.625625756426999e-05,reb
1.6687619946331722e-05,0.0001643658784874491,reb
9.294532562376112e-06,6.645825470319444e-05,reb
0.00015458690109759754,6.145226308429397e-05,reb
2.7929904695356278e-05,0.00014312312329611832,reb
5.6280024850474675e-06,1.9453460515350685e-05,reb
7.049362189492925e-05,2.395454733450375e-05,reb
5.031550442957666e-08,0.0005148155153069656,reb
1.9671476592098003e-07,4.3801212986638305e-06,reb
3.395802588790353e-06,1.2632633890063971e-06,reb
4.950846129059272e-06,0.00022185741605562637,reb
0.00015392156096971643,0.0002310491363503031,reb
2.2084533107369353e-05,8.772529793843464e-05,reb
4.321738358048499e-05,6.010753982255146e-05,reb
8.522733600746513e-06,2.8245132422943797e-06,reb
0.0003846150321901165,8.86194664517781e-06,reb
3.7411714176593946e-06,7.214907476482679e-05,reb
