dR2_M,dR2_OxM,target,dim
0.00010016492157116641,3.6299279467577605e-05,ast,d3par
7.318819092549944e-06,0.00010552682196696139,ast,d3par
1.2804052019754764e-06,5.607876191027206e-05,ast,d3par
6.940783657682914e-05,8.32233953593775e-05,ast,d3par
3.365760593931899e-05,1.6281881629942596e-05,ast,d3par
2.9179782394805898e-06,1.344711532691445e-05,ast,d3par
5.0255570038792996e-08,0.0002258768304520542,ast,d3par
8.069166299584651e-07,3.2837264447582726e-05,ast,d3par
4.3013825057114374e-05,4.503152683699163e-05,ast,d3par
0.00011508137022409048,4.8504953217620717e-05,ast,d3par
8.40313369621093e-06,0.00013899209831613746,ast,d3par
5.0937915129001254e-05,2.1902266203244203e-05,ast,d3par
8.070076191490916e-05,3.100290160373831e-06,ast,d3par
8.876331499929613e-06,2.1235766872296225e-05,ast,d3par
1.1851766211767867e-06,0.0001983703610805021,ast,d3par
0.0001529245714602112,6.259863688184986e-05,ast,d3par
6.113053464473772e-05,1.792196977179472e-05,ast,d3par
4.485058935022046e-06,0.00040056117579923,ast,d3par
3.000341495251746e-07,7.22363561680428e-05,ast,d3par
7.113006012138268e-05,1.5656996132928924e-06,ast,d3par
1.0638221414893678e-07,6.603407219141211e-06,ast,d3par
1.287615580825019e-08,3.6608370255653e-05,ast,d3par
8.005577732728142e-05,9.076955365328043e-05,ast,d3par
2.45508696892216e-05,0.00016015531137825167,ast,d3par
1.4507888684844872e-06,2.2053538329847022e-05,ast,d3par
2.4176164873046524e-05,2.0413229597782134e-06,ast,d3par
6.727085307167702e-05,0.0002587475583306631,ast,d3par
3.0752813180434657e-06,6.614998934040273e-05,ast,d3par
2.2738596960891755e-07,0.00018049779098605612,ast,d3par
4.353082755936821e-05,5.236277699038894e-05,ast,d3par
9.604707998489559e-06,8.615465023953384e-06,ast,d3par
3.496980847450537e-06,1.7831541957558095e-05,ast,d3par
7.374126046455487e-07,0.0002085555786492943,ast,d3par
0.00028548914805570647,0.0002482448748748478,ast,d3par
8.565214345779282e-06,0.00013801718584560696,ast,d3par
2.6536397679244317e-07,3.0272221893778983e-05,ast,d3par
1.8184526905384857e-06,1.7631136180917828e-05,ast,d3par
8.061792908431453e-05,0.0001457882054365367,ast,d3par
2.1063379109564906e-05,0.00010313908491921264,ast,d3par
0.0001441473862876519,1.120128250486907e-05,ast,d3par
6.177156193221123e-07,0.00011325881169643726,ast,d3par
8.413597926260064e-05,1.7988566168858355e-06,ast,d3par
8.891907795294252e-06,1.9643030148674967e-05,ast,d3par
1.163723884922696e-06,2.936828226052235e-06,ast,d3par
0.00012488927689946472,5.35555347118688e-05,ast,d3par
1.418204415137847e-05,6.150239682201075e-05,ast,d3par
1.3213708669579383e-05,3.8724202624962345e-05,ast,d3par
8.051353617144485e-08,3.1159777842404424e-06,ast,d3par
2.5645995800460675e-05,1.2034690633599965e-05,ast,d3par
3.1306208813530745e-05,0.00023127545147094697,ast,d3par
2.354517618130547e-05,4.4818192490581055e-09,ast,d3par
1.1784747202758794e-05,0.00019109176630105473,ast,d3par
4.902080606217218e-06,6.826309392304886e-05,ast,d3par
8.607538677130044e-05,1.6325958269614027e-05,ast,d3par
4.314563133434035e-06,1.3813906869719617e-05,ast,d3par
5.082856543425773e-05,0.0001963930318429341,ast,d3par
1.0458274700919645e-05,9.284829703970487e-07,ast,d3par
7.373416267197896e-05,0.000244211474955347,ast,d3par
