dR2_M,dR2_OxM,target,dim
4.8428252828691676e-05,0.0003540384162284971,ast,dorebA
0.00023066375306579623,0.0003221289748825962,ast,dorebA
2.86776014545298e-05,3.702975849795287e-05,ast,dorebA
1.2407937044933703e-05,0.00017608482028297345,ast,dorebA
3.564770900188474e-05,2.6364224037345174e-05,ast,dorebA
2.24558061753255e-05,3.850795864068779e-06,ast,dorebA
0.0001503628894483633,1.0422516886987587e-05,ast,dorebA
8.089577086556332e-05,8.482748989890876e-05,ast,dorebA
1.7450923626149972e-06,9.478579505950435e-06,ast,dorebA
3.230830464051593e-06,8.715474804665835e-05,ast,dorebA
0.0008241647018165654,0.00021991595315118406,ast,dorebA
0.00026140975655486454,0.0001597840183751309,ast,dorebA
0.0002729206741545198,5.800189899218822e-05,ast,dorebA
1.6130597922381362e-05,0.00025970744739001184,ast,dorebA
0.00022554767805049725,0.00010248801248557982,ast,dorebA
8.595009852996327e-05,7.87343789802053e-05,ast,dorebA
8.926481604654146e-05,0.00023279957789135164,ast,dorebA
0.00010681306265891699,2.550309066995382e-05,ast,dorebA
4.6889493106050395e-06,0.000348418876932044,ast,dorebA
4.141209707708704e-05,0.0001358698733628927,ast,dorebA
7.309259809629154e-07,2.0859691307606454e-08,ast,dorebA
2.736629570587734e-05,3.3909468122539366e-05,ast,dorebA
0.00032066796321439384,0.0001580099526583556,ast,dorebA
0.0001258416702686338,0.0003067868808231955,ast,dorebA
0.00010900522199874807,0.000811861645474643,ast,dorebA
6.282327309492519e-05,0.00023754248397411803,ast,dorebA
1.175090347116381e-05,0.00019138936337914636,ast,dorebA
0.00039726928786276705,5.568233815456125e-05,ast,dorebA
1.3364409878757755e-07,8.332155627543969e-05,ast,dorebA
5.974278153297874e-07,4.080728183697424e-06,ast,dorebA
0.0001901249047382425,0.00016951699494049954,ast,dorebA
1.0545166890807423e-05,7.846782950615694e-05,ast,dorebA
3.74664605596875e-05,3.212950857778285e-05,ast,dorebA
0.0001947185452014777,6.025982815183184e-05,ast,dorebA
5.183746743919748e-05,0.0003873101999232187,ast,dorebA
7.866632587627542e-05,8.32487241432256e-05,ast,dorebA
0.00018298117898107868,5.522212142339278e-06,ast,dorebA
2.7641561990754404e-05,5.7211243631449804e-08,ast,dorebA
0.0001346291205109873,1.6111439091526236e-05,ast,dorebA
3.314640824547688e-05,2.580998130763401e-05,ast,dorebA
3.929847349415372e-05,3.1748114737162325e-06,ast,dorebA
0.000104016788706085,0.00016494193348459696,ast,dorebA
2.860372094637409e-05,0.00015959036354351586,ast,dorebA
6.674086769720144e-05,7.5847032831033445e-06,ast,dorebA
1.439522313895214e-05,1.5637962261783045e-06,ast,dorebA
5.4225572645005826e-05,0.0005647727245972067,ast,dorebA
7.060487571819429e-06,2.5656968431264637e-05,ast,dorebA
5.697225162815123e-05,0.00033337051778203897,ast,dorebA
6.633339176942421e-05,6.793562899143346e-05,ast,dorebA
0.00021393771376765347,6.7580446686532625e-06,ast,dorebA
9.043979313916317e-05,0.00010354825477321139,ast,dorebA
5.870627631732184e-05,0.0003122962083530467,ast,dorebA
5.153283416103882e-06,0.00028171718459324424,ast,dorebA
6.88537072601747e-05,0.00032327487644245867,ast,dorebA
3.950682762154933e-06,6.662028844472978e-06,ast,dorebA
9.03524127973121e-05,0.000232635531755232,ast,dorebA
3.3474833595281694e-05,3.542683325330476e-05,ast,dorebA
1.2550383138743015e-05,1.2572449061831747e-06,ast,dorebA
1.3450319775731856e-06,0.0002435296485118199,ast,dorebA
6.340920302716491e-06,4.600415244238043e-05,ast,dorebA
4.780618747102228e-05,0.00010130064396762783,ast,dorebA
1.9392728632494638e-05,4.759871440407348e-05,ast,dorebA
2.305159380044941e-05,2.0020258590602857e-05,ast,dorebA
0.00010287272866127406,2.6280722816407476e-05,ast,dorebA
2.243558150705205e-06,4.7898478346075635e-05,ast,dorebA
7.272597985941154e-06,0.00020266747276609376,ast,dorebA
0.0003115436941969474,0.00014948151271754195,ast,dorebA
3.996183965915279e-05,7.139700010094785e-06,ast,dorebA
1.3097926323535347e-06,1.1268559990673666e-06,ast,dorebA
3.362356587666149e-05,0.00012938008089458108,ast,dorebA
3.801271321091093e-05,5.290099389210212e-06,ast,dorebA
4.945411138379541e-07,3.990540899556638e-05,ast,dorebA
7.404351536344222e-07,2.9766510744488883e-05,ast,dorebA
0.00023643631016034838,4.7707519046369384e-09,ast,dorebA
1.1915649242855153e-06,6.862543631580564e-06,ast,dorebA
2.8987385465972793e-05,3.7133408732459294e-05,ast,dorebA
3.0994390675109784e-06,1.2352800295101218e-05,ast,dorebA
2.009747876974277e-05,0.0001194441010351488,ast,dorebA
0.00012155798039414911,1.4786110134723529e-05,ast,dorebA
5.9343764730046544e-06,0.00015177575296876356,ast,dorebA
9.912942049217222e-05,3.191006772196303e-05,ast,dorebA
6.324643130228846e-05,9.082774353630363e-06,ast,dorebA
8.553373743713788e-05,1.265278151307836e-05,ast,dorebA
5.7779880876851486e-05,1.1963423662830763e-07,ast,dorebA
5.078627945387382e-05,2.3921991249675756e-05,ast,dorebA
1.4087730093592654e-07,9.495492259148364e-08,ast,dorebA
3.917648810836116e-05,0.0003817648210717728,ast,dorebA
1.4321959067808976e-05,3.321533415745481e-05,ast,dorebA
8.435064329903597e-06,5.681672408053284e-05,ast,dorebA
0.000155001486776829,0.0002177002804528705,ast,dorebA
2.958914591122408e-08,3.3528761793077955e-05,ast,dorebA
1.3255509773824059e-05,0.00011064281975636803,ast,dorebA
4.2929898644850084e-05,2.750063183476481e-05,ast,dorebA
0.0005771538790491082,0.00012734592986785032,ast,dorebA
2.8189029281922018e-06,0.00022359856338216577,ast,dorebA
0.00021851392831584437,4.169301792700253e-09,ast,dorebA
5.5239775693660675e-06,0.00011675920357157032,ast,dorebA
0.00010279251530542766,0.00010965554894903917,ast,dorebA
4.55356887468783e-05,3.625328510392656e-05,ast,dorebA
7.694684520664907e-07,1.5938150150884844e-05,ast,dorebA
0.00046165729096014907,0.00010495304719648768,ast,dorebA
5.6142982759466165e-05,0.0001145461680082116,ast,dorebA
3.419238395019342e-05,4.031401293702608e-05,ast,dorebA
6.83128916212361e-07,2.7188239368869382e-05,ast,dorebA
0.00012138163898844923,3.556654109670987e-06,ast,dorebA
0.00015049503750896864,9.212700660210515e-05,ast,dorebA
0.0006482085242863755,1.0110771886395753e-08,ast,dorebA
1.3823061379314439e-05,3.4238253951435205e-05,ast,dorebA
4.178491008755003e-08,0.00011113683691954535,ast,dorebA
1.7100982974138645e-05,4.884369947943945e-06,ast,dorebA
1.352845047408735e-05,5.031704512004076e-05,ast,dorebA
0.0001795171655717409,0.00012378707012594692,ast,dorebA
0.0002113155973181291,5.002636231488111e-06,ast,dorebA
2.309655506038677e-05,8.397979691288082e-05,ast,dorebA
3.470883606759845e-05,8.486712456934331e-05,ast,dorebA
1.2813837252045879e-05,4.717261386055771e-05,ast,dorebA
1.8958733755125579e-06,1.0220093679125242e-06,ast,dorebA
0.00019582914583360367,1.4499488702135466e-05,ast,dorebA
2.2508271291243886e-07,1.3806160710228e-06,ast,dorebA
1.5895299977475297e-05,4.0974468722976276e-05,ast,dorebA
8.883031036122091e-05,0.00010539075181470459,ast,dorebA
0.00015504714263403496,1.6728344542915607e-07,ast,dorebA
1.7349093324847686e-05,8.397683558536428e-07,ast,dorebA
7.977456816965489e-05,0.0003128822902134232,ast,dorebA
0.00015136464328502353,2.5087296828818495e-07,ast,dorebA
0.00012051980521066152,3.181013398712018e-05,ast,dorebA
2.078028637497731e-06,3.388264309789335e-06,ast,dorebA
1.8307262901195998e-06,4.791071266940783e-06,ast,dorebA
2.09592954292237e-06,2.394731227339797e-05,ast,dorebA
5.4735917322856764e-05,0.00032990047079928253,ast,dorebA
0.0003173671809910683,4.703236066150307e-05,ast,dorebA
0.00022882858817807605,0.0003666835069311425,ast,dorebA
3.267664515582691e-05,2.0561012447517513e-05,ast,dorebA
7.570291587033484e-05,1.7664776984172015e-05,ast,dorebA
6.092909215493769e-06,0.00018853227213611046,ast,dorebA
7.785843142382731e-05,1.678625997458827e-05,ast,dorebA
0.00020296610635139878,0.0002055011060891898,ast,dorebA
1.2953222179756807e-05,6.233426939628028e-05,ast,dorebA
5.970748543260296e-05,0.0006104360642655848,ast,dorebA
0.00017752910298707292,2.9353446550084428e-06,ast,dorebA
0.00013994098147107614,0.00017801098493108736,ast,dorebA
0.00010581594967196128,0.00019439795477138588,ast,dorebA
4.4413977633661617e-05,5.261872438144799e-05,ast,dorebA
1.3813527538042436e-05,1.5458988533723073e-09,ast,dorebA
1.4873330552167552e-05,4.1244112192195814e-07,ast,dorebA
1.4356911534063599e-05,5.672928091138285e-05,ast,dorebA
0.00014293962965317153,4.675872187109853e-06,ast,dorebA
2.8741197478199254e-05,3.438630596352965e-05,ast,dorebA
9.580647148954569e-07,1.5558546621052827e-06,ast,dorebA
3.1602028922605996e-05,0.0007092259792896849,ast,dorebA
2.7279907647614898e-05,0.0002720049563232907,ast,dorebA
0.00016934617892927495,3.966571416191833e-05,ast,dorebA
0.00024222412285446193,1.5547942602278653e-05,ast,dorebA
0.000114992376003209,1.6376762485670326e-05,ast,dorebA
5.8207029815737776e-05,0.00017263174431569883,ast,dorebA
5.8140832073227955e-06,6.0388530147559294e-05,ast,dorebA
8.089720069925921e-05,2.0024493382342357e-06,ast,dorebA
3.373502887737967e-05,0.0002624527765320295,ast,dorebA
3.4237960999661254e-06,0.00026677688798248944,ast,dorebA
6.0468285684733836e-05,1.6721281776099772e-05,ast,dorebA
4.61720493238893e-06,7.046978671532145e-05,ast,dorebA
2.476657943395466e-05,5.6705177189586564e-05,ast,dorebA
5.713494861758761e-05,0.00010682195025024654,ast,dorebA
2.0454788072221675e-06,0.00018019776050992586,ast,dorebA
2.1176471858286305e-05,2.0669611747958783e-05,ast,dorebA
1.4589864263392371e-06,2.972833491099447e-05,ast,dorebA
4.782462524111075e-06,4.485009037047405e-06,ast,dorebA
4.070543531065063e-05,1.8549712997306678e-05,ast,dorebA
4.4822704389324564e-05,3.5911933777277305e-05,ast,dorebA
2.439312672120053e-05,0.0004089541200720248,ast,dorebA
3.782645439809329e-05,2.6993795334218085e-05,ast,dorebA
7.720592514193214e-07,1.7070770997884566e-06,ast,dorebA
2.0442922404106945e-05,7.235793143278713e-05,ast,dorebA
0.0003334287038341266,0.00013102428892441953,ast,dorebA
8.591951932090947e-05,3.7470409341211486e-05,ast,dorebA
2.2547789354510073e-06,1.1873430416309283e-05,ast,dorebA
3.453699606303928e-07,5.699092118449656e-06,ast,dorebA
4.081720980764203e-06,0.00011389131342820491,ast,dorebA
3.3279279656017735e-05,2.839380057850782e-06,ast,dorebA
9.906489994659928e-06,0.000128604161028667,ast,dorebA
4.216042083426963e-05,3.2038275517010106e-06,ast,dorebA
4.7587899951406776e-05,7.126619355757313e-06,ast,dorebA
0.00012347581812521824,1.1440630798276175e-05,ast,dorebA
2.473759352694671e-06,5.8114817707566324e-05,ast,dorebA
3.5775138909177606e-05,3.1883001869736916e-05,ast,dorebA
3.4320450618130494e-06,0.0001345792167063431,ast,dorebA
5.091621258279666e-05,3.4317892591007038e-06,ast,dorebA
8.993436088067241e-07,0.00023988212417791477,ast,dorebA
3.56729943746803e-05,0.0003147427476885012,ast,dorebA
3.556334117227333e-05,6.301141519671205e-07,ast,dorebA
2.577746520460167e-06,5.4034676112757474e-05,ast,dorebA
9.8199326192705e-05,5.899779274720629e-05,ast,dorebA
1.6662426710833955e-05,5.1245881572237195e-05,ast,dorebA
0.0002401397296014629,7.109398458338134e-05,ast,dorebA
0.0002717291142053657,0.0002924231591394655,ast,dorebA
0.00010078184202266804,4.00497949675227e-05,ast,dorebA
0.00024373202916017078,0.00010624769541778267,ast,dorebA
1.2077858365655558e-06,8.42375350479374e-05,ast,dorebA
0.0002409029790753081,3.401963931681795e-05,ast,dorebA
2.2302492819203934e-06,2.0778900933215994e-08,ast,dorebA
