dR2_M,dR2_OxM,target,dim
6.802106334635738e-05,1.1790229661468032e-05,reb,d3par
0.00016218450420057984,0.00022610386806987126,reb,d3par
0.0001709941559895345,1.6289362712251787e-05,reb,d3par
8.222099335974953e-05,7.1451733418825825e-12,reb,d3par
4.7249595936937894e-05,8.263642746975108e-06,reb,d3par
4.7124311706170374e-06,0.00020883513844183188,reb,d3par
7.633440766929844e-06,2.0795546737284454e-05,reb,d3par
1.9182254062943827e-07,2.153099982193929e-06,reb,d3par
9.850460842519837e-05,7.727636717380637e-05,reb,d3par
7.9449442202284e-05,5.889577290307813e-07,reb,d3par
9.259222083612961e-06,1.4322786774156882e-05,reb,d3par
2.397153692990095e-06,0.0002319307434656137,reb,d3par
9.310987659372216e-05,0.0001483856109085746,reb,d3par
6.805773156148831e-06,1.6028462890282924e-08,reb,d3par
3.4815226357509665e-05,1.1828569237204434e-05,reb,d3par
3.5168754826675475e-05,0.00011825580882651732,reb,d3par
1.4841969822598777e-05,8.944600168403483e-05,reb,d3par
3.60279154603127e-05,3.100041156911537e-05,reb,d3par
9.424583711448165e-06,7.782708506542946e-05,reb,d3par
0.00010403571105188636,1.750629763397349e-05,reb,d3par
4.050388095833135e-05,5.55780059090516e-05,reb,d3par
2.3779832266312972e-05,9.412648591788919e-05,reb,d3par
1.2280634797967593e-07,1.5932796491591183e-05,reb,d3par
7.35341090998265e-05,3.394086731156598e-05,reb,d3par
0.000311586401093078,3.0649479192401685e-05,reb,d3par
0.0001936507454072256,0.00012100927827674024,reb,d3par
0.00019599263137548562,9.685113498303366e-06,reb,d3par
5.133998945971996e-07,1.785148508492984e-05,reb,d3par
7.987924663277468e-06,1.5752737223873048e-05,reb,d3par
4.170787151880351e-05,6.117838287389432e-05,reb,d3par
1.7682455881740111e-06,1.5642362634071816e-06,reb,d3par
3.451167953583134e-05,5.089074197983656e-05,reb,d3par
3.57214699574504e-05,5.028301199194729e-06,reb,d3par
0.00010372666950431153,1.0827825071890729e-05,reb,d3par
1.0302257556382699e-05,0.00014800318210683727,reb,d3par
4.783712250011618e-05,6.903048108908294e-06,reb,d3par
3.381775320310254e-05,0.00026806544043178615,reb,d3par
1.4933422154639331e-05,1.549113259891044e-06,reb,d3par
0.00018169638463583215,0.0005205602252655872,reb,d3par
2.409654710455733e-05,3.9846746833549496e-05,reb,d3par
6.14193032943966e-05,9.14844628355782e-05,reb,d3par
