dR2_M,dR2_OxM,target,dim
0.00016635907332795963,0.00015909824332460687,reb,dorebA
0.00011360638807889067,8.76947170436182e-09,reb,dorebA
3.6016947248196374e-05,9.442690860228531e-06,reb,dorebA
4.758091764589523e-06,1.349131163874695e-05,reb,dorebA
0.00010789771143770999,5.065414691918235e-06,reb,dorebA
1.522766348682758e-05,3.0187388553648553e-05,reb,dorebA
0.00010945105057957871,2.2558899304137014e-08,reb,dorebA
7.56165139945697e-05,1.8437991766706574e-06,reb,dorebA
3.760296221011483e-05,2.6600395833242807e-05,reb,dorebA
2.1669455557038475e-05,5.542614116782474e-05,reb,dorebA
3.768228993383804e-05,9.351402295521005e-06,reb,dorebA
2.082162464667192e-08,2.7169496783052693e-05,reb,dorebA
7.152348038486078e-05,0.0002197786562411208,reb,dorebA
3.3051360542879493e-06,7.735039225642559e-05,reb,dorebA
1.9711240383246675e-06,2.869444899356033e-05,reb,dorebA
2.6739190332580876e-05,1.4247466117334184e-05,reb,dorebA
1.4794500445836078e-06,4.200492471406747e-05,reb,dorebA
0.00015156132804505784,1.7707155808288633e-06,reb,dorebA
2.7393554200894066e-05,1.580005537515916e-07,reb,dorebA
4.013102946909264e-05,0.00010450618247348498,reb,dorebA
0.00011423086214967793,0.0001417526388568513,reb,dorebA
0.0002330028285876251,0.00028414104534713047,reb,dorebA
0.0002931090865962993,2.238439738844189e-05,reb,dorebA
2.3017505395794835e-05,9.830644128061561e-05,reb,dorebA
3.276908918137256e-05,1.0700072348490686e-05,reb,dorebA
8.145058016062467e-05,0.00022242621175727617,reb,dorebA
5.3213599665369316e-05,3.2037983250798874e-06,reb,dorebA
0.0001948895895220737,5.632185269277556e-07,reb,dorebA
0.0001239728450491695,3.248818680989807e-05,reb,dorebA
0.00021377529495958392,9.817585651772376e-06,reb,dorebA
1.1420464709255285e-05,2.3624463425298003e-05,reb,dorebA
7.042288160064025e-06,2.722230170892903e-05,reb,dorebA
0.0002527838852117714,0.00012180476814460661,reb,dorebA
3.717798209290635e-07,4.295094793360654e-05,reb,dorebA
4.789294249518683e-06,5.7354998507785915e-05,reb,dorebA
9.56908851645899e-06,8.689337118727991e-06,reb,dorebA
1.5429942292866095e-05,3.897101611349818e-05,reb,dorebA
9.065981286027203e-06,5.708540573579057e-08,reb,dorebA
0.0008889533715913389,0.00015878905795130294,reb,dorebA
2.392937805439921e-05,1.1941722916075648e-06,reb,dorebA
9.978090252471539e-05,6.5597896321545335e-06,reb,dorebA
1.1401108945818805e-09,0.0003274677348197308,reb,dorebA
9.569849777957273e-06,1.726576470084673e-05,reb,dorebA
4.283269073479534e-05,0.00010330135266545248,reb,dorebA
0.0006081183306630988,0.0005206108224636852,reb,dorebA
5.353271412467109e-05,2.5911972101333447e-07,reb,dorebA
0.00018505276721836328,1.1367449462063028e-05,reb,dorebA
8.660163779428132e-06,3.279036995929019e-06,reb,dorebA
1.3361924644517131e-07,2.714128190972609e-05,reb,dorebA
0.00016899987733187682,1.5881753597457582e-05,reb,dorebA
0.0001983639146709848,6.507303331027003e-05,reb,dorebA
0.00014314677046611823,1.2748395801009949e-05,reb,dorebA
1.69327097930827e-05,7.336718447958912e-05,reb,dorebA
4.783464233160117e-06,1.5720918357109426e-06,reb,dorebA
3.3308713557334e-06,6.994391245462861e-05,reb,dorebA
8.749235242633269e-06,1.1939483499534553e-05,reb,dorebA
3.0102509861684723e-05,5.3571502225957524e-05,reb,dorebA
3.38159572799146e-06,0.00011554229520149839,reb,dorebA
8.360923198125203e-05,7.849438893281491e-05,reb,dorebA
2.000557761983046e-05,8.391288940368113e-07,reb,dorebA
0.00012507228558422678,0.00012361173257613434,reb,dorebA
3.085970108673841e-06,1.0020182453773785e-06,reb,dorebA
1.9527215509018703e-05,0.00017442602690442843,reb,dorebA
1.027912323336988e-05,2.207174883206431e-05,reb,dorebA
1.906883227986711e-07,4.0241367638804704e-05,reb,dorebA
4.3493444963904615e-05,3.1763650006011446e-05,reb,dorebA
1.0047695131354395e-05,6.847695801726061e-06,reb,dorebA
1.6374513702288596e-05,5.392814933202761e-05,reb,dorebA
2.5562912523424686e-06,2.0347592244451818e-06,reb,dorebA
4.345678073280901e-06,2.7606253265810565e-05,reb,dorebA
6.36528437100159e-05,3.5874622578146997e-06,reb,dorebA
3.421348637400179e-06,1.3377932092661915e-05,reb,dorebA
8.114578062390354e-05,1.4581624020681971e-05,reb,dorebA
0.0002600216532331334,9.192401980240295e-05,reb,dorebA
1.7104108324228484e-05,3.4590523145805463e-06,reb,dorebA
3.4699215282207874e-05,3.034486447006657e-06,reb,dorebA
1.5033854242285649e-05,0.00018660293583094845,reb,dorebA
0.0003692133154021837,1.130490171696863e-05,reb,dorebA
8.06801539632307e-06,3.6152743580819546e-05,reb,dorebA
1.0572737324521242e-06,1.633482860041724e-05,reb,dorebA
1.6474507910091418e-06,5.063064617982782e-05,reb,dorebA
3.527422582727535e-05,2.236146853351606e-06,reb,dorebA
8.688066553252938e-05,1.1489304544420875e-06,reb,dorebA
6.292747592895331e-06,5.64011767194561e-05,reb,dorebA
2.213562732888974e-06,3.863690309802159e-06,reb,dorebA
7.021633894876977e-06,1.8402330966837965e-06,reb,dorebA
1.9533936506666016e-05,2.70556227421892e-08,reb,dorebA
