dR2_M,dR2_OxM,target,dim
6.310752410132459e-05,3.6525850455326747e-07,reb,dtovf
0.00012769194266737394,2.740369404730103e-07,reb,dtovf
0.00034981724763216704,0.00019268895684398935,reb,dtovf
5.816296136940124e-07,3.116065179231686e-05,reb,dtovf
3.162585217164615e-05,6.166803712126523e-07,reb,dtovf
0.00036772138663165865,1.4890272283851758e-05,reb,dtovf
0.0001782788877807695,2.7655452740193986e-05,reb,dtovf
3.082774113760678e-08,7.752874237720864e-05,reb,dtovf
4.495168391516202e-06,4.318221012877821e-05,reb,dtovf
8.934553039963156e-06,6.555204892988442e-05,reb,dtovf
6.667870758336747e-05,3.212728442336665e-05,reb,dtovf
5.37995491576293e-05,0.00013459578772312408,reb,dtovf
4.108920833090224e-05,6.47937083131378e-05,reb,dtovf
9.088897523124029e-05,0.00012059892545113193,reb,dtovf
1.2830420678899834e-05,4.560760143845766e-05,reb,dtovf
5.825709751372532e-05,7.4373743954248e-05,reb,dtovf
2.8311003954506475e-06,2.7013529763086908e-06,reb,dtovf
3.1975180349030907e-06,1.4431239522827433e-05,reb,dtovf
0.00023642320288530527,3.4159892991492136e-05,reb,dtovf
4.7843895223720345e-05,1.32944978316063e-05,reb,dtovf
3.483522594305288e-05,1.1970784118187083e-05,reb,dtovf
3.0581668353235614e-07,2.9585171880452954e-05,reb,dtovf
3.2146297480384334e-05,1.7861719733280879e-06,reb,dtovf
2.6013631374555146e-06,4.6270991505004133e-07,reb,dtovf
3.8806546592828894e-06,0.00014249211750183566,reb,dtovf
0.00014115240705947496,1.1998364014664809e-05,reb,dtovf
2.8336213930835186e-08,9.572501113441767e-06,reb,dtovf
1.0033914742746397e-05,1.883984087880375e-05,reb,dtovf
1.8945735595021773e-05,7.284355178860391e-05,reb,dtovf
2.3429730283131e-05,5.4918866121411725e-06,reb,dtovf
0.00021618660157618486,4.2893440091562596e-05,reb,dtovf
8.198229690670189e-07,3.510582909882487e-05,reb,dtovf
4.678299506388761e-05,1.682922083912075e-06,reb,dtovf
3.447604157624795e-05,2.5978962686412643e-05,reb,dtovf
3.184174099657433e-05,0.00011759414721190797,reb,dtovf
