dR2_M,dR2_OxM,target,var
7.967406580267067e-06,0.00010128495748307209,ast,own_rest
3.5607149002636618e-06,5.8483080078164384e-05,ast,own_rest
0.0002777378016890486,0.00011423949197508776,ast,own_rest
4.1399708294864723e-07,4.157222992384746e-05,ast,own_rest
4.846711961159489e-05,3.124584502145478e-05,ast,own_rest
7.156373827754692e-05,1.033803005312528e-06,ast,own_rest
5.691825847309318e-07,7.155421810622897e-10,ast,own_rest
4.4495892970286555e-05,7.08224083795228e-05,ast,own_rest
4.387413841466792e-05,8.695817295123476e-07,ast,own_rest
5.084256634668716e-05,0.00022018058046047173,ast,own_rest
2.2905420658747566e-05,0.00018586914214113737,ast,own_rest
4.3227561753678145e-05,3.385452773418951e-05,ast,own_rest
3.527977897677115e-05,6.9860983278324795e-06,ast,own_rest
1.8035833995178052e-05,0.0002799897650661576,ast,own_rest
4.030228231477473e-05,8.412781225652921e-05,ast,own_rest
2.7704814501428032e-06,0.00020837712630839,ast,own_rest
7.574207386951137e-06,8.509513286270032e-05,ast,own_rest
0.00022386868336088384,1.0215639889565864e-06,ast,own_rest
9.418487794565777e-06,4.822492405409662e-10,ast,own_rest
7.915097863797627e-07,2.25271384384218e-05,ast,own_rest
5.594274895326379e-06,2.604918149184954e-06,ast,own_rest
2.872082124460995e-06,1.3105487357001344e-05,ast,own_rest
3.721473093221128e-05,2.7105244159497666e-05,ast,own_rest
7.548315611594081e-05,5.1995463475451587e-05,ast,own_rest
7.950921365740271e-09,1.444327676347612e-07,ast,own_rest
1.2105789137795142e-07,3.1084140594828114e-08,ast,own_rest
3.808508477232131e-05,8.177383166507735e-05,ast,own_rest
2.8275332120686336e-05,6.269720068674545e-06,ast,own_rest
3.988530719045702e-05,1.5004436739740612e-06,ast,own_rest
1.260972571326402e-05,2.5391834585275497e-05,ast,own_rest
5.198269016781776e-05,6.088447774832417e-06,ast,own_rest
3.255198577356566e-07,8.842192973690377e-05,ast,own_rest
3.361073426799699e-06,1.0884117607190547e-08,ast,own_rest
1.476615564488526e-06,0.0003765151207918427,ast,own_rest
1.7178744482482244e-07,0.00020452832704387358,ast,own_rest
4.3915163334795615e-05,0.00012199019541614398,ast,own_rest
2.4278664909616055e-05,1.494226478104821e-07,ast,own_rest
5.261407967083187e-07,1.6531637059280513e-08,ast,own_rest
