dR2_M,dR2_OxM,target,var
0.00025171758926723076,0.00042200670615055724,ast,own_travel
2.0766151824114232e-05,4.3498700006749935e-05,ast,own_travel
2.0566293191248697e-05,0.00010639979883164674,ast,own_travel
5.399710514386591e-06,9.943593937888906e-05,ast,own_travel
0.00013854221819853407,3.671378532710268e-05,ast,own_travel
1.004652538638684e-05,0.0001754092525894091,ast,own_travel
1.6207536146506385e-07,3.8140934331742926e-05,ast,own_travel
1.1415834369365996e-05,1.6195563904863874e-05,ast,own_travel
1.3589085465337547e-05,2.2998499281778884e-05,ast,own_travel
3.946302381652167e-05,0.00023902543080922545,ast,own_travel
4.387959494422944e-06,7.562339572597665e-05,ast,own_travel
7.385064257769969e-05,4.3599563182894485e-05,ast,own_travel
1.7842666557577047e-06,3.015241854198436e-06,ast,own_travel
1.902688047339396e-05,2.9233035476194935e-05,ast,own_travel
5.080408629343225e-06,2.7882236923071346e-05,ast,own_travel
6.006147849513255e-06,0.00025912465009669816,ast,own_travel
1.3272787791174245e-05,0.00022055216134864164,ast,own_travel
0.0001190511151599738,3.2435411938647185e-05,ast,own_travel
1.7158245445569875e-06,2.720268548939142e-05,ast,own_travel
0.00021383544050523895,1.5211248248769849e-06,ast,own_travel
5.335456651922588e-05,2.873504797440418e-07,ast,own_travel
1.3006575357743522e-05,3.854040047357454e-05,ast,own_travel
6.909557121603793e-05,3.56977338744624e-05,ast,own_travel
1.8300891700295807e-05,0.0002650076759592723,ast,own_travel
0.00012256921678954757,2.3442069955192935e-05,ast,own_travel
0.00025386141002858853,1.5496443337870147e-05,ast,own_travel
9.375674976297432e-05,2.327957874048714e-05,ast,own_travel
2.161845559445208e-05,2.9684156542808537e-06,ast,own_travel
1.1353694244986556e-05,0.0001821908529788807,ast,own_travel
0.0001567656486134439,3.880033020697837e-05,ast,own_travel
0.00023039161576265954,4.299995849521565e-05,ast,own_travel
4.312166235631576e-05,0.000126178395363441,ast,own_travel
1.9452762101135335e-07,5.2016630639251105e-05,ast,own_travel
0.00041473985016937664,1.9076444940369086e-06,ast,own_travel
3.86348881253884e-06,5.295307721808751e-05,ast,own_travel
5.6927964056541214e-05,5.086319450842147e-05,ast,own_travel
1.204320793390945e-05,7.96616312920273e-05,ast,own_travel
3.8861272440460226e-05,4.001522787389078e-05,ast,own_travel
9.442027126826957e-08,7.535533779046144e-05,ast,own_travel
4.8440867988275293e-05,9.845481182768623e-05,ast,own_travel
5.2919805286988364e-05,6.009085635361178e-05,ast,own_travel
9.329216725617595e-05,5.452994820498436e-05,ast,own_travel
6.773516050384565e-06,0.00013302740099896404,ast,own_travel
4.455030779060287e-06,0.00016564301215116206,ast,own_travel
0.00013210931473428555,2.7829309684035408e-05,ast,own_travel
5.6931636573165356e-05,1.6906418895512587e-05,ast,own_travel
5.442188591331387e-06,0.00011209133130940518,ast,own_travel
2.88169923368109e-07,3.417281766493474e-05,ast,own_travel
1.110245316793268e-07,2.6446648944689066e-05,ast,own_travel
2.187686574506298e-05,2.9552449588687857e-05,ast,own_travel
0.00017419066101931335,1.696756708746694e-05,ast,own_travel
0.00014672929764447673,8.266928366018611e-05,ast,own_travel
0.00020025681313062815,0.00013068112578096258,ast,own_travel
2.231282133580148e-05,3.6197841923879537e-07,ast,own_travel
9.414856591105636e-05,0.00010372455723162144,ast,own_travel
2.4524062712361072e-05,9.6545254872904e-06,ast,own_travel
2.8738647480763824e-05,4.3331251979195073e-05,ast,own_travel
3.509821901892529e-06,0.00010169327649700577,ast,own_travel
2.1322750289098913e-05,8.566034987744775e-05,ast,own_travel
2.4674321715822956e-06,0.0001715079947008924,ast,own_travel
7.371689574142692e-05,1.1302242550192965e-05,ast,own_travel
2.881442492908004e-05,6.346012824676173e-05,ast,own_travel
0.00015210762813211431,3.651309549890236e-05,ast,own_travel
1.3070697926220731e-06,0.0002744728301561361,ast,own_travel
3.07565491763917e-06,6.34130650690734e-05,ast,own_travel
6.950273896022541e-05,0.00022935958901415532,ast,own_travel
1.4269896939644866e-06,1.9370433810284027e-05,ast,own_travel
0.00016918527127718352,4.127448141710843e-06,ast,own_travel
8.011953732678379e-07,0.00011736921052052374,ast,own_travel
0.00010702004279961042,0.00010549690516270527,ast,own_travel
3.538100795053012e-05,8.579229367300378e-05,ast,own_travel
0.00014930565409554397,8.925706215079376e-05,ast,own_travel
2.8149039785985153e-05,0.0003174609901311909,ast,own_travel
4.97533003228634e-05,0.000687088660615065,ast,own_travel
3.252604725978436e-05,1.159174371445637e-05,ast,own_travel
5.197134751333543e-05,0.00018697363159714264,ast,own_travel
2.8620690598613052e-06,3.428569933516812e-07,ast,own_travel
2.634595320560873e-05,9.548058860997521e-06,ast,own_travel
4.056752996606239e-05,2.9602869694111966e-05,ast,own_travel
2.9402227787689306e-05,5.713130516338261e-06,ast,own_travel
0.0001038116615645901,9.64792342472709e-06,ast,own_travel
3.685720072477139e-05,6.859652935453653e-06,ast,own_travel
3.5878991201943045e-05,1.7200036812159425e-05,ast,own_travel
4.0826955588157965e-05,4.15746927669991e-05,ast,own_travel
0.00031515533250126015,0.00010320241089611937,ast,own_travel
5.9793819624287536e-05,1.118755462903298e-05,ast,own_travel
1.873780599204178e-05,4.446570882088441e-05,ast,own_travel
4.1440081421928454e-07,5.7473882642544716e-05,ast,own_travel
6.461598701834603e-05,9.242072494530795e-06,ast,own_travel
1.1027424425824606e-05,4.215227112058795e-05,ast,own_travel
1.0974578845468486e-05,3.8659606071966834e-08,ast,own_travel
8.346904277467537e-05,3.9073134139089305e-05,ast,own_travel
0.00032686769042511443,2.8995383104413186e-05,ast,own_travel
1.8977434383948832e-06,1.5418636677311248e-05,ast,own_travel
5.44152270620657e-06,3.1615432337095406e-05,ast,own_travel
5.183909240757956e-07,0.00011657359354511065,ast,own_travel
1.9832807409692066e-06,5.1514252299655894e-05,ast,own_travel
0.00030426761173962813,0.00011727061736632738,ast,own_travel
6.289371064038818e-05,6.627244888424144e-07,ast,own_travel
0.00040807869734149627,1.577392316765014e-07,ast,own_travel
1.5858068561636074e-06,1.0976809059148884e-05,ast,own_travel
1.1100152823351195e-05,0.00019756662671432945,ast,own_travel
4.1814791621019864e-05,8.013434480247383e-05,ast,own_travel
7.396677827919973e-05,6.79805043185544e-05,ast,own_travel
0.00011004055942298585,0.00013955448252711555,ast,own_travel
8.343792752274481e-07,0.00016495214500977795,ast,own_travel
1.9439485685612823e-06,2.0566155207513148e-05,ast,own_travel
0.00011521861666596855,2.5494807487369542e-08,ast,own_travel
5.199617403306434e-10,1.5775719963695423e-07,ast,own_travel
6.072932055889435e-05,2.546768853806114e-06,ast,own_travel
1.0199224038665022e-06,1.0367414593481783e-08,ast,own_travel
2.4849436164320338e-05,0.000560753669186953,ast,own_travel
5.489119353430105e-05,1.7461329754331345e-06,ast,own_travel
2.4355828256661383e-05,8.044698057008137e-05,ast,own_travel
5.4550006397202644e-05,7.081441182110737e-06,ast,own_travel
6.132946263570638e-05,0.0002918480396100209,ast,own_travel
1.597302260469835e-05,2.8510328954234332e-05,ast,own_travel
6.31926261185356e-06,0.0004569392484746748,ast,own_travel
7.010491297487764e-05,5.905937997674471e-05,ast,own_travel
0.00011089605097203137,0.0005648955260785238,ast,own_travel
2.5674315281554172e-05,6.723027670896276e-05,ast,own_travel
7.210379689426283e-06,9.482838686958317e-06,ast,own_travel
0.0002301330041903915,2.569836666266312e-05,ast,own_travel
1.212868180333615e-07,3.233702581550979e-05,ast,own_travel
0.0001249448596288838,6.455844034980451e-05,ast,own_travel
1.6798241587734353e-06,6.914800787227726e-05,ast,own_travel
0.00028895774843751276,1.2579686144209568e-05,ast,own_travel
0.00022220702069508658,2.3633796910838e-05,ast,own_travel
9.428392990762369e-05,0.00015229264977068002,ast,own_travel
1.4428786540898741e-05,3.294258915653714e-06,ast,own_travel
1.9266295575137704e-05,3.475604190006365e-07,ast,own_travel
2.7809258405175896e-05,3.883208530186533e-05,ast,own_travel
4.142871994328168e-05,0.00015754419982394463,ast,own_travel
1.4251033475520813e-07,0.00033356622154956383,ast,own_travel
3.262140278548209e-05,6.956358244991634e-06,ast,own_travel
0.00025394085878160944,4.224273540731627e-05,ast,own_travel
3.844327589597185e-07,1.4887482867598223e-06,ast,own_travel
3.423763012411207e-05,3.1520344846325266e-05,ast,own_travel
9.083355545613792e-06,9.601700308170535e-07,ast,own_travel
0.0001678063598006263,7.45867058371541e-06,ast,own_travel
