dR2_M,dR2_OxM,target,var
0.00010899491441840325,0.00021738275395855045,pts,own_b2b
1.950600876010622e-05,4.44316560388458e-06,pts,own_b2b
2.5109128831468652e-05,1.769035603815805e-05,pts,own_b2b
5.3928128277980214e-05,9.306020116839342e-06,pts,own_b2b
4.461639721564659e-06,2.6096542732112482e-05,pts,own_b2b
1.8813728765887383e-05,2.205345061412345e-05,pts,own_b2b
0.00040032402719947235,1.4719940566454426e-06,pts,own_b2b
1.0983516141704897e-05,1.1766189564887952e-06,pts,own_b2b
9.82869185872648e-06,1.9852572642475863e-06,pts,own_b2b
7.057845458069423e-06,0.0002574690160623838,pts,own_b2b
0.00011766732815987613,1.6190181761910338e-07,pts,own_b2b
0.0001811896882656372,2.687936661927015e-05,pts,own_b2b
2.412283713104646e-05,4.586536928030682e-09,pts,own_b2b
0.00010371861606761623,2.2716010220413807e-05,pts,own_b2b
5.968307200676648e-07,6.711022556793456e-05,pts,own_b2b
2.107590205557841e-05,0.00019319058237876607,pts,own_b2b
1.0001429972761322e-05,1.1196669414403893e-05,pts,own_b2b
2.718451422989432e-05,2.5874359871780328e-05,pts,own_b2b
5.290965188198271e-08,2.0582403289504114e-06,pts,own_b2b
8.996008101003206e-06,8.29885751740811e-06,pts,own_b2b
1.9979526554969596e-05,9.152108516596869e-05,pts,own_b2b
6.923276468107087e-05,3.3721171808220873e-06,pts,own_b2b
1.9570453668737997e-07,1.8299044756142635e-06,pts,own_b2b
9.973093836634916e-05,5.150657698127503e-07,pts,own_b2b
9.95727698007709e-05,3.4844637949449364e-06,pts,own_b2b
5.883636592374231e-07,3.927026616556972e-06,pts,own_b2b
3.560892214427014e-07,5.7801207502650165e-05,pts,own_b2b
3.202529062706905e-05,0.00010480635041709707,pts,own_b2b
2.922057960652591e-05,5.064132423293621e-06,pts,own_b2b
3.981489555038298e-05,7.294487551334772e-05,pts,own_b2b
9.642738441062448e-08,2.9906677309066154e-06,pts,own_b2b
0.00017876743416689322,8.88696114820231e-06,pts,own_b2b
0.00014745895227930017,7.941611807038562e-05,pts,own_b2b
9.450034354008263e-05,3.491955495871224e-07,pts,own_b2b
0.00016081262535094787,2.4914479523907573e-07,pts,own_b2b
4.0126656876582345e-05,8.021272680047709e-05,pts,own_b2b
0.00011365402700935778,2.5036355214225203e-05,pts,own_b2b
3.756045149827525e-05,1.4725369667956123e-05,pts,own_b2b
4.107398461572487e-06,0.0004763053863741096,pts,own_b2b
1.1785889409754446e-05,0.00011704056263950324,pts,own_b2b
0.0002849617589149034,9.310946440632684e-06,pts,own_b2b
6.064380667836211e-05,6.862931586659737e-05,pts,own_b2b
4.034555223242364e-08,5.7180938550671634e-05,pts,own_b2b
2.0839442760989257e-05,8.264124663481809e-07,pts,own_b2b
0.00020131751236174278,7.37251189586452e-06,pts,own_b2b
4.3384381309685693e-08,0.00024003038489017747,pts,own_b2b
0.0001943093558109954,2.2734431349258344e-05,pts,own_b2b
4.351500208166215e-06,0.00011016352769521731,pts,own_b2b
2.3958409776092537e-06,0.00018887148358293082,pts,own_b2b
8.880024689716937e-05,0.0001666356889679088,pts,own_b2b
6.3712299760432245e-06,3.251120716529776e-06,pts,own_b2b
2.3446411296923486e-06,1.2117106725995086e-05,pts,own_b2b
0.00010574408825936299,5.0651601872564456e-05,pts,own_b2b
4.532464759732235e-06,4.049648290416208e-05,pts,own_b2b
0.00023011116554194633,4.486287552563084e-08,pts,own_b2b
0.00022501292058840772,2.782842166382249e-05,pts,own_b2b
0.00012190854987770283,9.61052958478037e-05,pts,own_b2b
3.375434245989073e-05,1.1308461374981427e-05,pts,own_b2b
0.00024148676793656065,7.543396058906637e-07,pts,own_b2b
8.072916890533577e-09,6.240441799554297e-05,pts,own_b2b
6.158288121427269e-05,0.00014230844751572658,pts,own_b2b
7.789623373721799e-05,0.00034713641903016956,pts,own_b2b
6.186435187938155e-05,6.637752687199683e-05,pts,own_b2b
6.118508886876484e-05,2.9452899641402297e-07,pts,own_b2b
3.1063442648138206e-06,0.00012052496633674359,pts,own_b2b
2.4948454789841534e-06,1.3136472166719315e-06,pts,own_b2b
0.00018994035092223527,6.381360551865889e-06,pts,own_b2b
7.012737585299078e-06,4.4910909080542183e-07,pts,own_b2b
3.3669868798602565e-06,0.0002179205527769179,pts,own_b2b
1.3744007884897158e-05,0.00012673280640707052,pts,own_b2b
4.550979188033821e-05,5.371798515663162e-05,pts,own_b2b
0.00010910831549959532,0.0001261552218569939,pts,own_b2b
6.208827888976032e-05,1.3722920507386327e-05,pts,own_b2b
0.0003557842154087165,1.369021483765831e-05,pts,own_b2b
1.8998070299147685e-06,5.6666029624175e-07,pts,own_b2b
4.987984780568944e-05,6.601803412165097e-06,pts,own_b2b
1.8037622839806033e-07,0.00019108907097131755,pts,own_b2b
0.0001379740480506042,1.5939292435929175e-05,pts,own_b2b
4.879088853526614e-05,1.343351685767491e-05,pts,own_b2b
1.316208841917188e-06,1.7889911504420652e-06,pts,own_b2b
3.5705863897006473e-05,5.259303512961111e-05,pts,own_b2b
8.689433562691917e-07,0.0005067163217578052,pts,own_b2b
0.00016270206325230685,9.45934497620371e-07,pts,own_b2b
2.3047457590741338e-05,7.301594942343836e-05,pts,own_b2b
4.766246463505652e-06,0.00014859929240707004,pts,own_b2b
4.8097333996355296e-05,3.009635584738657e-05,pts,own_b2b
0.00014217023615681335,0.0001188679611648924,pts,own_b2b
4.077132838453679e-05,2.0989724958120348e-08,pts,own_b2b
7.019736025681844e-06,0.0001776922840619477,pts,own_b2b
2.8964210156079417e-05,7.049123644908839e-06,pts,own_b2b
5.002636476958422e-06,2.660930997766542e-08,pts,own_b2b
4.779045267011561e-05,2.8827851405566207e-05,pts,own_b2b
