dR2_M,dR2_OxM,target,var
5.674861581761448e-06,0.0005156025649736273,reb,own_b2b
6.70110739759977e-05,3.845289998949397e-05,reb,own_b2b
7.650826219041118e-05,3.2754976962312554e-05,reb,own_b2b
2.6834906451833618e-05,2.6813617164722636e-05,reb,own_b2b
8.6714919933506e-07,1.3064657087280551e-06,reb,own_b2b
7.347864867046638e-05,3.51237047641062e-05,reb,own_b2b
4.222659323349642e-05,3.2615221787768434e-06,reb,own_b2b
2.2905043927101687e-05,3.1680623561625154e-05,reb,own_b2b
2.7710083863041746e-06,0.00012805593099163293,reb,own_b2b
9.404453154338022e-06,1.4372924510452911e-05,reb,own_b2b
0.00014764833140001876,1.1158356612805953e-05,reb,own_b2b
1.4839479034578495e-05,3.8381834288614414e-07,reb,own_b2b
6.21892749107511e-05,0.00019083701201583203,reb,own_b2b
3.554313025144751e-05,0.00010915330638194831,reb,own_b2b
0.00014372414210750417,0.00015901582884647603,reb,own_b2b
8.543413058448301e-05,2.281541153870137e-05,reb,own_b2b
5.708480851907005e-06,0.0001443052080535301,reb,own_b2b
5.88151978231366e-07,3.7078603449480774e-05,reb,own_b2b
1.2335984602374062e-05,2.3341764817219612e-05,reb,own_b2b
0.00017480683371451367,0.00015031219316063993,reb,own_b2b
2.8815590031427973e-05,3.454010262404772e-05,reb,own_b2b
0.0005249097979024286,0.0002943002624012925,reb,own_b2b
6.46743311927267e-06,5.8880473594591365e-05,reb,own_b2b
3.6074495225468795e-06,6.620523691425184e-05,reb,own_b2b
3.0123637104750856e-05,2.9578223981197027e-08,reb,own_b2b
7.843640610771807e-05,1.5224873227803748e-05,reb,own_b2b
0.00019430964086175617,0.00028354928729634743,reb,own_b2b
1.693887311970954e-06,0.0001916190581416899,reb,own_b2b
1.742179742547645e-05,0.0001040503388819447,reb,own_b2b
1.4657238068482847e-05,2.3132506277834253e-05,reb,own_b2b
0.00022227027870658222,8.144182330749317e-07,reb,own_b2b
2.0907029379624298e-05,4.982175471335282e-05,reb,own_b2b
2.0257281284186135e-05,5.331575999689697e-06,reb,own_b2b
1.1870802389957191e-06,0.00011397703823223804,reb,own_b2b
1.029833829058191e-05,6.292295091414601e-06,reb,own_b2b
9.148417850635138e-05,3.1413723812212524e-05,reb,own_b2b
1.32972921654817e-05,1.0599007007061623e-05,reb,own_b2b
2.733439232971424e-05,4.4025070760622675e-05,reb,own_b2b
0.00030927584327555824,1.266721479831201e-05,reb,own_b2b
3.799094793000002e-05,7.266253209126106e-07,reb,own_b2b
5.33983772813551e-05,2.5387082063232924e-06,reb,own_b2b
3.663461120995137e-05,5.487358615274829e-07,reb,own_b2b
5.268545375558542e-05,9.225956189962137e-05,reb,own_b2b
7.00038098692124e-05,3.039560820661258e-05,reb,own_b2b
8.050739700515841e-05,8.700940079542363e-06,reb,own_b2b
