dR2_M,dR2_OxM,target,var
1.8523091787070456e-06,1.4421278810794469e-05,reb,own_travel
0.00019221955372938915,2.8227351253073962e-06,reb,own_travel
9.124124848769455e-06,9.920128657192606e-06,reb,own_travel
0.0002565287846866271,3.710258292399793e-05,reb,own_travel
3.811218396199134e-05,0.00014666697861087652,reb,own_travel
2.0438984042692177e-05,6.265874116528902e-05,reb,own_travel
1.4656040522975644e-05,3.3888094183809336e-05,reb,own_travel
0.0003422808191728688,2.739762025694148e-06,reb,own_travel
3.2484161667234446e-06,0.0003448020448032496,reb,own_travel
1.999014393627707e-05,1.687031684749485e-05,reb,own_travel
3.731168679355079e-06,8.661211016947057e-06,reb,own_travel
0.00013258708378094397,4.2232108032891347e-07,reb,own_travel
2.8843570165082433e-05,7.748456663059233e-05,reb,own_travel
0.00011144625927039797,2.7908661885067687e-05,reb,own_travel
4.294531989579298e-05,1.2847899456436274e-05,reb,own_travel
1.1300516430612362e-05,1.009535586626864e-05,reb,own_travel
2.9994433611069127e-05,7.662599704749695e-07,reb,own_travel
0.0002339589793540764,0.0005271958138531874,reb,own_travel
1.4939292196980425e-05,6.76418368934506e-05,reb,own_travel
0.00012122645893219985,1.591227453545674e-05,reb,own_travel
2.9982794802485557e-07,3.850720665732332e-05,reb,own_travel
5.014570690275999e-05,9.430810360611108e-05,reb,own_travel
1.8814125339772225e-05,6.700295817929636e-05,reb,own_travel
5.413352543470751e-05,8.429976630419667e-06,reb,own_travel
1.961419035301226e-06,0.00013284477347863533,reb,own_travel
5.09666999753966e-05,2.6775023384661978e-05,reb,own_travel
3.040972956447341e-06,1.941640033975567e-06,reb,own_travel
8.316827171395147e-07,4.642742705007752e-05,reb,own_travel
5.277763221844811e-05,1.3223091765990347e-07,reb,own_travel
6.666162915913709e-05,5.137496755136528e-05,reb,own_travel
8.059620393296996e-08,0.0001959447985790952,reb,own_travel
1.1772463888282125e-05,3.9649521486384565e-05,reb,own_travel
3.8457802259861396e-05,0.0003341448135224523,reb,own_travel
5.603668423836972e-06,1.1297424615919205e-05,reb,own_travel
1.977604463077043e-06,1.3547081979647935e-05,reb,own_travel
0.0003534824976322293,1.8413352173785036e-05,reb,own_travel
4.8665926547508676e-06,7.50669978030194e-05,reb,own_travel
0.00011001253450182436,4.376715079468241e-06,reb,own_travel
6.310830137901124e-05,4.1841736236114535e-05,reb,own_travel
2.0518832631655215e-05,6.126906520620423e-05,reb,own_travel
8.74845360444576e-05,0.0003016414945804513,reb,own_travel
8.279121321841387e-08,4.385310639454243e-05,reb,own_travel
2.7379849407482837e-05,8.186652931840843e-05,reb,own_travel
5.107651004032654e-05,9.814203062785687e-06,reb,own_travel
0.0007270670147870861,8.797974378838003e-05,reb,own_travel
1.3308047870475015e-05,1.3420134477359902e-05,reb,own_travel
3.5439368549772254e-05,4.668431531507089e-05,reb,own_travel
0.00044414557325023196,8.172445178100674e-05,reb,own_travel
2.890040648662051e-05,0.00032394438831873096,reb,own_travel
2.5463276927761846e-05,5.934199529933348e-05,reb,own_travel
5.685052852311134e-05,2.30257910946996e-05,reb,own_travel
0.0001028325522951512,4.6254354929664565e-05,reb,own_travel
0.00016515134411387855,7.143936118791938e-05,reb,own_travel
3.498147748703939e-05,3.950102427696667e-05,reb,own_travel
0.0001635233426633409,3.6666079321623357e-06,reb,own_travel
2.3673382208544425e-05,7.917713518224012e-05,reb,own_travel
0.00021743023823839192,1.0802892768890793e-05,reb,own_travel
3.3306031497981614e-05,7.833877988683291e-05,reb,own_travel
1.7052873044431927e-05,8.255108969301705e-05,reb,own_travel
0.00019739898509962828,9.831644140423368e-05,reb,own_travel
2.380908256105485e-07,5.101778386418232e-06,reb,own_travel
4.0235524415566104e-05,4.5619709820865495e-07,reb,own_travel
2.4061264112695824e-05,1.0215054590645423e-05,reb,own_travel
6.536803065659846e-05,0.00013589039262007496,reb,own_travel
0.00024412719082800294,2.065752500124418e-05,reb,own_travel
5.35823563851956e-07,2.954994400439226e-05,reb,own_travel
2.001686015451476e-05,0.00010648888397912781,reb,own_travel
3.427651929632791e-05,1.681337630266011e-05,reb,own_travel
3.062072146786665e-05,5.930410751586734e-06,reb,own_travel
3.6067072426426705e-06,0.00011051700786457452,reb,own_travel
5.734016126568431e-05,1.0210514124198156e-05,reb,own_travel
9.548251990176837e-07,3.619137864918631e-05,reb,own_travel
6.140588552860926e-06,0.00020167393186276694,reb,own_travel
1.3532684010386653e-05,5.331091221894013e-05,reb,own_travel
1.2080766350952565e-05,4.5610759874969986e-05,reb,own_travel
2.0053287422161503e-05,0.00011341426057032145,reb,own_travel
9.885600723680277e-06,5.747766644748076e-06,reb,own_travel
0.00019916133696129545,8.685816182962824e-07,reb,own_travel
8.75757009577427e-07,0.0001919929335179038,reb,own_travel
2.716174630768009e-07,2.632196448582036e-06,reb,own_travel
1.9352695613150672e-05,3.4677540092786785e-05,reb,own_travel
2.2420751116913884e-05,0.00021464508780733027,reb,own_travel
2.7711720355538816e-05,0.0001446653650977181,reb,own_travel
8.830797752046315e-06,4.118855438939306e-07,reb,own_travel
4.847843247990369e-05,4.9157546849976086e-05,reb,own_travel
2.696364061050005e-05,3.078220291263811e-05,reb,own_travel
2.461183900082098e-05,6.73086135571932e-05,reb,own_travel
0.00031507517116868833,1.381742005990283e-05,reb,own_travel
2.405316936182622e-06,0.00020808524512438975,reb,own_travel
1.2563165208256954e-05,1.786699541383996e-05,reb,own_travel
9.904152669593103e-05,3.308660290191057e-08,reb,own_travel
2.1054384764518375e-05,6.941513885916351e-07,reb,own_travel
