dR2_M,dR2_OxM,unit
0.00025249918001757354,1.7675047647713882e-08,per36min
4.074205066051384e-05,1.2579410750723774e-05,per36min
9.313953811096454e-06,3.166893968742368e-05,per36min
4.1428486523997776e-05,0.00030727729443436047,per36min
4.272798984961135e-06,1.3316373690730465e-05,per36min
0.00011854561954904863,3.5711123613779705e-08,per36min
0.0002762881820017604,0.00017651241154148511,per36min
1.5971852792562302e-06,0.00016980934702892636,per36min
0.0001146413044980088,1.3214865346444782e-05,per36min
4.2625080631797374e-07,7.545105259465501e-07,per36min
1.9930801528067477e-05,2.652348497311774e-05,per36min
0.00015232536432707722,1.762129946847324e-06,per36min
0.000241261984954666,3.6873789394098466e-06,per36min
2.7484595985116655e-05,1.6330347762716357e-05,per36min
0.0001811252787945472,5.8287336781148724e-05,per36min
0.0001030861742510325,0.00015736439665925417,per36min
8.178330362540454e-05,3.348067546049549e-05,per36min
1.492104476641387e-07,4.290854380473164e-06,per36min
8.425005726553358e-05,1.7028097021309918e-07,per36min
6.912038678086319e-07,5.395693003273916e-05,per36min
1.7605014799304541e-06,1.9054301947374341e-07,per36min
2.84057080548461e-05,0.00025434369503996024,per36min
0.00018816525153864117,7.814751657453378e-06,per36min
0.00034933220544008936,3.859332339350985e-05,per36min
5.802435175894516e-06,3.4398914539046643e-07,per36min
3.054848794703524e-05,0.00012633317913501863,per36min
5.663216271267757e-06,3.1611342476978166e-07,per36min
1.528142149531675e-05,3.162226957320602e-05,per36min
1.2704261835527753e-05,6.144209247194166e-05,per36min
2.4987340761728483e-05,1.2410191244649482e-06,per36min
2.8104542451501402e-05,1.760765981018153e-06,per36min
0.00014146854475183268,3.1861515991660205e-05,per36min
1.886944344153818e-05,2.4327650640865173e-05,per36min
4.2705152759614506e-05,0.0002879710367051924,per36min
8.497552963682153e-05,4.391768639311344e-06,per36min
3.235506427801127e-05,2.9826938955368476e-05,per36min
7.508732664862627e-06,0.00011954018840831804,per36min
4.856870138414404e-05,8.970961366028263e-05,per36min
6.502227185634091e-05,0.00014894748747873443,per36min
8.86774361377185e-05,4.988214663570467e-05,per36min
4.664475256044298e-07,8.633912424671486e-06,per36min
0.00023058660877550707,2.593758546487468e-05,per36min
7.578781162198567e-06,0.0001721390615713192,per36min
1.0369462138171137e-05,4.626161703491505e-06,per36min
2.617501852253401e-05,2.4714780713086526e-06,per36min
1.1322524869461503e-05,0.00015390985680108216,per36min
1.3975790761344697e-06,0.0001775529359762107,per36min
1.5613216042598133e-05,6.161263269244266e-06,per36min
2.3937573038201876e-06,2.4792437185228167e-05,per36min
3.1766625696594275e-07,4.587126385846574e-06,per36min
3.797377862935214e-06,9.534982480463583e-05,per36min
1.972347450496237e-05,5.303446181037508e-05,per36min
0.00014853461537978063,4.746866257898663e-05,per36min
9.658577444837668e-06,8.198923684643589e-06,per36min
2.608956257987849e-05,2.8259061740643077e-05,per36min
5.03845530828162e-05,3.834550547643367e-05,per36min
4.225954443026758e-05,1.2266431911323039e-05,per36min
0.00035705922749762475,1.154433648409281e-05,per36min
3.5912947116134575e-07,1.1193808544751604e-05,per36min
1.2711693911260369e-05,2.813302550919161e-06,per36min
