rule,season,n,n_kept,mae_full,mae_kept,skill_full,skill_kept,skill_gain
pred_width_pts,2022,4362,3272,4.11097365778674,3.8121540992883975,0.00542626374426014,0.021818354961373077,0.016392091217112936
pred_width_pts,2023,4748,3561,4.226803415354732,3.8836423538326383,-0.0038602477111771005,0.006769700779829968,0.010629948491007069
pred_width_pts,2024,4769,3577,4.228317122011194,3.8895467257780774,-0.007474815776355781,0.016744540738048097,0.024219356514403878
pred_sd_pts,2022,4362,3272,4.11097365778674,4.360095763388405,0.00542626374426014,0.016467983192423485,0.011041719448163345
pred_sd_pts,2023,4748,3561,4.226803415354732,4.503867297791966,-0.0038602477111771005,-0.004203099671512334,-0.00034285196033523313
pred_sd_pts,2024,4769,3577,4.228317122011194,4.421354493155193,-0.007474815776355781,-0.005257471102737998,0.0022173446736177826
pred_point_pts,2022,4362,3272,4.11097365778674,3.7444087502320653,0.00542626374426014,0.008257202135707464,0.002830938391447324
pred_point_pts,2023,4748,3561,4.226803415354732,3.782501355538011,-0.0038602477111771005,-0.0029271495376006484,0.0009330981735764521
pred_point_pts,2024,4769,3577,4.228317122011194,3.795555582338217,-0.007474815776355781,-0.011218279754451776,-0.0037434639780959955
is_fallback_minutes,2022,4362,3272,5.035327663130936,4.628564473519406,0.03202249376329014,0.06341662287886152,0.03139412911557138
is_fallback_minutes,2023,4748,3561,5.048011723847636,4.5418025279902885,0.033837599670867635,0.074003621867477,0.04016602219660936
is_fallback_minutes,2024,4769,3577,5.151749320921312,4.641716937172507,0.04033422384046259,0.08060617297719008,0.04027194913672749
games_prior_minutes,2022,4362,3272,5.035327663130936,4.6978443219238075,0.03202249376329014,0.07439285005395524,0.0423703562906651
games_prior_minutes,2023,4748,3561,5.048011723847636,4.667496059925003,0.033837599670867635,0.08534830493132162,0.05151070526045398
games_prior_minutes,2024,4769,3577,5.151749320921312,4.781009627336173,0.04033422384046259,0.10784434038654722,0.06751011654608463
min_cv5_minutes,2022,4362,3272,5.035327663130936,4.974440235333877,0.03202249376329014,0.019121859740888314,-0.012900634022401825
min_cv5_minutes,2023,4748,3561,5.048011723847636,4.990283868719504,0.033837599670867635,0.012415810481882117,-0.02142178918898552
min_cv5_minutes,2024,4769,3577,5.151749320921312,5.099865682793755,0.04033422384046259,0.005640203965907475,-0.034694019874555115
min_sd5_minutes,2022,4362,3272,5.035327663130936,4.941038974137604,0.03202249376329014,0.02137030953722363,-0.010652184226066508
min_sd5_minutes,2023,4748,3561,5.048011723847636,4.878775939603841,0.033837599670867635,0.013347125450306363,-0.020490474220561272
min_sd5_minutes,2024,4769,3577,5.151749320921312,5.052818643242867,0.04033422384046259,0.006947882674454897,-0.033386341166007694
dnp_frac5_minutes,2022,4362,3272,5.035327663130936,4.969730674362814,0.03202249376329014,0.044287644850750985,0.012265151087460846
dnp_frac5_minutes,2023,4748,3561,5.048011723847636,4.8719614287793895,0.033837599670867635,0.044015848823709125,0.01017824915284149
