candidate,dependent,direction,coverage,skill_gain,scheme,p_correct_level,p_row_level_NAIVE,null_sd_correct,null_sd_row_NAIVE,inflation_sd_correct_over_row,familywise_p_correct
pl_games_prior,rate_ppm_refA,abstain on HIGH,0.75,0.0026243461519120936,WITHIN-block,0.0024937655860349127,0.03740648379052369,0.0010401495754220798,0.0015166003810009483,0.685842881521358,1.0
pl_games_prior,rate_ppm_refA,abstain on LOW,0.75,-0.007440843352131132,WITHIN-block,1.0,1.0,0.0014724960190282729,0.0015289052188118219,0.9631048418898152,1.0
pl_games_prior,rate_ppm_refB,abstain on HIGH,0.75,0.0022868403213481825,WITHIN-block,0.1172069825436409,0.08229426433915212,0.001172946439506511,0.001789367360612967,0.6555090169436787,1.0
pl_games_prior,rate_ppm_refB,abstain on LOW,0.75,-0.006813075513236622,WITHIN-block,1.0,1.0,0.0017555687054779982,0.0018038825056544108,0.9732167699254418,1.0
pl_games_prior,rate_ppf_refA,abstain on HIGH,0.75,0.008090302535572635,WITHIN-block,0.0024937655860349127,0.0024937655860349127,0.001257041530101785,0.0016919946453002148,0.7429346975733159,1.0
pl_games_prior,rate_ppf_refA,abstain on LOW,0.75,-0.02107700588101402,WITHIN-block,1.0,1.0,0.0018178866211760296,0.0017365345132370497,1.0468473890492003,1.0
pl_games_prior,level_points,abstain on HIGH,0.75,-0.00744833110243226,WITHIN-block,1.0,1.0,0.0016519515415557105,0.0018164109434607389,0.9094591438698942,1.0
pl_games_prior,level_points,abstain on LOW,0.75,0.016239685300699414,WITHIN-block,0.0024937655860349127,0.0024937655860349127,0.0017105085200671809,0.0019372469336657214,0.882958434643384,0.8329177057356608
pl_games_prior,level_minutes,abstain on HIGH,0.75,-0.02442828596191271,WITHIN-block,1.0,1.0,0.0023009317871262743,0.002733079101271238,0.8418826173219944,1.0
pl_games_prior,level_minutes,abstain on LOW,0.75,0.05415549563700783,WITHIN-block,0.0024937655860349127,0.0024937655860349127,0.00252849042878976,0.0028191889962431785,0.8968857469858175,0.0024937655860349127
pl_minutes_prior,rate_ppm_refA,abstain on HIGH,0.75,0.002896207715708865,WITHIN-block,0.0024937655860349127,0.034912718204488775,0.0008125867921376362,0.001510248785502533,0.5380483003449323,1.0
pl_minutes_prior,rate_ppm_refA,abstain on LOW,0.75,-0.006721486323905346,WITHIN-block,1.0,1.0,0.0013001370052324664,0.0015243600272625561,0.852906781849463,1.0
pl_minutes_prior,rate_ppm_refB,abstain on HIGH,0.75,0.0030864751501588072,WITHIN-block,0.0024937655860349127,0.03740648379052369,0.0007992281078224962,0.0017595119170355886,0.45423284723699353,1.0
pl_minutes_prior,rate_ppm_refB,abstain on LOW,0.75,-0.007821458740226328,WITHIN-block,1.0,1.0,0.0015576802548635485,0.0017973430492893175,0.8666571779268664,1.0
pl_minutes_prior,rate_ppf_refA,abstain on HIGH,0.75,0.0062297987773334285,WITHIN-block,0.0024937655860349127,0.0024937655860349127,0.0008354641285826253,0.0017261969693034682,0.48399119187408873,1.0
pl_minutes_prior,rate_ppf_refA,abstain on LOW,0.75,-0.019433277843424857,WITHIN-block,1.0,1.0,0.001662141589597292,0.0017787046456100174,0.9344674472513398,1.0
pl_minutes_prior,level_points,abstain on HIGH,0.75,-0.003853772054002391,WITHIN-block,0.9526184538653366,0.9750623441396509,0.001569571701569338,0.0019497464154804847,0.8050132515220147,1.0
pl_minutes_prior,level_points,abstain on LOW,0.75,0.016581205895207396,WITHIN-block,0.0024937655860349127,0.0024937655860349127,0.0014024795213689145,0.0019562530603318123,0.7169213174961276,0.8129675810473815
pl_minutes_prior,level_minutes,abstain on HIGH,0.75,-0.011936413006803925,WITHIN-block,1.0,1.0,0.001843888708560549,0.00276419248255533,0.6670623410624373,1.0
pl_minutes_prior,level_minutes,abstain on LOW,0.75,0.05523926154367731,WITHIN-block,0.0024937655860349127,0.0024937655860349127,0.0022198185918063796,0.0026962235824582095,0.8233065708083895,0.0024937655860349127
pl_career_games_prior,rate_ppm_refA,abstain on HIGH,0.75,0.0009357184645570893,BETWEEN-block,0.7581047381546134,0.5810473815461347,0.0011857585096981366,0.0011831010728743554,1.002246162128249,1.0
pl_career_games_prior,rate_ppm_refA,abstain on LOW,0.75,7.955211467580714e-05,BETWEEN-block,0.30423940149625933,0.33915211970074816,0.0017276514588048528,0.0014839172080303858,1.1642505723738976,1.0
pl_career_games_prior,rate_ppm_refB,abstain on HIGH,0.75,0.0009684047698913512,BETWEEN-block,0.4239401496259352,0.28428927680798005,0.0017025650288329723,0.0015082883489754523,1.1288060601870247,1.0
pl_career_games_prior,rate_ppm_refB,abstain on LOW,0.75,-0.0006414229342514011,BETWEEN-block,0.5486284289276808,0.6533665835411472,0.0020508527805716413,0.0017303556775344934,1.185220360876216,1.0
pl_career_games_prior,rate_ppf_refA,abstain on HIGH,0.75,0.0017191668744706012,BETWEEN-block,0.47880299251870323,0.059850374064837904,0.0012903531175345896,0.0014666427921537079,0.8798005379617735,1.0
pl_career_games_prior,rate_ppf_refA,abstain on LOW,0.75,-0.006881411595578313,BETWEEN-block,1.0,1.0,0.0018150295582786925,0.001780688795177382,1.01928510090832,1.0
pl_career_games_prior,level_points,abstain on HIGH,0.75,-2.4871164848283556e-05,BETWEEN-block,0.38154613466334164,0.7855361596009975,0.0017723704461638067,0.0016523027120904357,1.0726669109690352,1.0
pl_career_games_prior,level_points,abstain on LOW,0.75,0.007810646645614816,BETWEEN-block,0.004987531172069825,0.0024937655860349127,0.0021522773401298025,0.0018925140218955783,1.1372583321596954,1.0
pl_career_games_prior,level_minutes,abstain on HIGH,0.75,-0.005596846436510927,BETWEEN-block,0.3690773067331671,0.9650872817955112,0.004141540110847443,0.002461234843049108,1.68270822369664,1.0
pl_career_games_prior,level_minutes,abstain on LOW,0.75,0.01771329219180051,BETWEEN-block,0.0024937655860349127,0.0024937655860349127,0.0038955294267697996,0.0025881818727703544,1.5051219807053506,0.6234413965087282
pl_prior_season_games,rate_ppm_refA,abstain on HIGH,0.75,0.00028026494421762305,BETWEEN-block,0.7381546134663342,0.8204488778054863,0.0014019913248813588,0.0011807523775829397,1.1873711639279578,1.0
pl_prior_season_games,rate_ppm_refA,abstain on LOW,0.75,0.00387345207096057,BETWEEN-block,0.004987531172069825,0.007481296758104738,0.0017132175842501005,0.0014663979092782663,1.1683169850489723,1.0
pl_prior_season_games,rate_ppm_refB,abstain on HIGH,0.75,0.00040970683893759574,BETWEEN-block,0.428927680798005,0.42144638403990026,0.0018568438770039744,0.0014771586437093156,1.257037546313391,1.0
pl_prior_season_games,rate_ppm_refB,abstain on LOW,0.75,0.003323992426383926,BETWEEN-block,0.04987531172069826,0.0399002493765586,0.002049571372685555,0.0017108608963772544,1.1979766309613598,1.0
pl_prior_season_games,rate_ppf_refA,abstain on HIGH,0.75,-6.381167822222533e-05,BETWEEN-block,0.40648379052369077,0.3865336658354115,0.001383241262029073,0.001455911717668441,0.9500859463129087,1.0
pl_prior_season_games,rate_ppf_refA,abstain on LOW,0.75,-0.0014565751886854716,BETWEEN-block,0.7980049875311721,0.7955112219451371,0.0018493772122895175,0.0017608716131608305,1.0502623805547164,1.0
pl_prior_season_games,level_points,abstain on HIGH,0.75,0.0017077116021475547,BETWEEN-block,0.48877805486284287,0.48877805486284287,0.0018661775030750993,0.0016990294650568092,1.0983785398993662,1.0
pl_prior_season_games,level_points,abstain on LOW,0.75,0.007197318809868625,BETWEEN-block,0.0024937655860349127,0.004987531172069825,0.002158697242153163,0.0018876619938700402,1.1435825106206927,1.0
pl_prior_season_games,level_minutes,abstain on HIGH,0.75,0.003688999312618013,BETWEEN-block,0.12967581047381546,0.012468827930174564,0.004258451773455925,0.0025173044374778393,1.6916713410010082,1.0
pl_prior_season_games,level_minutes,abstain on LOW,0.75,0.008934811271582022,BETWEEN-block,0.02493765586034913,0.0024937655860349127,0.004204807295015517,0.0026277091333624363,1.6001798835455634,1.0
pl_is_rookie_window,rate_ppm_refA,abstain on HIGH,0.75,0.005085360090402613,BETWEEN-block,0.00997506234413965,0.022443890274314215,0.001680921024584698,0.001244041284559579,1.3511778471080123,1.0
pl_is_rookie_window,rate_ppm_refA,abstain on LOW,0.75,-0.00020411535303399564,BETWEEN-block,1.0,1.0,0.0007431187587110344,0.0005803826558124077,1.2803944970940457,1.0
pl_is_rookie_window,rate_ppm_refB,abstain on HIGH,0.75,0.0032350225167417923,BETWEEN-block,0.05236907730673317,0.00997506234413965,0.0018764744145416158,0.001421586353975738,1.3199862317851438,1.0
pl_is_rookie_window,rate_ppm_refB,abstain on LOW,0.75,0.0006899989319016919,BETWEEN-block,0.4089775561097257,0.5311720698254364,0.0011103240044159168,0.0007855115028529472,1.4135044494998015,1.0
