component,season,reference,n,skill
minutes,2022,ref_minutes,4362,0.03202249376329014
minutes,2023,ref_minutes,4748,0.033837599670867635
minutes,2024,ref_minutes,4769,0.04033422384046259
fga,2022,ref_fga,4362,0.003621694400942066
fga,2023,ref_fga,4748,-0.0009007110048144806
fga,2024,ref_fga,4769,0.0009232893589065094
pts,2022,ref_pts,4362,0.00542626374426014
pts,2023,ref_pts,4748,-0.0038602477111771005
pts,2024,ref_pts,4769,-0.007474815776355781
fga_per_min,2022,refA_fpm,4362,0.015548284057646411
fga_per_min,2023,refA_fpm,4748,0.0173424636730507
fga_per_min,2024,refA_fpm,4769,0.0076197763086254255
pts_per_fga,2022,refA_ppf,4120,0.021489174911416664
pts_per_fga,2023,refA_ppf,4426,0.017803537453694895
pts_per_fga,2024,refA_ppf,4430,0.024514713077007144
pts_per_min,2022,refA_ppm,4362,0.009694655820021603
pts_per_min,2023,refA_ppm,4748,0.00744084420793123
pts_per_min,2024,refA_ppm,4769,-6.633553679047388e-05
