naive_rate_variant,A,B,question,mae_A,mae_B,mean_paired_abs_err_diff_A_minus_B,p_two_sided_block_signflip,null_sd,n_blocks,n_rows,n_draws,seed
A,H2_model_min_x_naive_rate,H1_model_min_x_model_rate,does a NAIVE rate beat the MODEL rate when both use MODEL minutes?,4.17393638268475,4.190919667572693,-0.016983284887943678,0.12143928035982009,0.010789556511120395,475,13879,2000,20260807
A,H3_naive_min_x_model_rate,H1_model_min_x_model_rate,does the MODEL's minutes forecast add value on top of its own rate?,4.14791038710121,4.190919667572693,-0.04300928047148265,0.0004997501249375312,0.011254135281679317,475,13879,2000,20260807
A,H4_naive_min_x_naive_rate,H2_model_min_x_naive_rate,does the MODEL's minutes forecast add value on top of a NAIVE rate?,4.171012859767736,4.17393638268475,-0.0029235229170132522,0.7916041979010495,0.0114538638775539,475,13879,2000,20260807
A,H4_naive_min_x_naive_rate,H3_naive_min_x_model_rate,does the MODEL's rate add value on top of NAIVE minutes?,4.171012859767736,4.14791038710121,0.023102472666525715,0.009495252373813094,0.008881615257372223,475,13879,2000,20260807
A,CHAMPION_pts_pred,REF_pts,is the champion's -0.22% points skill distinguishable from 0?,4.190919667572693,4.181628792249526,0.009290875323166853,0.552223888055972,0.015441008702697009,475,13879,2000,20260807
B,H2_model_min_x_naive_rate,H1_model_min_x_model_rate,does a NAIVE rate beat the MODEL rate when both use MODEL minutes?,4.183184051278687,4.190919667572693,-0.007735616294006543,0.49225387306346824,0.01106523707459925,475,13879,2000,20260807
B,H3_naive_min_x_model_rate,H1_model_min_x_model_rate,does the MODEL's minutes forecast add value on top of its own rate?,4.14791038710121,4.190919667572693,-0.04300928047148265,0.0004997501249375312,0.011254135281679317,475,13879,2000,20260807
B,H4_naive_min_x_naive_rate,H2_model_min_x_naive_rate,does the MODEL's minutes forecast add value on top of a NAIVE rate?,4.173633209702064,4.183184051278687,-0.009550841576622764,0.4062968515742129,0.011865811043815015,475,13879,2000,20260807
B,H4_naive_min_x_naive_rate,H3_naive_min_x_model_rate,does the MODEL's rate add value on top of NAIVE minutes?,4.173633209702064,4.14791038710121,0.025722822600853335,0.008995502248875561,0.009942673167610614,475,13879,2000,20260807
B,CHAMPION_pts_pred,REF_pts,is the champion's -0.22% points skill distinguishable from 0?,4.190919667572693,4.181628792249526,0.009290875323166853,0.552223888055972,0.015441008702697009,475,13879,2000,20260807
