rule,coverage,n,mae_model,mae_ref,skill
D076: thin depth first (-pl_games_prior),1.0,13879,5.079670829517937,5.266906514137652,0.03554946041231777
D076: thin depth first (-pl_games_prior),0.95,13185,4.857590376592597,5.104286459164411,0.04833115941776478
D076: thin depth first (-pl_games_prior),0.9,12491,4.700176469115014,5.1044098655631585,0.07919297374125456
D076: thin depth first (-pl_games_prior),0.8,11103,4.702912556017852,5.152851433313766,0.08731842614110874
D076: thin depth first (-pl_games_prior),0.75,10409,4.718348319287406,5.186240800828973,0.09021804029361269
D076: thin depth first (-pl_games_prior),0.6,8327,4.7036165791555,5.254306366392745,0.10480732352409672
D076: thin depth first (-pl_games_prior),0.5,6939,4.7120398960231755,5.275183900509077,0.10675343554023886
D076: thin depth first (-pl_games_prior),0.4,5552,4.6970110596916035,5.271136176772349,0.10891866531748318
D076: thin depth first (-pl_games_prior),0.25,3470,4.688838379317443,5.277807332397251,0.11159349252188233
D076: is_fallback first,1.0,13879,5.079670829517937,5.266906514137652,0.03554946041231777
D076: is_fallback first,0.95,13185,4.931428095995364,5.186947683818621,0.049262032971796654
D076: is_fallback first,0.9,12491,4.961135213608775,5.217156532124924,0.04907296090115065
D076: is_fallback first,0.8,11103,4.983379148524053,5.241829683304005,0.049305404867150626
D076: is_fallback first,0.75,10409,4.991219561868808,5.238378029400846,0.0471822510984965
D076: is_fallback first,0.6,8327,4.976851590338114,5.266114298253545,0.054929059935399094
D076: is_fallback first,0.5,6939,5.065430565858024,5.343467803510748,0.052033108063278544
D076: is_fallback first,0.4,5552,5.077540828330716,5.3609956515640125,0.05287354097192776
D076: is_fallback first,0.25,3470,5.103864347047955,5.474421283438897,0.06768878703433778
NEW: low p_active first,1.0,13879,5.079670829517937,5.266906514137652,0.03554946041231777
NEW: low p_active first,0.95,13185,5.024803535567337,5.254554654885398,0.04372418490393881
NEW: low p_active first,0.9,12491,4.9898473684665765,5.260301795251175,0.051414241484919354
NEW: low p_active first,0.8,11103,4.756803692194042,5.138391360102976,0.07426208732790773
NEW: low p_active first,0.75,10409,4.723336336406914,5.104682987696521,0.07470525637120706
NEW: low p_active first,0.6,8327,4.55599244514813,4.912115141526041,0.07249884950116925
NEW: low p_active first,0.5,6939,4.446527973297362,4.75668223459286,0.06520390599983916
NEW: low p_active first,0.4,5552,4.316172209023725,4.572343494492807,0.05602625563403729
NEW: low p_active first,0.25,3470,3.990881526694582,4.15665409358106,0.03988125139940635
NEW: boundary p_active first (|p-0.5| asc),1.0,13879,5.079670829517937,5.266906514137652,0.03554946041231777
NEW: boundary p_active first (|p-0.5| asc),0.95,13185,5.04629220130365,5.261925833127429,0.04097998312066986
NEW: boundary p_active first (|p-0.5| asc),0.9,12491,5.029731023434196,5.277992744678982,0.047037147122847345
NEW: boundary p_active first (|p-0.5| asc),0.8,11103,4.767031162399341,5.136600995800305,0.07194832413557617
NEW: boundary p_active first (|p-0.5| asc),0.75,10409,4.7364522413531995,5.114585574098296,0.0739323503863285
NEW: boundary p_active first (|p-0.5| asc),0.6,8327,4.563669038785188,4.915140712630935,0.07150795763436313
NEW: boundary p_active first (|p-0.5| asc),0.5,6939,4.460651911973297,4.7662416176173865,0.0641154457034957
NEW: boundary p_active first (|p-0.5| asc),0.4,5552,4.318893164044705,4.5730904837427016,0.05558545596280373
NEW: boundary p_active first (|p-0.5| asc),0.25,3470,3.997504671173316,4.164802809481262,0.04016952205446278
NEW: high p_active entropy first,1.0,13879,5.079670829517937,5.266906514137652,0.03554946041231777
NEW: high p_active entropy first,0.95,13185,5.04629220130365,5.261925833127429,0.04097998312066986
NEW: high p_active entropy first,0.9,12491,5.029731023434196,5.277992744678982,0.047037147122847345
NEW: high p_active entropy first,0.8,11103,4.767031162399341,5.136600995800305,0.07194832413557617
NEW: high p_active entropy first,0.75,10409,4.7364522413531995,5.114585574098296,0.0739323503863285
NEW: high p_active entropy first,0.6,8327,4.563669038785188,4.915140712630935,0.07150795763436313
NEW: high p_active entropy first,0.5,6939,4.460651911973297,4.7662416176173865,0.0641154457034957
NEW: high p_active entropy first,0.4,5552,4.318893164044705,4.5730904837427016,0.05558545596280373
NEW: high p_active entropy first,0.25,3470,3.997504671173316,4.164802809481262,0.04016952205446278
COMBINED: rank(-depth) + rank(entropy),1.0,13879,5.079670829517937,5.266906514137652,0.03554946041231777
COMBINED: rank(-depth) + rank(entropy),0.95,13185,4.870955688319,5.149589046432775,0.05410788231864627
COMBINED: rank(-depth) + rank(entropy),0.9,12491,4.756738551220342,5.141078910600878,0.07475869677627944
COMBINED: rank(-depth) + rank(entropy),0.8,11103,4.698868721144637,5.126821417799189,0.08347329890773925
COMBINED: rank(-depth) + rank(entropy),0.75,10409,4.6852478283530425,5.1218556763584395,0.08524407472485018
COMBINED: rank(-depth) + rank(entropy),0.6,8327,4.581065432690222,5.062206205842272,0.09504566854601204
COMBINED: rank(-depth) + rank(entropy),0.5,6939,4.541504470076169,5.021908067809245,0.09566156752499999
COMBINED: rank(-depth) + rank(entropy),0.4,5552,4.449731643444577,4.913912203664394,0.09446252618711204
COMBINED: rank(-depth) + rank(entropy),0.25,3470,4.293841427530521,4.66220311494504,0.0790102186311249
