           candidate                   family  max_abs_t  p_between  p_within  within_null_degenerate  p_familywise  var_share_between  share_of_skill_gap_explained_by_candidate_itself  practical_spread_bss_vs_R3  bss_vs_R3_worst_decile  bss_vs_R3_best_decile  calibration_gap_min  calibration_gap_max  calibration_gap_spread  signed_err_t  signed_err_p_familywise
pl_days_since_appear         B_absence_return    21.4382     0.0010    0.0010                   False        0.0010             0.1599                                            0.1506                      0.2078                 -0.0430                 0.1648              -0.0112               0.1147                  0.1259       10.0207                   0.0040
         pl_switches C_boundary_intermittency     9.2664     0.0010    0.0010                    True        0.0170             0.5862                                            0.1702                      0.2003                 -0.0788                 0.1215              -0.0232               0.0383                  0.0615       -3.5373                   1.0000
          pl_min_cv5            D_role_volume    10.4209     0.0010    0.0010                    True        0.0040             0.6834                                            0.1713                      0.1682                 -0.0332                 0.1350              -0.0118               0.0575                  0.0693        1.2368                   1.0000
   pl_absence_spells         B_absence_return     8.9261     0.0010    0.0160                    True        0.0320             0.6092                                            0.1852                      0.1313                  0.0051                 0.1364              -0.0320               0.0399                  0.0719       -3.6260                   1.0000
        pl_switches5 C_boundary_intermittency    12.4395     0.0010    0.0010                    True        0.0010             0.4354                                            0.2782                      0.1763                 -0.0045                 0.1718              -0.0072               0.0321                  0.0393       -4.0641                   1.0000
pl_min_per_opp_prior       A_depth_experience     9.1174     0.0010    0.9331                    True        0.0220             0.9152                                            0.3784                      0.1871                 -0.0585                 0.1286              -0.0084               0.0301                  0.0385        2.4645                   1.0000
       pl_dnp_frac10         B_absence_return    10.6919     0.0010    0.6044                    True        0.0030             0.6479                                            0.5169                      0.1511                  0.0050                 0.1562              -0.0380               0.0373                  0.0752      -11.2521                   0.0020
 pl_missed_any_last3         B_absence_return     8.9771     0.0010    0.5015                    True        0.0280             0.4462                                            0.6502                      0.1104                  0.0117                 0.1221              -0.0254               0.0400                  0.0655      -11.1948                   0.0020
        pl_dnp_frac5         B_absence_return     9.5679     0.0010    0.7393                    True        0.0090             0.5540                                            0.6736                      0.1470                  0.0078                 0.1548              -0.0590               0.0399                  0.0988      -12.8107                   0.0010

wrote FINDINGS.json
