subset,target,n,rung,kind,mae,rmse,r2,sd_y
ALL (2022-2024),y_oreb,14327,REF  expanding prior mean,honest,0.7717985025491987,1.0816525732018936,0.21982810370038608,1.2246381764678957
ALL (2022-2024),y_oreb,14327,H1   EWMA prior (hl=5),honest,0.7711352269797406,1.0831998291594678,0.21759450482733877,1.2246381764678957
ALL (2022-2024),y_oreb,14327,H2   trailing-5 prior mean,honest,0.7894885176011516,1.1233217506566522,0.15856017608638628,1.2246381764678957
ALL (2022-2024),y_oreb,14324,H3   prior rate(floored) x prior minutes,honest,0.772286860390567,1.082372817690871,0.21873207651639814,1.2245937548453834
ALL (2022-2024),y_oreb,9806,H4   walk-forward OLS on B_COMPLETE,honest,0.7729128999946284,1.0553125553215181,0.26334563821880796,1.229621273418612
ALL (2022-2024),y_dreb,14327,REF  expanding prior mean,honest,1.5236528879149522,2.0257016480591,0.3970348105898177,2.6088224220590814
ALL (2022-2024),y_dreb,14327,H1   EWMA prior (hl=5),honest,1.5119782040774632,2.01288212557792,0.4046423151523171,2.6088224220590814
ALL (2022-2024),y_dreb,14327,H2   trailing-5 prior mean,honest,1.5617308569775135,2.0835775109055623,0.36208825304169934,2.6088224220590814
ALL (2022-2024),y_dreb,14324,H3   prior rate(floored) x prior minutes,honest,1.5258218796001002,2.025133017015528,0.3973221497942455,2.608711779829889
ALL (2022-2024),y_dreb,9806,H4   walk-forward OLS on B_COMPLETE,honest,1.5031444484912617,1.9971614828458795,0.4326524617287928,2.651616664460811
ALL (2022-2024),y_reb,14327,REF  expanding prior mean,honest,1.8346896794004455,2.434702983220444,0.4481831778652947,3.277658308787233
ALL (2022-2024),y_reb,14327,H1   EWMA prior (hl=5),honest,1.813944589535477,2.409406093185574,0.45959050790019595,3.277658308787233
ALL (2022-2024),y_reb,14327,H2   trailing-5 prior mean,honest,1.8694654240175597,2.49266112951008,0.4215984571098714,3.277658308787233
ALL (2022-2024),y_reb,14324,H3   prior rate(floored) x prior minutes,honest,1.8343742480306653,2.433341732490719,0.4487629530492214,3.277548039483567
ALL (2022-2024),y_reb,9806,H4   walk-forward OLS on B_COMPLETE,honest,1.8035742350845616,2.3908265059285494,0.4864844784437977,3.3365175984632662
ALL (2022-2024),y_ast,14327,REF  expanding prior mean,honest,1.249249224258095,1.6933713886176793,0.44512463612911957,2.2733675323980975
ALL (2022-2024),y_ast,14327,H1   EWMA prior (hl=5),honest,1.2401704389601953,1.685761718899153,0.4501004269497554,2.2733675323980975
ALL (2022-2024),y_ast,14327,H2   trailing-5 prior mean,honest,1.2793099469952842,1.7436771368843424,0.41166707465788155,2.2733675323980975
ALL (2022-2024),y_ast,14324,H3   prior rate(floored) x prior minutes,honest,1.252179554656032,1.6948364652533063,0.44417924196018155,2.273398549722224
ALL (2022-2024),y_ast,9806,H4   walk-forward OLS on B_COMPLETE,honest,1.223538709811383,1.6610945786640303,0.4811947035113179,2.30629206991121
ALL (2022-2024),y_pts,14327,REF  expanding prior mean,honest,4.154780918348017,5.459362289172426,0.4790461132145606,7.564102952348831
ALL (2022-2024),y_pts,14327,H1   EWMA prior (hl=5),honest,4.126588675181595,5.436017301432001,0.483491929038266,7.564102952348831
ALL (2022-2024),y_pts,14327,H2   trailing-5 prior mean,honest,4.252496890941426,5.618418197728126,0.4482484324164847,7.564102952348831
ALL (2022-2024),y_pts,14324,H3   prior rate(floored) x prior minutes,honest,4.161918590213181,5.449696794851611,0.48083082670881727,7.563678343533043
ALL (2022-2024),y_pts,9806,H4   walk-forward OLS on B_COMPLETE,honest,4.168993121650979,5.458636421272991,0.5044579691884346,7.754719009764821
"DECISION (>=8 prior, >=24 trail-5 min)",y_oreb,5111,REF  expanding prior mean,honest,0.8774092138451554,1.181831679928889,0.263740237009813,1.377471380881575
"DECISION (>=8 prior, >=24 trail-5 min)",y_oreb,5111,H1   EWMA prior (hl=5),honest,0.8852044473814259,1.188757702018455,0.25508537757034633,1.377471380881575
"DECISION (>=8 prior, >=24 trail-5 min)",y_oreb,5111,H2   trailing-5 prior mean,honest,0.9255722950498925,1.2530096813642915,0.1723844060932881,1.377471380881575
"DECISION (>=8 prior, >=24 trail-5 min)",y_oreb,5111,H3   prior rate(floored) x prior minutes,honest,0.877371859636398,1.1817956689214761,0.26378510473893857,1.377471380881575
"DECISION (>=8 prior, >=24 trail-5 min)",y_oreb,3552,H4   walk-forward OLS on B_COMPLETE,honest,0.8747823036785186,1.1633515104626377,0.3039124956751993,1.394569560699626
"DECISION (>=8 prior, >=24 trail-5 min)",y_dreb,5111,REF  expanding prior mean,honest,1.7470235921639456,2.2522287229286073,0.34690836204093245,2.7871986411569645
"DECISION (>=8 prior, >=24 trail-5 min)",y_dreb,5111,H1   EWMA prior (hl=5),honest,1.7550058375914837,2.2538887962747305,0.34594524530810744,2.7871986411569645
"DECISION (>=8 prior, >=24 trail-5 min)",y_dreb,5111,H2   trailing-5 prior mean,honest,1.858149090197613,2.3810262186797324,0.27007625308980043,2.7871986411569645
"DECISION (>=8 prior, >=24 trail-5 min)",y_dreb,5111,H3   prior rate(floored) x prior minutes,honest,1.746610245178738,2.251136659911909,0.34754155200455783,2.7871986411569645
"DECISION (>=8 prior, >=24 trail-5 min)",y_dreb,3552,H4   walk-forward OLS on B_COMPLETE,honest,1.7508483215682156,2.24897647323973,0.36463396375879786,2.8218508602773404
"DECISION (>=8 prior, >=24 trail-5 min)",y_reb,5111,REF  expanding prior mean,honest,2.058325514165869,2.6597087694576698,0.4145168009222916,3.476316878584854
"DECISION (>=8 prior, >=24 trail-5 min)",y_reb,5111,H1   EWMA prior (hl=5),honest,2.0566242256826994,2.6495403352548927,0.4189850096441028,3.476316878584854
"DECISION (>=8 prior, >=24 trail-5 min)",y_reb,5111,H2   trailing-5 prior mean,honest,2.175308158873019,2.8031790098284186,0.3496488212725406,3.476316878584854
"DECISION (>=8 prior, >=24 trail-5 min)",y_reb,5111,H3   prior rate(floored) x prior minutes,honest,2.057618209950838,2.657909897415409,0.41530850654465334,3.476316878584854
"DECISION (>=8 prior, >=24 trail-5 min)",y_reb,3552,H4   walk-forward OLS on B_COMPLETE,honest,2.0381029349992974,2.6196341794632096,0.44922689614027433,3.53033101898676
"DECISION (>=8 prior, >=24 trail-5 min)",y_ast,5111,REF  expanding prior mean,honest,1.528565271531562,1.9819139099527363,0.38673964811077666,2.5310739392985626
"DECISION (>=8 prior, >=24 trail-5 min)",y_ast,5111,H1   EWMA prior (hl=5),honest,1.5348896103674177,1.9850527505600075,0.38479561736425083,2.5310739392985626
