subset,target,n,sd_y,r2_REF_honest,best_honest_rung,r2_best_honest,r2_O1_seasonmean,r2_O2_oracle,r2_O3_oracle,r2_O5_semioracle,IRREDUCIBLE_share_even_to_O2,IRREDUCIBLE_share_even_to_O3,headroom_O2_minus_best_honest,headroom_O5_minus_best_honest,headroom_O1_minus_REF
ALL (2022-2024),y_oreb,14327,1.2246381764678957,0.21982810370038608,H4   walk-forward OLS on B_COMPLETE,0.26334563821880796,0.33043705182083216,0.3990891824611065,0.41517339786862084,0.31435852431003075,0.6009108175388935,0.5848266021313792,0.1357435442422985,0.05101288609122279,0.11060894812044608
ALL (2022-2024),y_dreb,14327,2.6088224220590814,0.3970348105898177,H4   walk-forward OLS on B_COMPLETE,0.4326524617287928,0.48687502747205313,0.594974150276514,0.6072496959994069,0.46616859004162337,0.405025849723486,0.3927503040005931,0.16232168854772122,0.03351612831283057,0.08984021688223542
ALL (2022-2024),y_reb,14327,3.277658308787233,0.4481831778652947,H4   walk-forward OLS on B_COMPLETE,0.4864844784437977,0.5316422129012526,0.6555794434976503,0.6659248081376161,0.5073353428165062,0.3444205565023497,0.3340751918623839,0.16909496505385258,0.020850864372708444,0.08345903503595786
ALL (2022-2024),y_ast,14327,2.2733675323980975,0.44512463612911957,H4   walk-forward OLS on B_COMPLETE,0.4811947035113179,0.5260788881647236,0.602354371241612,0.6129532290608262,0.5097340338980085,0.39764562875838805,0.38704677093917383,0.12115966773029407,0.028539330386690653,0.08095425203560402
ALL (2022-2024),y_pts,14327,7.564102952348831,0.4790461132145606,H4   walk-forward OLS on B_COMPLETE,0.5044579691884346,0.5569014096857892,0.6784163496619554,0.6910448412013923,0.5337731414836291,0.3215836503380446,0.3089551587986077,0.17395838047352086,0.029315172295194536,0.07785529647122857
"DECISION (>=8 prior, >=24 trail-5 min)",y_oreb,5111,1.377471380881575,0.263740237009813,H4   walk-forward OLS on B_COMPLETE,0.3039124956751993,0.31934186619387717,0.35399922169084475,0.39784397278718675,0.31231906607650106,0.6460007783091553,0.6021560272128132,0.050086726015645455,0.008406570401301772,0.055601629184064194
"DECISION (>=8 prior, >=24 trail-5 min)",y_dreb,5111,2.7871986411569645,0.34690836204093245,H4   walk-forward OLS on B_COMPLETE,0.36463396375879786,0.40557610042905345,0.48310686777699896,0.5155093539570305,0.3949929688759868,0.516893132223001,0.48449064604296954,0.1184729040182011,0.03035900511718892,0.058667738388121005
"DECISION (>=8 prior, >=24 trail-5 min)",y_reb,5111,3.476316878584854,0.4145168009222916,H4   walk-forward OLS on B_COMPLETE,0.44922689614027433,0.4676401001859857,0.5514518570881293,0.5807216279819629,0.4546085349030109,0.44854814291187073,0.4192783720180371,0.10222496094785494,0.0053816387627365625,0.05312329926369408
"DECISION (>=8 prior, >=24 trail-5 min)",y_ast,5111,2.5310739392985626,0.38673964811077666,H4   walk-forward OLS on B_COMPLETE,0.40989082586525527,0.43800751001161276,0.4917726477634441,0.5206690557272086,0.4307158391665734,0.5082273522365559,0.47933094427279144,0.08188182189818882,0.02082501330131814,0.0512678619008361
"DECISION (>=8 prior, >=24 trail-5 min)",y_pts,5111,7.583696544741256,0.3006597428363509,H4   walk-forward OLS on B_COMPLETE,0.3222429456071717,0.36050293659864174,0.48316002752585574,0.5145030362638471,0.34398261166513056,0.5168399724741443,0.4854969637361529,0.16091708191868404,0.02173966605795885,0.05984319376229086
ALL incl 2021 (power sensitivity),y_oreb,18212,1.2272397187400361,0.207075890072158,H4   walk-forward OLS on B_COMPLETE,0.2463476688403745,0.32794494297653676,0.39667752387276434,0.4135268478621631,0.31035169826445197,0.6033224761272357,0.5864731521378369,0.15032985503238983,0.06400402942407746,0.12086905290437877
ALL incl 2021 (power sensitivity),y_dreb,18212,2.6161248164889233,0.386293893160941,H4   walk-forward OLS on B_COMPLETE,0.418581037975688,0.4813396225670725,0.5947713325948871,0.6067917823416669,0.4589055176937098,0.4052286674051129,0.39320821765833314,0.1761902946191991,0.04032447971802178,0.09504572940613154
ALL incl 2021 (power sensitivity),y_reb,18212,3.2790460936743395,0.43675608059579907,H4   walk-forward OLS on B_COMPLETE,0.46981022448739584,0.5258579322585772,0.6546154847056449,0.6649139432707325,0.49933512894021037,0.3453845152943551,0.3350860567292675,0.18480526021824906,0.029524904452814527,0.08910185166277818
ALL incl 2021 (power sensitivity),y_ast,18212,2.2569454641223903,0.43865778123824084,H4   walk-forward OLS on B_COMPLETE,0.4610887425833258,0.5222644493784909,0.5995788689217401,0.6103824711920213,0.5056094495508929,0.40042113107825994,0.38961752880797873,0.1384901263384143,0.04452070696756716,0.08360666814025008
ALL incl 2021 (power sensitivity),y_pts,18212,7.500501034849229,0.46278473864041736,H4   walk-forward OLS on B_COMPLETE,0.49310439275915285,0.5459813348590552,0.6715837682448886,0.6849611838525331,0.5208504276654551,0.32841623175511137,0.31503881614746687,0.17847937548573578,0.02774603490630223,0.08319659621863784
