stratum,target,candidate,n,mae_ref,mae_with_cand,mae_skill_pct,r2_ref,r2_with_cand,dr2_out_of_sample
POOLED,y_ast,A01_c04_prevgame,13977,1.2221451314571576,1.221356232399314,0.0645503580170681,0.4716764595644507,0.4734873584474335,0.0018108988829828032
DECISION,y_ast,A01_c04_prevgame,5111,1.5247950314462964,1.5237848522365012,0.06625016405235051,0.3895280113720724,0.39083674761748644,0.001308736245414055
POOLED,y_ast,A04_teammate_prior_fgm_pg,13977,1.2221451314571576,1.2223351433849592,-0.01554741109797142,0.4716764595644507,0.47371136742668196,0.002034907862231261
DECISION,y_ast,A04_teammate_prior_fgm_pg,5111,1.5247950314462964,1.5241983075943306,0.039134692838005414,0.3895280113720724,0.3909615121262032,0.0014335007541308453
POOLED,y_reb,A01_c04_prevgame,13977,1.7827472757091272,1.781812869418712,0.05241383919901699,0.4818053677446238,0.4829997599822552,0.0011943922376314031
DECISION,y_reb,A01_c04_prevgame,5111,2.0452394232706252,2.0452431783304914,-0.00018360001394768233,0.4248880288494561,0.4258135932737933,0.0009255644243372219
POOLED,y_reb,A04_teammate_prior_fgm_pg,13977,1.7827472757091272,1.7819353531508906,0.04554333467785554,0.4818053677446238,0.4825729537692015,0.0007675860245777155
DECISION,y_reb,A04_teammate_prior_fgm_pg,5111,2.0452394232706252,2.0450625497121706,0.008648061270588592,0.4248880288494561,0.4251365185960261,0.0002484897465699909
POOLED,y_pts,A01_c04_prevgame,13977,4.081763955964847,4.070088049714924,0.2860505011040848,0.5047645728423114,0.5082192920705779,0.0034547192282665673
DECISION,y_pts,A01_c04_prevgame,5111,4.990427670951337,4.981150095347472,0.1859074254871751,0.3054216957862941,0.30972625854194935,0.004304562755655272
POOLED,y_pts,A04_teammate_prior_fgm_pg,13977,4.081763955964847,4.072578908866817,0.22502641497942344,0.5047645728423114,0.5071086950821606,0.0023441222398492556
DECISION,y_pts,A04_teammate_prior_fgm_pg,5111,4.990427670951337,4.985844525063127,0.0918387398917142,0.3054216957862941,0.3079488408780856,0.0025271450917915272
