stratum,target,base,candidate,level,n,dr2,beta,sd_candidate,sd_candidate_resid,sd_y,r2_base,p_row_level_NAIVE,p_entity_swap,p_cyclic_shift,p_correct_level,null_sd_row,null_sd_swap,null_sd_cyclic,inflation_swap_over_row,inflation_cyclic_over_row,CEILING_dr2_D089form,CEILING_dr2_residualised,d_target_per_sd_signal,family,fw_p,fw_t
DECISION,y_ast,B_COMPLETE,A01_c04_prevgame,team_season,5111,0.001267370581068371,-0.010225219026195106,9.41168358822967,8.812193474936668,2.531073939298562,0.3966259162922362,0.0033277870216306157,0.0033277870216306157,0.0016638935108153079,0.0033277870216306157,0.0001708141369330506,0.00021762534282258422,0.00016542318048151845,1.2740476094661939,0.9684396353350713,0.0014456734686941598,0.001267370581068371,0.09623652609489423,A,0.04326123128119801,5.054540753657628
DECISION,y_ast,B_COMPLETE,A02_n_present_prevgame,team_season,5111,0.0001797800758549677,-0.03302839764349473,1.0491021961449734,1.0275148502451574,2.531073939298562,0.3966259162922362,0.2146422628951747,0.15307820299500832,0.2545757071547421,0.2545757071547421,0.00017933718229547118,0.0001301809778225938,0.00017829891264616659,0.7259006534858514,0.9942105165475725,0.0001874135283970823,0.0001797800758549677,0.034650164502939784,A,0.9900166389351082,0.29045686769810175
DECISION,y_ast,B_COMPLETE,A03_absent_usg_prevgame,team_season,5111,8.015684124864575e-05,0.0017243400575381324,14.060105166821431,13.141720074177966,2.531073939298562,0.3966259162922362,0.39767054908485855,0.3777038269550749,0.26788685524126454,0.3777038269550749,0.00016402083434237545,0.00011978121154032612,9.209830501421001e-05,0.7302804672380584,0.5615036978897749,9.175152858247309e-05,8.015684124864576e-05,0.02424440255234906,A,1.0,-0.0988632108578562
DECISION,y_ast,B_COMPLETE,A04_teammate_prior_fgm_pg,team_season,5111,0.001366776284687246,-0.02957857848431742,3.53862470437781,3.16356127785068,2.531073939298562,0.3966259162922362,0.0016638935108153079,0.004991680532445923,0.0016638935108153079,0.004991680532445923,0.00017823905589500424,0.00023164834085164844,0.0001462338327790248,1.2996497299004217,0.8204365314028995,0.0017100702147012964,0.0013667762846872463,0.10466748854498358,A,0.03993344425956739,5.125028136485701
DECISION,y_ast,B_COMPLETE,A05_teammate_prior_fgpct,team_season,5111,0.00015094957235602783,-1.3950815080599794,0.025628313663831868,0.02229057099894989,2.531073939298562,0.3966259162922362,0.27121464226289516,0.259567387687188,0.16638935108153077,0.259567387687188,0.00019970569675432,0.00015852252966753804,0.00010947711834180181,0.7937807095335597,0.5481922655240109,0.0001995398131271765,0.00015094957235602783,0.03575358647517274,A,0.9916805324459235,0.21763063295680007
DECISION,y_ast,B_COMPLETE,G01_noise,row,5111,1.7750989082729935e-05,0.010673640774619922,1.0003967819812156,0.9990875067505324,2.5310739392985626,0.3966259162922362,0.6921797004991681,,,0.6921797004991681,0.00018616487928284985,0.00018616487928284985,0.00018616487928284985,1.0,1.0,1.7797543880887097e-05,1.7750989082729935e-05,0.010677875882953259,G,1.0,-0.6226905557191302
DECISION,y_ast,B_COMPLETE,G02_placebo_noop,row,5111,0.0,0.0,6.287363639907409,4.250299671612785e-11,2.5310739392985626,0.3966259162922362,1.0,,,1.0,0.00017828674865637238,0.00017828674865637238,0.00017828674865637238,1.0,1.0,0.0,0.0,0.0,G,1.0,-0.7106364968527026
DECISION,y_ast,B_COMPLETE,R01_opp_allowed_miss_pg,opp_team_season,5111,4.2725017673888e-05,0.008854959193311333,1.8728486110166511,1.8683549784442266,2.531073939298562,0.39662591629223587,0.5241264559068219,0.6222961730449251,0.20299500831946754,0.6222961730449251,0.00017141316593135875,0.0002699418962272968,3.388438297628656e-05,1.5748025815904552,0.1976766649876552,4.2930783081618434e-05,4.272501767388801e-05,0.016583998025802255,R,1.0,-0.5351849291290075
DECISION,y_ast,B_SINGLE,A01_c04_prevgame,team_season,5111,0.0012713153983340776,-0.009633663881653749,9.41168358822967,9.367851467374509,2.531073939298562,0.3907839973679186,0.0016638935108153079,0.009983361064891847,0.0033277870216306157,0.009983361064891847,0.0001701728924698661,0.0002619374525575691,0.00017631289502506017,1.5392431118484544,1.0360809672215057,0.0012832401854773203,0.0012713153983340772,0.09066899624948152,A,0.11314475873544093,4.119185140765511
DECISION,y_ast,B_SINGLE,A02_n_present_prevgame,team_season,5111,0.00033324394815738094,-0.04405459361661115,1.0491021961449734,1.04880504655846,2.531073939298562,0.3907839973679186,0.09484193011647254,0.059900166389351084,0.12479201331114809,0.12479201331114809,0.00017551170052306308,0.00012040287141618756,0.0001814845762056854,0.686010511307,1.0340312108242462,0.00033343280561848847,0.00033324394815738094,0.046217770913461076,A,0.8768718801996672,1.072557877387673
