n_rows,n_scoreable,n_distinct_pred,sd_pred,sd_truth,sd_ratio,top1_share,top1_value,top2_share,D1_flag,share_at_cell_min,share_at_cell_max,share_at_zero,share_at_one,D2_flag,dup_cluster_size,n_distinct_pred_vectors,dup_cluster_players,dup_cluster_games,dup_cluster_seasons,D3_flag,n_distinct_pred_sd,sd_null_share,sd_zero_share,corr_sd_absresid,D4_flag,modal_value,modal_share,modal_n_seasons,D5_flag,q_cross_rows,point_outside_interval_rows,cov90,cov50,quantiles_present,D6_flag,any_flag,arm,target,partition,cell
16239,12832,12550,5.990572900123413,7.598747426800141,0.7883632082565566,0.00831331978570109,0.0,0.010961266087813289,False,0.00831331978570109,0.00012316029312149762,0.00831331978570109,0.0,False,70,12552,11,66,1,True,3,0.0,0.0,-0.00987149214032008,True,0.0,0.00831331978570109,3,False,0,0,0.8964307980049875,0.4972724438902743,True,False,True,cbs_v15_player_oof_v5,player_scoring_distribution,P01_global,ALL
16239,12832,12550,5.990572900123413,7.598747426800141,0.7883632082565566,0.00831331978570109,0.0,0.010961266087813289,False,0.00831331978570109,0.00012316029312149762,0.00831331978570109,0.0,False,70,12552,11,66,1,True,3,0.0,0.0,-0.00987149214032008,True,0.0,0.00831331978570109,3,False,0,0,0.8964307980049875,0.4972724438902743,True,False,True,cbs_v15_player_oof_v5,player_scoring_distribution,P02_is_fallback,False
16239,12832,12550,5.990572900123413,7.598747426800141,0.7883632082565566,0.00831331978570109,0.0,0.010961266087813289,False,0.00831331978570109,0.00012316029312149762,0.00831331978570109,0.0,False,70,12552,11,66,1,True,3,0.0,0.0,-0.00987149214032008,True,0.0,0.00831331978570109,3,False,0,0,0.8964307980049875,0.4972724438902743,True,False,True,cbs_v15_player_oof_v5,player_scoring_distribution,P03_fallback_level,0
16239,12832,12550,5.990572900123413,7.598747426800141,0.7883632082565566,0.00831331978570109,0.0,0.010961266087813289,False,0.00831331978570109,0.00012316029312149762,0.00831331978570109,0.0,False,70,12552,11,66,1,True,3,0.0,0.0,-0.00987149214032008,True,0.0,0.00831331978570109,3,False,0,0,0.8964307980049875,0.4972724438902743,True,False,True,cbs_v15_player_oof_v5,player_scoring_distribution,P04_component_id,player_scoring_distribution/walk_forward_active_ewma
16239,12832,12550,5.990572900123413,7.598747426800141,0.7883632082565566,0.00831331978570109,0.0,0.010961266087813289,False,0.00831331978570109,0.00012316029312149762,0.00831331978570109,0.0,False,70,12552,11,66,1,True,3,0.0,0.0,-0.00987149214032008,True,0.0,0.00831331978570109,3,False,0,0,0.8964307980049875,0.4972724438902743,True,False,True,cbs_v15_player_oof_v5,player_scoring_distribution,P05_is_cold_start,False
5030,3860,3766,5.785078829179863,7.48016011164442,0.7733897059468271,0.006759443339960238,16.653942474,0.011928429423459244,False,0.0045725646123260435,0.00019880715705765408,0.0045725646123260435,0.0,False,34,3766,1,34,1,False,3,0.0,0.0,-0.014929217893033723,True,16.653942474,0.006759443339960238,1,False,0,0,0.9025906735751296,0.5036269430051813,True,False,True,cbs_v15_player_oof_v5,player_scoring_distribution,P06_n_prior_games_bin,10-19
6651,5912,5829,6.0735378630590535,7.796854038196513,0.7789728823067619,0.003458126597504135,5.240664829,0.005863779882724403,False,0.0004510599909788002,0.00015035333032626674,0.0,0.0,False,23,5829,1,23,1,False,3,0.0,0.0,-0.008206895481349811,True,5.240664829,0.003458126597504135,1,False,0,0,0.8873477672530447,0.476319350473613,True,False,True,cbs_v15_player_oof_v5,player_scoring_distribution,P06_n_prior_games_bin,20+
1512,887,834,5.8883065554052365,7.1978979427879555,0.8180591892533174,0.04431216931216931,0.0,0.0701058201058201,False,0.04431216931216931,0.0013227513227513227,0.04431216931216931,0.0,True,39,836,1,39,1,False,3,0.0,0.0,0.02342094193945046,True,0.0,0.04431216931216931,3,True,0,0,0.9075535512965051,0.5377677564825254,True,False,True,cbs_v15_player_oof_v5,player_scoring_distribution,P06_n_prior_games_bin,3-4
3046,2173,2123,5.774271954815078,7.227590352711668,0.7989207568534471,0.014773473407747865,0.0,0.028890347997373604,False,0.014773473407747865,0.00032829940906106366,0.014773473407747865,0.0,True,43,2125,1,43,1,False,3,0.0,0.0,-0.010918634351116119,True,0.0,0.014773473407747865,3,True,0,0,0.9056603773584906,0.5264611136677404,True,False,True,cbs_v15_player_oof_v5,player_scoring_distribution,P06_n_prior_games_bin,5-9
5030,3860,3766,5.785078829179863,7.48016011164442,0.7733897059468271,0.006759443339960238,16.653942474,0.011928429423459244,False,0.0045725646123260435,0.00019880715705765408,0.0045725646123260435,0.0,False,34,3766,1,34,1,False,3,0.0,0.0,-0.014929217893033723,True,16.653942474,0.006759443339960238,1,False,0,0,0.9025906735751296,0.5036269430051813,True,False,True,cbs_v15_player_oof_v5,player_scoring_distribution,P07_n_prior_appearances_bin,10-19
