arm,target,region,n_rows,pooled_n,skill_before_pct,skill_after_pct,routing_gain_pct
cbs_v15_player_oof_v5,player_scoring_distribution,R1_is_fallback,1061,13879,-0.2222,2.6735,2.8957
cbs_v15_player_oof_v5,player_scoring_distribution,R2_is_cold_start,114,13879,-0.2222,-0.1455,0.0767
cbs_v15_player_oof_v5,player_scoring_distribution,R3_fallback_level_2,947,13879,-0.2222,2.5947,2.8169
cbs_v15_player_oof_v5,e_minutes_given_active,R1_is_fallback,1061,13879,3.5549,8.65,5.0951
cbs_v15_player_oof_v5,e_minutes_given_active,R2_is_cold_start,114,13879,3.5549,3.6584,0.1035
cbs_v15_player_oof_v5,e_minutes_given_active,R3_fallback_level_2,947,13879,3.5549,8.5435,4.9885
cbs_v15_player_oof_v5,attempts_usage,R1_is_fallback,1061,13879,0.1152,4.2455,4.1303
cbs_v15_player_oof_v5,attempts_usage,R2_is_cold_start,114,13879,0.1152,0.2059,0.0907
cbs_v15_player_oof_v5,attempts_usage,R3_fallback_level_2,947,13879,0.1152,4.151,4.0358
cbs_v14_player_oof,player_scoring_distribution,R1_is_fallback,1419,13879,-1.8261,1.4495,3.2756
cbs_v14_player_oof,player_scoring_distribution,R2_is_cold_start,480,13879,-1.8261,-1.4136,0.4125
cbs_v14_player_oof,player_scoring_distribution,R3_fallback_level_2,939,13879,-1.8261,1.0383,2.8644
cbs_v14_player_oof,e_minutes_given_active,R1_is_fallback,1419,13879,1.0469,6.4686,5.4217
cbs_v14_player_oof,e_minutes_given_active,R2_is_cold_start,480,13879,1.0469,1.564,0.5171
cbs_v14_player_oof,e_minutes_given_active,R3_fallback_level_2,939,13879,1.0469,5.9488,4.902
cbs_v14_player_oof,attempts_usage,R1_is_fallback,1419,13879,-1.7341,2.7508,4.4849
cbs_v14_player_oof,attempts_usage,R2_is_cold_start,480,13879,-1.7341,-1.1849,0.5492
cbs_v14_player_oof,attempts_usage,R3_fallback_level_2,939,13879,-1.7341,2.2033,3.9374
