# SECTION 1: composed ftm forecasts, COMMON DENOMINATOR = SST(ftm) on the FULL stratum (D099)
stratum,denominator,n,sd_y_ftm,composition,level_A,level_B,level_C,r2
POOLED (2022-2024),SST(ftm) FULL STRATUM,14327,2.087871760443123,all LEAGUE (no player information),LG,LG,LG,-0.001156628836098017
POOLED (2022-2024),SST(ftm) FULL STRATUM,14327,2.087871760443123,HONEST stage A only,HON,LG,LG,0.2069778505248474
POOLED (2022-2024),SST(ftm) FULL STRATUM,14327,2.087871760443123,HONEST stage B only,LG,HON,LG,0.15013612670932275
POOLED (2022-2024),SST(ftm) FULL STRATUM,14327,2.087871760443123,HONEST stage C only,LG,LG,HON,0.013694638847274176
POOLED (2022-2024),SST(ftm) FULL STRATUM,14327,2.087871760443123,all HONEST,HON,HON,HON,0.25502263333268804
POOLED (2022-2024),SST(ftm) FULL STRATUM,14327,2.087871760443123,all HONEST + ORACLE A,ORA,HON,HON,0.5051934327558868
POOLED (2022-2024),SST(ftm) FULL STRATUM,14327,2.087871760443123,all HONEST + ORACLE B,HON,ORA,HON,0.6129005813646055
POOLED (2022-2024),SST(ftm) FULL STRATUM,14327,2.087871760443123,all HONEST + ORACLE C,HON,HON,ORA,0.3125334633706953
POOLED (2022-2024),SST(ftm) FULL STRATUM,14327,2.087871760443123,all ORACLE except A honest,HON,ORA,ORA,0.6856612640924601
POOLED (2022-2024),SST(ftm) FULL STRATUM,14327,2.087871760443123,all ORACLE except B honest,ORA,HON,ORA,0.5729905936229531
POOLED (2022-2024),SST(ftm) FULL STRATUM,14327,2.087871760443123,all ORACLE except C honest,ORA,ORA,HON,0.9108563191274658
POOLED (2022-2024),SST(ftm) FULL STRATUM,14327,2.087871760443123,"all ORACLE (identity check, must be 1.0)",ORA,ORA,ORA,1.0
DECISION (2022-2024),SST(ftm) FULL STRATUM,5111,2.4561385812898857,all LEAGUE (no player information),LG,LG,LG,-0.12432865595653997
DECISION (2022-2024),SST(ftm) FULL STRATUM,5111,2.4561385812898857,HONEST stage A only,HON,LG,LG,0.11582712519150384
DECISION (2022-2024),SST(ftm) FULL STRATUM,5111,2.4561385812898857,HONEST stage B only,LG,HON,LG,0.04586217588981678
DECISION (2022-2024),SST(ftm) FULL STRATUM,5111,2.4561385812898857,HONEST stage C only,LG,LG,HON,-0.09641227727777868
DECISION (2022-2024),SST(ftm) FULL STRATUM,5111,2.4561385812898857,all HONEST,HON,HON,HON,0.20509682401422435
DECISION (2022-2024),SST(ftm) FULL STRATUM,5111,2.4561385812898857,all HONEST + ORACLE A,ORA,HON,HON,0.42791858799754334
DECISION (2022-2024),SST(ftm) FULL STRATUM,5111,2.4561385812898857,all HONEST + ORACLE B,HON,ORA,HON,0.6629164476182026
DECISION (2022-2024),SST(ftm) FULL STRATUM,5111,2.4561385812898857,all HONEST + ORACLE C,HON,HON,ORA,0.27010329970510705
DECISION (2022-2024),SST(ftm) FULL STRATUM,5111,2.4561385812898857,all ORACLE except A honest,HON,ORA,ORA,0.7412437620635012
DECISION (2022-2024),SST(ftm) FULL STRATUM,5111,2.4561385812898857,all ORACLE except B honest,ORA,HON,ORA,0.492225820611906
DECISION (2022-2024),SST(ftm) FULL STRATUM,5111,2.4561385812898857,all ORACLE except C honest,ORA,ORA,HON,0.916883038468799
DECISION (2022-2024),SST(ftm) FULL STRATUM,5111,2.4561385812898857,"all ORACLE (identity check, must be 1.0)",ORA,ORA,ORA,1.0

# SECTION 2: per-stage skill on EACH STAGE'S OWN denominator -- NOT comparable across stages
stratum,stage,target,n,denominator,sd_y,r2_matched_prior_reference,note
POOLED (2022-2024),A  P(any FTA),y_any_fta,13848,FULL_STRATUM,0.49840335000680125,0.1708455161874629,
POOLED (2022-2024),B  FTA | any,y_fta_given,7282,CONDITIONAL_SUBSET(fta>0),2.371206598795575,0.10252901971285122,
POOLED (2022-2024),C  FTM | FTA,y_ftm_given,7282,CONDITIONAL_SUBSET(fta>0),2.125024007204831,0.8381717370396664,"uses REALISED fta as exposure -> ORACLE-EXPOSURE, not a pregame forecast"
POOLED (2022-2024),C' FT% | FTA,ft_pct_given,7282,CONDITIONAL_SUBSET(fta>0),0.2765717119611387,-0.09932050753218591,
DECISION (2022-2024),A  P(any FTA),y_any_fta,5111,FULL_STRATUM,0.44380297912610694,0.13173280027777523,
DECISION (2022-2024),B  FTA | any,y_fta_given,3733,CONDITIONAL_SUBSET(fta>0),2.584697317292073,0.11505127234413914,
DECISION (2022-2024),C  FTM | FTA,y_ftm_given,3733,CONDITIONAL_SUBSET(fta>0),2.3165463671579962,0.8720640309044528,"uses REALISED fta as exposure -> ORACLE-EXPOSURE, not a pregame forecast"
DECISION (2022-2024),C' FT% | FTA,ft_pct_given,3733,CONDITIONAL_SUBSET(fta>0),0.2582253996881136,0.02962077029514687,
