subset,target,stage,denominator,n,sd_y,r2_REF_matched,best_honest_rung,r2_best_honest,r2_O1_seasonmean,r2_O2_oracle,r2_O3_oracle,r2_O5_semioracle,IRREDUCIBLE_share_even_to_O2,IRREDUCIBLE_share_even_to_O3,headroom_O2_minus_best_honest,headroom_O1_minus_REF
ALL (2022-2024),y_any_fta,A,FULL_STRATUM,14327,0.49840335000680125,0.1708455161874629,H4   walk-forward OLS on B_COMPLETE,0.20921923578920232,0.28763055147353,0.34150104827903904,0.3788504088081538,0.2634048196986023,0.658498951720961,0.6211495911918462,0.13228181248983673,0.1167850352860671
ALL (2022-2024),y_fta_given,B,CONDITIONAL_SUBSET(fta>0),7732,2.371206598795575,0.10252901971285144,H4   walk-forward OLS on B_COMPLETE,0.18021049097463604,0.24705543171638145,0.2550740959733806,0.3133518572445053,0.21622268165251235,0.7449259040266194,0.6866481427554947,0.07486360499874456,0.14452641200353
ALL (2022-2024),y_ftm_given,C,CONDITIONAL_SUBSET(fta>0),7732,2.125024007204831,0.10092805466905341,H4   walk-forward OLS on B_COMPLETE,0.1642561034891532,0.24679504994391177,0.8780621724314605,0.8851748877921123,0.1295806806722356,0.12193782756853955,0.11482511220788771,0.7138060689423072,0.14586699527485836
ALL (2022-2024),y_fta,AB,FULL_STRATUM,14327,2.4796085946949415,0.2731983413967134,H4   walk-forward OLS on B_COMPLETE,0.30467625086786665,0.3664883078539348,0.424511996526859,0.44229462430916267,0.3587353252159956,0.575488003473141,0.5577053756908373,0.11983574565899235,0.09328996645722143
ALL (2022-2024),y_ftm,ABC,FULL_STRATUM,14327,2.0970278012588213,0.2622984642005073,H4   walk-forward OLS on B_COMPLETE,0.2895500353931898,0.35516677483586634,0.4063350336512277,0.42471233114940454,0.34862999893658186,0.5936649663487723,0.5752876688505955,0.1167849982580379,0.09286831063535905
ALL (2022-2024),y_pts,ANCHOR,FULL_STRATUM,14327,7.582676587361704,0.4940999135617221,H4   walk-forward OLS on B_COMPLETE,0.5016588778920654,0.5569014096857892,0.6784163496619554,0.6910448412013923,0.5391307012047247,0.3215836503380446,0.3089551587986077,0.17675747176988998,0.06280149612406705
"DECISION (>=8 prior, >=24 trail-5 min)",y_any_fta,A,FULL_STRATUM,5111,0.44380297912610694,0.13173280027777512,H4   walk-forward OLS on B_COMPLETE,0.13870084749895906,0.19860690039889184,0.22708158614421547,0.3171577039406972,0.18549891239730232,0.7729184138557845,0.6828422960593028,0.08838073864525642,0.06687410012111672
"DECISION (>=8 prior, >=24 trail-5 min)",y_fta_given,B,CONDITIONAL_SUBSET(fta>0),3733,2.5846973172920724,0.11505127234413914,H4   walk-forward OLS on B_COMPLETE,0.14649107286363627,0.1954133028840528,0.2139223154577259,0.27289176025951734,0.1902219533147137,0.7860776845422741,0.7271082397404827,0.06743124259408961,0.08036203053991364
"DECISION (>=8 prior, >=24 trail-5 min)",y_ftm_given,C,CONDITIONAL_SUBSET(fta>0),3733,2.3165463671579962,0.1194361716578286,H4   walk-forward OLS on B_COMPLETE,0.15018196324322286,0.19835842304854423,0.8869484165375456,0.8952024697034989,0.13127939184610105,0.11305158346245436,0.10479753029650107,0.7367664532943228,0.07892225139071563
"DECISION (>=8 prior, >=24 trail-5 min)",y_fta,AB,FULL_STRATUM,5111,2.8473398932158824,0.21063451772423558,H4   walk-forward OLS on B_COMPLETE,0.22877239141280015,0.27306271346494293,0.3184130193734245,0.3554751229871195,0.26972990488777804,0.6815869806265755,0.6445248770128805,0.08964062796062433,0.06242819574070735
"DECISION (>=8 prior, >=24 trail-5 min)",y_ftm,ABC,FULL_STRATUM,5111,2.4561385812898857,0.20509682401422424,H4   walk-forward OLS on B_COMPLETE,0.22521144983934482,0.26572735220624966,0.3054126440377962,0.3427985783706542,0.262882046412678,0.6945873559622038,0.6572014216293458,0.0802011941984514,0.06063052819202541
"DECISION (>=8 prior, >=24 trail-5 min)",y_pts,ANCHOR,FULL_STRATUM,5111,7.583696544741256,0.3006597428363509,H4   walk-forward OLS on B_COMPLETE,0.3222429456071717,0.36050293659864174,0.48316002752585574,0.5145030362638471,0.34398261166513056,0.5168399724741443,0.4854969637361529,0.16091708191868404,0.05984319376229086
ALL incl 2021 (power sensitivity),y_any_fta,A,FULL_STRATUM,18212,0.4986449336377734,0.1588254090795591,H4   walk-forward OLS on B_COMPLETE,0.21725693018707792,0.2808995624201246,0.33224219919326137,0.37037623893128935,0.25612912447225167,0.6677578008067386,0.6296237610687107,0.11498526900618344,0.12207415334056548
ALL incl 2021 (power sensitivity),y_fta_given,B,CONDITIONAL_SUBSET(fta>0),9761,2.3564085755501654,0.08667173587848709,H4   walk-forward OLS on B_COMPLETE,0.16191041805087258,0.24078115498518815,0.24552489286047108,0.3070223069756981,0.20845603082410724,0.7544751071395289,0.6929776930243019,0.0836144748095985,0.15410941910670106
ALL incl 2021 (power sensitivity),y_ftm_given,C,CONDITIONAL_SUBSET(fta>0),9761,2.1171405418314313,0.08453383097292799,H4   walk-forward OLS on B_COMPLETE,0.15281812132155048,0.2410888629454665,0.8771470122293211,0.884572661375055,0.11598114094393586,0.12285298777067888,0.11542733862494503,0.7243288909077706,0.1565550319725385
ALL incl 2021 (power sensitivity),y_fta,AB,FULL_STRATUM,18212,2.467577335400571,0.25802160536918284,H4   walk-forward OLS on B_COMPLETE,0.29715896020803156,0.35776164014850775,0.41487674457461887,0.43381192933288004,0.34884907750332683,0.5851232554253811,0.56618807066712,0.11771778436658731,0.09974003477932492
ALL incl 2021 (power sensitivity),y_ftm,ABC,FULL_STRATUM,18212,2.092801561401428,0.24714336026839068,H4   walk-forward OLS on B_COMPLETE,0.2867591218135155,0.3467646453978199,0.3966529714216229,0.4157133635506448,0.3389205788672295,0.6033470285783771,0.5842866364493552,0.10989384960810744,0.09962128512942925
ALL incl 2021 (power sensitivity),y_pts,ANCHOR,FULL_STRATUM,18212,7.517027704506716,0.478279649547553,H4   walk-forward OLS on B_COMPLETE,0.4960754435968455,0.5459813348590552,0.6715837682448886,0.6849611838525331,0.5260950355458905,0.32841623175511137,0.31503881614746687,0.1755083246480431,0.06770168531150222
