spec,centred,stratum,n,r2_champion,r2_candidate,dR2_cand_minus_champ,p_cluster_opp_team_season,p_row_level_NAIVE,inflation,points_skill_champion,points_skill_candidate,mae_champion,mae_candidate,mae_reference,d_points_skill,p_opponent_team_season,p_opponent_team_season_game,p_game,p_player_season
SPEC_RA,True,all,11267,0.4378510239557394,0.43758079025626406,-0.0002702336994753257,0.23715256948610278,0.08738252349530094,1.4100472678923444,0.005556649703785332,0.005313744414461086,4.327171927399331,4.328228893538898,4.351350859865871,-0.0002429052893242467,0.23715256948610278,0.06938612277544491,0.0619876024795041,0.07898420315936813
SPEC_RA,True,on_stratum,5086,0.29655994778021566,0.2962721267043541,-0.0002878210758616031,0.47630473905218956,0.2913417316536693,1.4370424770123926,-0.003379952015457377,-0.003513325780033272,5.003065825103915,5.003730855058096,4.986212665555472,-0.00013337376457589478,0.47630473905218956,0.2669466106778644,0.2521495700859828,0.27954409118176365
SPEC_RA,True,off_stratum,6181,0.3176210300136715,0.3172298132489433,-0.0003912167647281671,0.33673265346930614,0.17536492701459708,1.3257961208362499,0.015132561847773673,0.014772289320774457,3.771016553879591,3.772396022436061,3.8289585052731967,-0.00036027252699921686,0.33673265346930614,0.18136372725454908,0.1811637672465507,0.1877624475104979
SPEC_ALL5_GLOBAL,True,all,9962,0.4577590880718879,0.4575458863477362,-0.0002132017241517636,0.5380923815236952,0.3437312537492502,1.5314635785990822,0.008622820711789547,0.00812692120808145,4.2481558757028415,4.250280857429724,4.285105572788083,-0.0004958995037080971,0.5380923815236952,0.28754249150169964,0.27034593081383723,0.2953409318136373
SPEC_ALL5_GLOBAL,True,on_stratum,4938,0.2969182106010675,0.29700698153751914,8.877093645169395e-05,0.8850229954009198,0.8322335532893421,1.4828669592753665,-0.003718971159466511,-0.004085463372414777,4.996260596699537,4.998084902760461,4.977748493612713,-0.00036649221294826617,0.8850229954009198,0.8110377924415118,0.8102379524095181,0.8174365126974605
SPEC_ALL5_GLOBAL,True,off_stratum,5024,0.2287179173366818,0.22769467562298118,-0.001023241713700557,0.015796840631873626,0.004399120175964807,1.2507670564386375,0.025375696852197427,0.024704138551421617,3.5128570874302145,3.5152775979067985,3.604319198776933,-0.0006715583007758097,0.015796840631873626,0.004199160167966407,0.002999400119976005,0.0057988402319536095
SPEC_ALL5_PERZONE,True,all,9962,0.4577590880718879,0.45753897620905426,-0.00022011186283373826,0.36572685462907417,0.20355928814237154,1.3703703645468197,0.008622820711789547,0.00855459117501478,4.2481558757028415,4.248448246471104,4.285105572788083,-6.822953677476651e-05,0.36572685462907417,0.15636872625474904,0.15236952609478105,0.17416516696660667
SPEC_ALL5_PERZONE,True,on_stratum,4938,0.2969182106010675,0.2967336439425575,-0.000184566658510012,0.6906618676264747,0.5462907418516296,1.4553074011931868,-0.003718971159466511,-0.0036717481341896896,4.996260596699537,4.996025532356601,4.977748493612713,4.722302527682132e-05,0.6906618676264747,0.5382923415316937,0.5280943811237753,0.5246950609878024
SPEC_ALL5_PERZONE,True,off_stratum,5024,0.2287179173366818,0.22820604315353832,-0.0005118741831436507,0.1837632473505299,0.10077984403119376,1.23160253090271,0.025375696852197427,0.025150750811666955,3.5128570874302145,3.513667864762787,3.604319198776933,-0.00022494604053047151,0.1837632473505299,0.09998000399920016,0.08678264347130574,0.10777844431113777
SPEC_RA_UNCENTRED,False,all,11267,0.4378510239557394,0.4344699400671004,-0.0033810838886389975,0.032993401319736056,0.0001999600079984003,1.9298965455966242,0.005556649703785332,-0.002208598762869496,4.327171927399331,4.360961247991782,4.351350859865871,-0.007765248466654828,0.032993401319736056,0.0001999600079984003,0.0001999600079984003,0.0001999600079984003
SPEC_RA_UNCENTRED,False,on_stratum,5086,0.29655994778021566,0.28849708934910867,-0.008062858431106969,0.004199160167966407,0.0001999600079984003,1.8183449120350132,-0.003379952015457377,-0.01392862277886886,5.003065825103915,5.055663740869212,4.986212665555472,-0.010548670763411483,0.004199160167966407,0.0001999600079984003,0.0001999600079984003,0.0001999600079984003
SPEC_RA_UNCENTRED,False,off_stratum,6181,0.3176210300136715,0.31832732180557155,0.00070629179190009,0.6668666266746651,0.5746850629874025,1.3444143551815169,0.015132561847773673,0.010349857329112755,3.771016553879591,3.7893293310245264,3.8289585052731967,-0.0047827045186609185,0.6668666266746651,0.5670865826834633,0.6132773445310937,0.5488902219556089
