family,zone,metric,null_level,draw,value
selection,Restricted Area,beta,row_naive,0,0.03526259915744893
selection,Restricted Area,beta,row_naive,1,0.016630833658167747
selection,Restricted Area,beta,row_naive,2,0.06333260140269388
selection,Restricted Area,beta,row_naive,3,0.010282320447941322
selection,Restricted Area,beta,row_naive,4,0.03568477393238269
selection,Restricted Area,beta,row_naive,5,0.011379979405854168
selection,Restricted Area,beta,row_naive,6,-0.011430234919219585
selection,Restricted Area,beta,row_naive,7,-0.01459229855566426
selection,Restricted Area,beta,row_naive,8,-0.022826627673317827
selection,Restricted Area,beta,row_naive,9,-0.006745215870883393
selection,Restricted Area,beta,row_naive,10,0.035889631778738065
selection,Restricted Area,beta,row_naive,11,0.012542065703298577
selection,Restricted Area,beta,row_naive,12,0.006009266558132211
selection,Restricted Area,beta,row_naive,13,0.03358968299635637
selection,Restricted Area,beta,row_naive,14,0.0217775160937883
selection,Restricted Area,beta,row_naive,15,0.06395344344634633
selection,Restricted Area,beta,row_naive,16,0.025061290129969285
selection,Restricted Area,beta,row_naive,17,-0.03202422715898431
selection,Restricted Area,beta,row_naive,18,0.009650992127311592
selection,Restricted Area,beta,row_naive,19,0.02432809062090604
selection,Restricted Area,beta,row_naive,20,-0.00472679861707304
selection,Restricted Area,beta,row_naive,21,-0.029846161278601728
selection,Restricted Area,beta,row_naive,22,-0.026318156466437714
selection,Restricted Area,beta,row_naive,23,-0.03550803689545468
selection,Restricted Area,beta,row_naive,24,0.03324445115471289
selection,Restricted Area,beta,row_naive,25,-0.0861192950848006
selection,Restricted Area,beta,row_naive,26,-0.014058243050665099
selection,Restricted Area,beta,row_naive,27,0.06696265583887291
selection,Restricted Area,beta,row_naive,28,-0.04155894533188687
selection,Restricted Area,beta,row_naive,29,0.0003028969428658294
selection,Restricted Area,beta,row_naive,30,0.06542960160213625
selection,Restricted Area,beta,row_naive,31,0.015090272396334054
selection,Restricted Area,beta,row_naive,32,0.027756693738401946
selection,Restricted Area,beta,row_naive,33,0.012170923562411512
selection,Restricted Area,beta,row_naive,34,-0.07385477787196804
selection,Restricted Area,beta,row_naive,35,0.05285208538043814
selection,Restricted Area,beta,row_naive,36,0.049125468714146844
selection,Restricted Area,beta,row_naive,37,-0.01701090292607454
selection,Restricted Area,beta,row_naive,38,-0.05465032676307375
selection,Restricted Area,beta,row_naive,39,-0.04542179623725843
selection,Restricted Area,beta,row_naive,40,0.0035900088932851993
selection,Restricted Area,beta,row_naive,41,-0.004423639143131143
selection,Restricted Area,beta,row_naive,42,0.017647093180944606
selection,Restricted Area,beta,row_naive,43,0.07346482958340586
selection,Restricted Area,beta,row_naive,44,0.015039303234005536
selection,Restricted Area,beta,row_naive,45,-0.002181322144236264
selection,Restricted Area,beta,row_naive,46,-0.00855794349290194
selection,Restricted Area,beta,row_naive,47,-0.023931126416223268
selection,Restricted Area,beta,row_naive,48,0.013374801473284457
selection,Restricted Area,beta,row_naive,49,-0.004641976051349995
selection,Restricted Area,beta,row_naive,50,-0.02765935146458786
