target,control,kind,mae_mean,mae_sd,n_perm,is_noop,mae_min,mae_max
pts,"REAL_BASELINE_split(0.03,0.30)",reference,4.0568961781749255,0.0,1,False,,
pts,"REAL_incumbent(0.30,0.30)",reference,4.169036539108517,0.0,1,False,,
pts,REAL_naive_std,reference,4.110514874322061,0.0,1,False,,
pts,NEG_league_const,deterministic,6.1109987207057666,0.0,1,False,,
pts,NEG_reversed,deterministic,4.448256580356707,0.0,1,False,,
pts,NEG_other_player,permutation,7.399933174452128,0.12438035317482227,40,False,7.059790121981751,7.60197305399046
pts,NEG_channel_scramble,permutation,5.692438532867355,0.07030514001033673,40,False,5.5181442623871675,5.828106683457568
pts,NOOP_regroup,permutation,4.110514874322061,0.0,40,True,4.110514874322061,4.110514874322061
reb,"REAL_BASELINE_split(0.03,0.30)",reference,1.7865316604858594,0.0,1,False,,
reb,"REAL_incumbent(0.30,0.30)",reference,1.836784604099526,0.0,1,False,,
reb,REAL_naive_std,reference,1.8190302553662394,0.0,1,False,,
reb,NEG_league_const,deterministic,2.574760032905495,0.0,1,False,,
reb,NEG_reversed,deterministic,1.9750523351513793,0.0,1,False,,
reb,NEG_other_player,permutation,3.1000276401595555,0.046442222551046894,40,False,3.0010216739671858,3.1809258217937764
reb,NEG_channel_scramble,permutation,2.540898714965974,0.03100251458724606,40,False,2.4890935923597923,2.625375005819639
reb,NOOP_regroup,permutation,1.8190302553662394,0.0,40,True,1.8190302553662394,1.8190302553662394
ast,"REAL_BASELINE_split(0.03,0.30)",reference,1.2122426702170648,0.0,1,False,,
ast,"REAL_incumbent(0.30,0.30)",reference,1.2529748951316393,0.0,1,False,,
ast,REAL_naive_std,reference,1.2306108868527568,0.0,1,False,,
ast,NEG_league_const,deterministic,1.738691073603072,0.0,1,False,,
ast,NEG_reversed,deterministic,1.3262745206275406,0.0,1,False,,
ast,NEG_other_player,permutation,2.0680873201273977,0.03370237724030862,40,False,1.9858708846233286,2.1564480701301867
ast,NEG_channel_scramble,permutation,1.5851082620263584,0.020051947031545763,40,False,1.536275889711126,1.623325769974049
ast,NOOP_regroup,permutation,1.2306108868527568,0.0,40,True,1.2306108868527568,1.2306108868527568
