target,family,protocol,k_folds,mean_gap_pct,sd_gap_pct,min_gap_pct,max_gap_pct,n_folds_positive
pts,S1_starter,P1_LOSO,4,0.16913395107483445,0.1658285268035701,-0.06421501047001371,0.32797068427170795,3
pts,S1_starter,P2_WALKFWD,3,0.14471978265337662,0.1516960018587006,-0.027255055091306248,0.2595198440100928,2
pts,S2_minutes,P1_LOSO,4,0.037968925787229935,0.12038100259590094,-0.07798544186706848,0.20403837046346146,2
pts,S2_minutes,P2_WALKFWD,3,-0.18478807145898635,0.4290212157777558,-0.6793283924837644,0.08761387665309078,2
pts,S3_usage,P1_LOSO,4,0.045075592191874056,0.18278129070362847,-0.22717810444367084,0.16580588974494045,3
pts,S3_usage,P2_WALKFWD,3,0.03908906709943372,0.15580962892688738,-0.14020925619310448,0.14161160882622867,2
reb,S1_starter,P1_LOSO,4,0.17240435470224497,0.2793075797069912,-0.1531477851137946,0.4522992302074911,3
reb,S1_starter,P2_WALKFWD,3,0.001334751045145799,0.31776022829144374,-0.20964771723354156,0.36679975548277355,1
reb,S2_minutes,P1_LOSO,4,-0.013322107192531473,0.19388302713835262,-0.19629669230924784,0.21795401637413783,2
reb,S2_minutes,P2_WALKFWD,3,-0.15073886395856198,0.27182332902302003,-0.4530510808852837,0.07351590949804661,1
reb,S3_usage,P1_LOSO,4,-0.0067006176807573314,0.05979177926156945,-0.07705508721667326,0.06881930987071622,1
reb,S3_usage,P2_WALKFWD,3,-0.11066828944361552,0.16050193721446845,-0.240399876222359,0.06881930987071622,1
ast,S1_starter,P1_LOSO,4,0.011288886144460813,0.1515617100024555,-0.16140742347143805,0.184258994284462,2
ast,S1_starter,P2_WALKFWD,3,-0.004591741094075512,0.20438239353319018,-0.23749647497769716,0.14485610261812557,2
ast,S2_minutes,P1_LOSO,4,-0.08202478312568787,0.14029686764614593,-0.2652423416215138,0.03007889312716227,2
ast,S2_minutes,P2_WALKFWD,3,-0.2193863754680799,0.3937636226013147,-0.6537695222793773,0.11413770332126068,1
ast,S3_usage,P1_LOSO,4,-0.06430432293068795,0.09943136304013996,-0.18598460280651924,0.04432530263358082,1
ast,S3_usage,P2_WALKFWD,3,-0.1628997565431264,0.19860811341882517,-0.3862477845550581,-0.006148847089814665,0
