target,slice,k_folds,mean_vs_single,sd_vs_single,kpos_vs_single,mean_vs_inc,sd_vs_inc,kpos_vs_inc,mean_vs_naive,sd_vs_naive,kpos_vs_naive,alpha_eff_folds,alpha_exp_folds
pts,S1_starter1,4,0.1308530025140417,0.16369617035425257,3,3.3168842095032485,0.5447655939223767,4,0.13013903228994225,0.38188736201074197,2,"0.03,0.03,0.05,0.03","0.15,0.10,0.15,0.10"
pts,S1_starter0,4,0.8793159035246587,0.40503856100389596,4,1.9881521388792014,0.8685866198763991,4,3.89760581500445,0.7224513232936594,4,"0.03,0.03,0.02,0.05","0.40,0.40,0.40,0.40"
pts,S2_min_lt15,4,0.3479425903176642,0.5361610522355315,3,1.4159572277221066,1.4430138623690703,3,1.743622359427663,1.6683756741739493,3,"0.01,0.00,0.00,0.05","0.30,0.30,0.30,0.30"
pts,S2_min_15_25,4,0.5020296960736758,0.8624296540020525,3,2.2497803043348545,1.0795669524491802,4,2.9712400482896033,0.9406623329521002,4,"0.03,0.05,0.03,0.05","0.40,0.30,0.30,0.30"
pts,S2_min_ge25,4,0.11969470356755965,0.13157640655353478,3,3.429988947443088,0.6415860588296096,4,0.3283196667341768,0.3427304373982237,3,"0.03,0.03,0.05,0.03","0.15,0.10,0.15,0.10"
pts,S3_usage_low,4,0.4393682811588244,0.7248615499273787,3,1.7805858608386502,1.0708705908335485,4,2.467521021226988,1.530656156717413,4,"0.01,0.05,0.05,0.03","0.40,0.50,0.30,0.40"
pts,S3_usage_mid,4,0.4460872453767149,0.096332847399703,4,2.6436324002160383,0.3889230363051701,4,1.8176771791490196,0.8506490986337534,4,"0.03,0.00,0.01,0.05","0.30,0.25,0.30,0.30"
pts,S3_usage_high,4,0.1327215705776376,0.15356526932468928,3,3.403015551864965,0.838483998274542,4,0.188192965888956,0.41255320313065935,2,"0.03,0.05,0.05,0.03","0.10,0.10,0.15,0.15"
reb,S1_starter1,4,0.13937991142533004,0.1433983608813536,4,3.04486798354752,0.5283370793819518,4,0.4237340916138243,0.634659682691414,3,"0.05,0.03,0.02,0.03","0.15,0.15,0.15,0.10"
reb,S1_starter0,4,1.9656772386165011,0.44359240770529634,4,2.6222214298612694,0.7032067178381041,4,4.360539617378553,0.5776270109551058,4,"0.03,0.05,0.05,0.05","0.40,0.50,0.40,0.40"
reb,S2_min_lt15,4,0.9284898952450368,0.7373322709122714,3,1.816233869232174,0.9168168688325607,4,1.6298037834730503,1.30310460360898,4,"0.05,0.03,0.03,0.05","0.30,0.40,0.30,0.30"
reb,S2_min_15_25,4,1.2114782894878764,1.2737382848331513,3,2.2472255215117034,1.0962777390525482,4,3.7824057898667096,1.6871153996355173,4,"0.03,0.05,0.03,0.05","0.40,0.40,0.50,0.30"
reb,S2_min_ge25,4,0.122360327056981,0.2513306304717015,2,3.310135108107292,0.5286859122952027,4,0.3980923187516119,0.5269893944608354,3,"0.05,0.03,0.03,0.03","0.20,0.15,0.20,0.15"
reb,S3_usage_low,4,0.9972441889842962,0.9814060973945871,4,2.242075884916235,0.8664630115301294,4,2.987352664587119,1.1576050986783462,4,"0.02,0.03,0.05,0.05","0.40,0.40,0.40,0.30"
reb,S3_usage_mid,4,0.9384150490136545,0.5296542557338895,4,2.8237451737697943,0.2485664001568845,4,1.6136576562375162,0.8432391159114688,4,"0.05,0.03,0.02,0.03","0.30,0.30,0.30,0.30"
reb,S3_usage_high,4,0.4092680651785489,0.32652131927100997,3,2.971313912512785,0.22622338377510376,4,0.7757873973213698,0.2423663512553463,4,"0.05,0.05,0.02,0.03","0.20,0.20,0.20,0.20"
ast,S1_starter1,4,0.2387256902277602,0.317263894716174,3,3.327738780778044,0.7058076418945266,4,0.3204687114486944,0.23302427243924517,3,"0.05,0.05,0.03,0.02","0.20,0.15,0.20,0.25"
ast,S1_starter0,4,1.7335640904550984,1.599310911659405,3,2.9009279616103276,1.5581770207122256,4,3.4393044357832148,2.156828792346034,4,"0.00,0.05,0.03,0.00","0.50,0.50,0.40,0.50"
ast,S2_min_lt15,4,0.3836104488752999,1.7345851839408828,2,1.240016034867101,1.3020655347132473,3,1.1019409324908844,2.4335636632537265,3,"0.01,0.08,0.05,0.01","0.50,0.30,0.30,0.50"
ast,S2_min_15_25,4,1.2604006496363795,0.8869578495355392,4,3.084485871720681,0.8735774373711858,4,3.54227518533857,1.569492146554741,4,"0.05,0.08,0.05,0.03","0.40,0.40,0.30,0.40"
ast,S2_min_ge25,4,0.21800669353973828,0.287367995503923,3,3.6684228710164977,0.821097911469543,4,0.1149648760559071,0.4077392021863188,3,"0.01,0.02,0.01,0.00","0.25,0.15,0.25,0.25"
ast,S3_usage_low,4,0.7366421919046255,1.4016523156420722,3,1.9879075924928953,1.9025943036071713,3,2.014476117662465,1.2341843832056436,4,"0.05,0.08,0.08,0.01","0.40,0.40,0.30,0.50"
ast,S3_usage_mid,4,1.218100411132745,0.6806686528644509,4,3.8989905688012234,1.2835463975632038,4,2.027855709157499,0.9994835500109782,4,"0.00,0.03,0.02,0.02","0.40,0.30,0.40,0.40"
ast,S3_usage_high,4,0.05512452702798025,0.16048182816335277,2,3.1990734851248135,0.35115662232918826,4,0.08560172593283619,0.4430959797031328,2,"0.05,0.03,0.01,0.01","0.15,0.10,0.15,0.20"
