dR2_M,dR2_OxM,stage
4.697047327528736e-06,4.156501972729654e-05,C_drop2021_load_stage
1.3099053738141464e-05,2.1327269573712115e-06,C_drop2021_load_stage
1.2910512591890466e-05,0.0002478935409452321,C_drop2021_load_stage
0.00012486165028458007,3.847959334168927e-06,C_drop2021_load_stage
1.5321847148919154e-05,1.117571999798006e-05,C_drop2021_load_stage
1.4334802260207447e-05,4.254033794370837e-05,C_drop2021_load_stage
8.716279051523834e-06,7.50836084872919e-06,C_drop2021_load_stage
0.0001224795731484818,5.309432062117203e-05,C_drop2021_load_stage
1.1999133628481928e-05,1.1284487957063938e-05,C_drop2021_load_stage
2.0426271185591816e-07,3.1399628321882034e-06,C_drop2021_load_stage
4.9828632380344295e-05,0.00018289089441747564,C_drop2021_load_stage
9.636721420847039e-10,4.029958337037343e-06,C_drop2021_load_stage
2.243591454176297e-06,5.761931787251484e-08,C_drop2021_load_stage
1.223809563688505e-07,6.455027184659734e-06,C_drop2021_load_stage
1.5234763468097157e-05,8.691233666091591e-08,C_drop2021_load_stage
0.00015812856893149263,0.0002955081260247461,C_drop2021_load_stage
7.908030186443149e-05,0.00016281213159108354,C_drop2021_load_stage
5.499259738750428e-05,1.4311720530346683e-05,C_drop2021_load_stage
8.000855306056209e-07,1.0834030722550736e-06,C_drop2021_load_stage
1.4874126462838255e-05,6.5218367600872185e-06,C_drop2021_load_stage
8.108458004196795e-05,7.337253175854208e-05,C_drop2021_load_stage
3.516490381727522e-05,3.618384688053311e-05,C_drop2021_load_stage
3.313658958337129e-08,0.0001090079273226019,C_drop2021_load_stage
1.4964481262591534e-05,0.00013883536246284134,C_drop2021_load_stage
5.5347944141415084e-05,0.0004710980172107915,C_drop2021_load_stage
1.7912560479449446e-05,2.5495957781673795e-06,C_drop2021_load_stage
3.221093540972664e-05,7.531776913294319e-05,C_drop2021_load_stage
3.4912703930078948e-06,6.902617649018339e-06,C_drop2021_load_stage
0.00011307864452581029,0.00019474280036690939,C_drop2021_load_stage
9.381203890046486e-05,0.00012555875828546004,C_drop2021_load_stage
5.906583000481191e-10,1.7041781351090357e-05,C_drop2021_load_stage
2.6587275492317985e-08,2.2640461390111e-06,C_drop2021_load_stage
8.957197590364618e-05,0.00018920175538017503,C_drop2021_load_stage
1.4574329628480598e-05,2.3775736971431982e-06,C_drop2021_load_stage
0.00014622741191450128,0.00013829941543641588,C_drop2021_load_stage
1.0406699338938452e-06,0.00016957471713430206,C_drop2021_load_stage
0.00019055251276201002,3.856135663549143e-05,C_drop2021_load_stage
2.458119060522179e-06,5.8927857876533984e-05,C_drop2021_load_stage
5.629171000887112e-06,0.0006628674079590668,C_drop2021_load_stage
3.211796131430411e-05,0.00014682631328599705,C_drop2021_load_stage
0.00010506678176736006,2.041450532708211e-05,C_drop2021_load_stage
0.00012037829389233146,2.392939885320633e-05,C_drop2021_load_stage
1.248352877369907e-05,0.00014222488942217115,C_drop2021_load_stage
2.9888152042190086e-07,7.509392565885342e-06,C_drop2021_load_stage
0.00018984060511262335,0.0002098717140618378,C_drop2021_load_stage
5.822569118041354e-05,3.8387907684067635e-05,C_drop2021_load_stage
3.576266123206384e-05,2.522712034824792e-07,C_drop2021_load_stage
1.4040659134129108e-05,0.0003418593578800033,C_drop2021_load_stage
0.0002609161217494993,5.8297299028842176e-05,C_drop2021_load_stage
0.00016249092849707214,4.465411824650101e-05,C_drop2021_load_stage
3.2650698881364626e-05,8.771118046202453e-06,C_drop2021_load_stage
6.803845742897607e-05,3.4286311101361377e-06,C_drop2021_load_stage
4.870958731384434e-05,4.307350132015664e-06,C_drop2021_load_stage
3.144006958255563e-05,3.462541677401454e-05,C_drop2021_load_stage
0.0001906489572740533,7.012655995619621e-05,C_drop2021_load_stage
9.512321346827335e-05,3.296144673314849e-06,C_drop2021_load_stage
1.5721068531426852e-06,0.00011267127431979773,C_drop2021_load_stage
5.952137517639677e-06,3.404695137565472e-05,C_drop2021_load_stage
2.4077726824334178e-05,7.460684848092924e-05,C_drop2021_load_stage
4.0036791948416806e-07,1.6712151362119343e-05,C_drop2021_load_stage
0.00046687088969499246,1.693272159075665e-05,C_drop2021_load_stage
0.00021415420241188698,0.00013123387172742085,C_drop2021_load_stage
1.0655811077953103e-07,3.434400145385652e-07,C_drop2021_load_stage
6.771402557093076e-05,1.1024712046725504e-05,C_drop2021_load_stage
2.3275271524569874e-06,2.4182743748601965e-05,C_drop2021_load_stage
9.458736220746555e-05,2.7953578108586008e-05,C_drop2021_load_stage
2.4463462456436602e-05,0.00044220670881800483,C_drop2021_load_stage
1.1240558034586456e-05,3.071783317309951e-05,C_drop2021_load_stage
0.00012309334592508492,6.075642327019182e-07,C_drop2021_load_stage
5.201098877138932e-07,0.00023450260243174093,C_drop2021_load_stage
1.766022473703721e-05,0.00043778484933143513,C_drop2021_load_stage
4.888396733304656e-05,8.77589928940381e-05,C_drop2021_load_stage
2.201835792692286e-06,0.00014753591425487045,C_drop2021_load_stage
5.571349581456886e-06,0.00011763673161335753,C_drop2021_load_stage
2.8041267097211886e-07,2.7439459704403646e-08,C_drop2021_load_stage
7.947451463619082e-05,0.00013794463304850346,C_drop2021_load_stage
4.738751675481545e-05,4.393362190602268e-06,C_drop2021_load_stage
1.2433501055397755e-06,1.9708592105427414e-05,C_drop2021_load_stage
0.00012307186068405418,2.42073188128078e-05,C_drop2021_load_stage
3.587931221193941e-05,7.434792574256832e-06,C_drop2021_load_stage
8.877494992931556e-05,1.0605792376328083e-05,C_drop2021_load_stage
0.00024141549494538506,2.6761841316114143e-05,C_drop2021_load_stage
3.443776801614895e-06,4.333882607454598e-06,C_drop2021_load_stage
5.692645114363515e-05,2.0375582110432333e-08,C_drop2021_load_stage
3.46547331161462e-05,4.774575039045992e-05,C_drop2021_load_stage
0.00017780042895798598,0.0001042353005058505,C_drop2021_load_stage
0.00013574242039537943,2.0297230132193533e-06,C_drop2021_load_stage
4.127584990287758e-05,1.6066106188872276e-05,C_drop2021_load_stage
7.007313636464563e-05,5.946429467040826e-05,C_drop2021_load_stage
1.6523087887909682e-05,1.5235220418574613e-08,C_drop2021_load_stage
5.125653976689737e-05,2.2186359950659984e-05,C_drop2021_load_stage
0.00018031667266904527,0.00018638991686437123,C_drop2021_load_stage
9.267990653050173e-05,6.206388321050582e-06,C_drop2021_load_stage
0.00015988206071582134,5.929839286267224e-07,C_drop2021_load_stage
0.0003337419912774475,2.479266478405684e-05,C_drop2021_load_stage
1.1979002472184419e-05,7.549972405240801e-05,C_drop2021_load_stage
0.00031741777380100977,7.113674410996751e-05,C_drop2021_load_stage
5.046262407937263e-09,2.8883207227270447e-05,C_drop2021_load_stage
3.13162650026344e-05,2.5600130955094613e-06,C_drop2021_load_stage
0.0001001280375322322,1.9445391292727265e-06,C_drop2021_load_stage
0.000254972245516516,2.1951063862490905e-05,C_drop2021_load_stage
8.860733743343285e-05,3.3983862890440975e-07,C_drop2021_load_stage
0.00016117209121424558,2.5301007400280184e-08,C_drop2021_load_stage
3.780067610514859e-05,5.373039397404966e-05,C_drop2021_load_stage
4.796664787998228e-05,1.4316869536568078e-06,C_drop2021_load_stage
0.00010323993375904728,4.935128914418385e-07,C_drop2021_load_stage
5.411310260017288e-05,7.376578394779898e-06,C_drop2021_load_stage
1.2244446660036878e-05,6.551882661631758e-06,C_drop2021_load_stage
0.00024403632404046416,0.00023801961890446144,C_drop2021_load_stage
4.3706905221707615e-06,1.2583445893943335e-05,C_drop2021_load_stage
1.530420909534591e-05,2.8500306208378845e-06,C_drop2021_load_stage
1.708352915685829e-06,1.6166598363231977e-05,C_drop2021_load_stage
2.1058698959852684e-05,6.847479520910582e-05,C_drop2021_load_stage
7.477155839152871e-05,3.541430883180485e-05,C_drop2021_load_stage
0.00013353413891648014,3.881659973781204e-06,C_drop2021_load_stage
0.0004642869707373043,3.139947253882891e-05,C_drop2021_load_stage
0.00012060819320158789,5.2076360326336335e-05,C_drop2021_load_stage
2.296040642058017e-06,1.5046169463461823e-05,C_drop2021_load_stage
9.50893262940955e-06,1.632358553815827e-05,C_drop2021_load_stage
0.00014106483810572001,1.7094244346704812e-06,C_drop2021_load_stage
0.00010132442085397653,1.1280105662869744e-06,C_drop2021_load_stage
6.883223783782366e-05,7.344875535886253e-06,C_drop2021_load_stage
5.689669739405989e-05,0.0002848541472817434,C_drop2021_load_stage
1.8922380577213183e-05,4.393699148041996e-05,C_drop2021_load_stage
1.0301921378963463e-05,0.00015361427089621849,C_drop2021_load_stage
0.0001260794480705263,1.2859359806993709e-06,C_drop2021_load_stage
1.0938023069728686e-05,0.0001974456578569539,C_drop2021_load_stage
8.961897074222236e-06,2.4096863853073636e-05,C_drop2021_load_stage
2.498862817734704e-05,1.401764250397175e-05,C_drop2021_load_stage
0.00019575567512408742,8.308773810594694e-05,C_drop2021_load_stage
7.546363239407938e-06,7.732166397200757e-05,C_drop2021_load_stage
1.4826776419285537e-05,0.00014804789351696712,C_drop2021_load_stage
1.3521154785256506e-05,1.6021983343383894e-06,C_drop2021_load_stage
4.054185931634535e-06,3.2751270429787205e-05,C_drop2021_load_stage
4.388587907522279e-07,9.680780999055116e-07,C_drop2021_load_stage
8.690946430300883e-07,0.0001899974897190404,C_drop2021_load_stage
0.00017483369535475912,1.9050933293907057e-05,C_drop2021_load_stage
9.770939480535645e-05,7.690164568585622e-06,C_drop2021_load_stage
3.506535657948895e-06,6.725323345213585e-05,C_drop2021_load_stage
6.7921203684706555e-06,5.915145734669558e-05,C_drop2021_load_stage
3.571406062530258e-05,2.400308900696313e-05,C_drop2021_load_stage
7.282926501805953e-05,1.023176450265506e-05,C_drop2021_load_stage
0.00022181921078889832,0.00030869916628306626,C_drop2021_load_stage
1.3398510041451317e-06,8.431942066255971e-05,C_drop2021_load_stage
7.828696694467396e-06,1.9242528268681447e-05,C_drop2021_load_stage
1.4146705612505528e-06,0.0003589559992156488,C_drop2021_load_stage
3.069598702731824e-05,7.137374325427714e-05,C_drop2021_load_stage
1.8757100089916712e-05,7.3148567801828435e-06,C_drop2021_load_stage
0.00019726516175189168,5.093671517575338e-05,C_drop2021_load_stage
6.24744492813134e-05,0.00012546059598206316,C_drop2021_load_stage
8.048080807443458e-05,2.640842774481733e-05,C_drop2021_load_stage
0.000333908742787159,0.0002454058193017694,C_drop2021_load_stage
3.2042969963952395e-05,7.610379123557109e-07,C_drop2021_load_stage
3.969869890863009e-05,0.00012477075814376626,C_drop2021_load_stage
6.352531931952399e-05,1.06339977357095e-06,C_drop2021_load_stage
1.2191548950046815e-05,9.077657265321726e-06,C_drop2021_load_stage
7.535593953722497e-06,8.891626746110326e-05,C_drop2021_load_stage
6.891355064930771e-06,1.0761004940906815e-05,C_drop2021_load_stage
2.5128759188475236e-05,1.707218030422286e-05,C_drop2021_load_stage
6.784076005617035e-05,0.00023712653925045402,C_drop2021_load_stage
0.000125756966245949,1.5064349010218692e-05,C_drop2021_load_stage
0.0001718716946693677,2.8570815839734642e-05,C_drop2021_load_stage
0.0002912805546351205,1.0397115311366889e-05,C_drop2021_load_stage
9.132075383000426e-05,0.00013614710489484594,C_drop2021_load_stage
1.067295716639105e-05,3.912034362052452e-05,C_drop2021_load_stage
3.3056884848226e-05,6.072511203203401e-05,C_drop2021_load_stage
4.468257252310259e-06,0.0001223795305503872,C_drop2021_load_stage
3.471868894378005e-06,7.077378248121491e-06,C_drop2021_load_stage
0.00017338157949420285,0.00013663358459481412,C_drop2021_load_stage
3.203770798654304e-05,9.395951608870412e-06,C_drop2021_load_stage
4.399193867876683e-05,0.0005360436706326466,C_drop2021_load_stage
0.00019522203003730088,4.3721126122275855e-05,C_drop2021_load_stage
2.380909627452965e-06,3.865153883952921e-06,C_drop2021_load_stage
9.858726844380605e-05,5.907873859622992e-05,C_drop2021_load_stage
4.261712716058241e-08,1.5859800680084746e-05,C_drop2021_load_stage
0.00011464846531716866,3.591395627711158e-05,C_drop2021_load_stage
8.091872221016594e-05,9.90110678604772e-05,C_drop2021_load_stage
3.602389972279241e-05,0.00040580494691089264,C_drop2021_load_stage
