stratum,base,candidate,n,realised_paired_dr2_points,D084_form_ceiling_var_share,implied_optimal_rescaling,DIAGNOSTIC_ORACLE_ceiling_best_rescaling,corr_shift_with_reference_residual,r2_of_reference_points
POOLED,B_SINGLE,T01_c04_tiptime,14852,0.007004952103689094,0.0023589850344178233,1.984738563722566,0.009292483573137358,0.12953592295255523,0.48785535955844683
POOLED,B_SINGLE,P01_c04_prevgame,14852,0.002824935478013521,0.0016218912874182974,1.3708769508560008,0.0030480261585900115,0.07062566603308598,0.48785535955844683
POOLED,B_SINGLE,P02_c04_availweighted,14852,0.0009101395411592421,0.0046735366383880254,0.5973716065135164,0.0016677648048137026,0.04461963154519231,0.48785535955844683
POOLED,B_SINGLE,G01_noise,14852,2.678217658433916e-05,3.218639325352553e-05,0.916048116565617,2.7009023668272002e-05,0.0071208164691995,0.48785535955844683
POOLED,B_COMPLETE,T01_c04_tiptime,14852,0.004531979151942373,0.0009070788541167067,2.9981175183250817,0.008153467545576007,0.12564466582671063,0.4908722750698644
POOLED,B_COMPLETE,P01_c04_prevgame,14852,0.0014332657148704918,0.00035627448394090364,2.511462761824156,0.0022471817850511088,0.06519581330745797,0.4908722750698644
POOLED,B_COMPLETE,P02_c04_availweighted,14852,0.0005624045602721793,0.00039792989423327596,1.2066628675332498,0.000579399963332266,0.03355142388778215,0.4908722750698644
POOLED,B_COMPLETE,G01_noise,14852,3.671360527295221e-05,3.6448182791738953e-05,1.0036410934768663,3.671408848698469e-05,0.008514620258597791,0.4908722750698644
DECISION,B_SINGLE,T01_c04_tiptime,5673,0.011520831717217225,0.004070399895144638,1.9151965426001274,0.014930136439436623,0.1454389758828227,0.2891553144532639
DECISION,B_SINGLE,P01_c04_prevgame,5673,0.0038420071144962833,0.0023936898696195895,1.302528172771785,0.004061085499339489,0.07616356756305871,0.2891553144532639
DECISION,B_SINGLE,P02_c04_availweighted,5673,0.004344996373317544,0.004156724613406897,1.0226466481930754,0.004347128235473237,0.07926371223136607,0.2891553144532639
DECISION,B_SINGLE,G01_noise,5673,0.0002774237909582732,0.00020788561791692048,1.1672510434780126,0.00028323895695963366,0.019947909272775937,0.2891553144532639
DECISION,B_COMPLETE,T01_c04_tiptime,5673,0.010521691965205965,0.003483825605582897,2.010077305296906,0.014076086508989874,0.14137575494496485,0.2913149903257264
DECISION,B_COMPLETE,P01_c04_prevgame,5673,0.003313932316460438,0.0019278878513117282,1.3594722753726702,0.00356305459528779,0.07142157358391381,0.2913149903257264
DECISION,B_COMPLETE,P02_c04_availweighted,5673,0.0032055026699872105,0.002127258727394261,1.2534350732018669,0.0033421350862474675,0.06883404658210815,0.2913149903257264
DECISION,B_COMPLETE,G01_noise,5673,0.0002836251081720125,0.0002131067805367905,1.1654530359324906,0.00028945884387007726,0.020203373261586277,0.2913149903257264
