population,n,n_clusters,target,placeholder,mae,r2_of_forecast,r2_league,dr2_vs_league_mean,p_cluster,p_row_NAIVE
zero_same_season,71,71,pts,P0_champion,5.8280496117639915,-0.9159762893453283,-0.916625812484593,0.0006495231392653398,0.0004997501249375312,0.0004997501249375312
zero_same_season,71,71,pts,P1full_running_mean,5.7179783693207815,-0.8423475782362531,-0.916625812484593,0.0742782342483393,0.0004997501249375312,0.0004997501249375312
zero_same_season,71,71,pts,P2_position,5.90709021064572,-0.9571153387809179,-0.916625812484593,-0.04048952629632497,0.3503248375812094,0.3503248375812094
zero_same_season,71,71,pts,P3_draft_bin,5.125529102353155,-0.6086527043340013,-0.916625812484593,0.3079731081505916,0.0384807596201899,0.0384807596201899
zero_same_season,71,71,pts,P3_draft_ols,4.8015196387794,-0.3891213342948805,-0.916625812484593,0.5275044781897122,0.0014992503748125937,0.0014992503748125937
zero_same_season,71,71,pts,P4_teamrole,5.280376787021098,-0.5907039989121945,-0.916625812484593,0.32592181357239836,0.0004997501249375312,0.0004997501249375312
zero_same_season,71,71,pts,P5c_additive,4.608729147995687,-0.3490353580220864,-0.916625812484593,0.5675904544625063,0.0014992503748125937,0.0014992503748125937
zero_same_season,71,71,pts,P1c_career_mean,4.650284575396609,-0.43148046737237555,-0.916625812484593,0.48514534511221685,0.03398300849575212,0.03398300849575212
zero_same_season,71,71,pts,P5e_careerblend_k3,4.256908266844296,-0.17166025211623515,-0.916625812484593,0.7449655603683578,0.001999000499750125,0.001999000499750125
zero_same_season,71,71,minutes,P0_champion,11.112378344987338,-1.2234247194532006,-1.2064643738135747,-0.01696034563962561,0.0004997501249375312,0.0004997501249375312
zero_same_season,71,71,minutes,P1full_running_mean,10.765524179186238,-1.0923817512141336,-1.2064643738135747,0.11408262259944138,0.0004997501249375312,0.0004997501249375312
zero_same_season,71,71,minutes,P2_position,11.167052581844027,-1.2289414922578326,-1.2064643738135747,-0.022477118444257652,0.5912043978010995,0.5912043978010995
zero_same_season,71,71,minutes,P3_draft_bin,10.298379855095833,-0.9103355902813961,-1.2064643738135747,0.2961287835321784,0.013993003498250875,0.013993003498250875
zero_same_season,71,71,minutes,P3_draft_ols,10.020331440042417,-0.7806396842792502,-1.2064643738135747,0.42582468953432445,0.0009995002498750624,0.0009995002498750624
zero_same_season,71,71,minutes,P4_teamrole,9.988364081600505,-0.8131185995013979,-1.2064643738135747,0.39334577431217715,0.0004997501249375312,0.0004997501249375312
zero_same_season,71,71,minutes,P5c_additive,9.384576078269351,-0.5648416416323658,-1.2064643738135747,0.6416227321812092,0.0004997501249375312,0.0004997501249375312
zero_same_season,71,71,minutes,P1c_career_mean,9.490318692502802,-0.623085967925519,-1.2064643738135747,0.5833784058880556,0.0014992503748125937,0.0014992503748125937
zero_same_season,71,71,minutes,P5e_careerblend_k3,8.822092822889623,-0.35634194257536644,-1.2064643738135747,0.8501224312382087,0.0004997501249375312,0.0004997501249375312
zero_career,22,22,pts,P0_champion,5.816391769096452,-2.1911845736856166,-2.1919600808437885,0.0007755071581709482,0.12893553223388307,0.12893553223388307
zero_career,22,22,pts,P1full_running_mean,5.674580216900905,-2.000772580433823,-2.1919600808437885,0.19118750040996568,0.0014992503748125937,0.0014992503748125937
