target,tier,n,excess_abs_err_sum,share_of_pooled_total
pts,0,47,36.09500373943905,0.04742239073787711
pts,1-2,610,1061.8251456661892,1.3950486697987485
pts,3-7,1474,-57.695405192247904,-0.07580146184657091
pts,8-14,1912,-42.10398734559041,-0.05531712239008766
pts,15-24,2403,-129.17524792236745,-0.16971321363081973
pts,25+,3071,-107.80708513733451,-0.14163926266914728
minutes,0,47,16.336109835519576,0.007966508641845511
minutes,1-2,610,1894.678332144157,0.9239636277251926
minutes,3-7,1474,134.11315031162684,0.06540195809773826
minutes,8-14,1912,-1.5193423449101786,-0.0007409263308411022
minutes,15-24,2403,-3.4514803571917447,-0.001683157640930096
minutes,25+,3071,10.44162551091059,0.005091989506995017
fga,0,47,28.257773110600727,0.03704923099553701
fga,1-2,610,863.0646520677205,1.1315782575430264
fga,3-7,1474,34.542698645458586,0.04528950021347283
fga,8-14,1912,10.658141164921211,0.01397406414357799
fga,15-24,2403,-112.5569488906192,-0.1475752665745978
fga,25+,3071,-61.25755396467385,-0.08031578632101656
ppm,0,47,1.1981131316543152,0.0524690720063718
ppm,1-2,610,15.295766750038934,0.6698488363050652
ppm,3-7,1474,3.2868152369388093,0.14393978396719564
ppm,8-14,1912,1.506840325603882,0.06598918871463157
ppm,15-24,2403,-0.03929219330897568,-0.0017207264201923081
ppm,25+,3071,1.5864112577103775,0.0694738454269281
