response,stratum,tier,column,n_scored,dr2,p_cluster
ppm,POOLED,ALL_TIERS,FROZEN_A10,11705,0.001556403040635914,0.10694652673663169
ppm,POOLED,ALL_TIERS,CLEAN_rebuild,11705,0.001556403040635793,0.10694652673663169
ppm,POOLED,ALL_TIERS,LEAKY_positive_control,11705,0.004405829320013354,0.0024987506246876563
ppm,POOLED,T3_high_usage,FROZEN_A10,3983,0.014362831759674332,0.0004997501249375312
ppm,POOLED,T3_high_usage,CLEAN_rebuild,3983,0.014362831759676967,0.0004997501249375312
ppm,POOLED,T3_high_usage,LEAKY_positive_control,3983,0.030067117283109603,0.0004997501249375312
ppm,DECISION,ALL_TIERS,FROZEN_A10,4514,0.005028055896625616,0.16141929035482258
ppm,DECISION,ALL_TIERS,CLEAN_rebuild,4514,0.005028055896625364,0.16141929035482258
ppm,DECISION,ALL_TIERS,LEAKY_positive_control,4514,0.012360947095603462,0.005997001499250375
ppm,DECISION,T3_high_usage,FROZEN_A10,1687,0.023862917871899685,0.0009995002498750624
ppm,DECISION,T3_high_usage,CLEAN_rebuild,1687,0.02386291787188327,0.0009995002498750624
ppm,DECISION,T3_high_usage,LEAKY_positive_control,1687,0.03888627786531239,0.0004997501249375312
points,POOLED,ALL_TIERS,FROZEN_A10,11705,0.0024159538851543866,0.0004997501249375312
points,POOLED,ALL_TIERS,CLEAN_rebuild,11705,0.0024159538851533406,0.0004997501249375312
points,POOLED,ALL_TIERS,LEAKY_positive_control,11705,0.005940405925156559,0.0004997501249375312
points,POOLED,T3_high_usage,FROZEN_A10,3983,0.010787871829551142,0.0009995002498750624
points,POOLED,T3_high_usage,CLEAN_rebuild,3983,0.010787871829553028,0.0009995002498750624
points,POOLED,T3_high_usage,LEAKY_positive_control,3983,0.02190206553563652,0.0004997501249375312
points,DECISION,ALL_TIERS,FROZEN_A10,4514,0.0033354248642841694,0.23288355822088955
points,DECISION,ALL_TIERS,CLEAN_rebuild,4514,0.0033354248642912428,0.23288355822088955
points,DECISION,ALL_TIERS,LEAKY_positive_control,4514,0.008490820670305118,0.021989005497251374
points,DECISION,T3_high_usage,FROZEN_A10,1687,0.018702810112816298,0.008995502248875561
points,DECISION,T3_high_usage,CLEAN_rebuild,1687,0.018702810112797546,0.008995502248875561
points,DECISION,T3_high_usage,LEAKY_positive_control,1687,0.030209720842659868,0.0009995002498750624
