step,base,cell_id,null,draw,dr2
s02_walkforward,B_COMPLETE,A10_opp_defrtg|ppm|POOLED,cluster_sign_flip,0,0.0003684129095361864
s02_walkforward,B_COMPLETE,A10_opp_defrtg|ppm|POOLED,cluster_sign_flip,4,0.0005022669694611388
s02_walkforward,B_COMPLETE,A10_opp_defrtg|ppm|POOLED,cluster_sign_flip,8,-0.00034622338083377055
s02_walkforward,B_COMPLETE,A10_opp_defrtg|ppm|POOLED,cluster_sign_flip,12,0.00036379384899148443
s02_walkforward,B_COMPLETE,A10_opp_defrtg|ppm|POOLED,cluster_sign_flip,16,-0.00036185366987432195
s02_walkforward,B_COMPLETE,A10_opp_defrtg|ppm|POOLED,cluster_sign_flip,20,-0.00038279531514140804
s02_walkforward,B_COMPLETE,A10_opp_defrtg|ppm|POOLED,cluster_sign_flip,24,-0.0007467889873358106
s02_walkforward,B_COMPLETE,A10_opp_defrtg|ppm|POOLED,cluster_sign_flip,28,-0.0003685699282114798
s02_walkforward,B_COMPLETE,A10_opp_defrtg|ppm|POOLED,cluster_sign_flip,32,-0.00034124844485176013
s02_walkforward,B_COMPLETE,A10_opp_defrtg|ppm|POOLED,cluster_sign_flip,36,0.0006849077275256543
s02_walkforward,B_COMPLETE,A10_opp_defrtg|ppm|POOLED,cluster_sign_flip,40,-2.8090009036190362e-05
s02_walkforward,B_COMPLETE,A10_opp_defrtg|ppm|POOLED,cluster_sign_flip,44,-0.0006054817254733147
s02_walkforward,B_COMPLETE,A10_opp_defrtg|ppm|POOLED,cluster_sign_flip,48,0.0009672713653448361
s02_walkforward,B_COMPLETE,A10_opp_defrtg|ppm|POOLED,cluster_sign_flip,52,-0.00023459880192307033
s02_walkforward,B_COMPLETE,A10_opp_defrtg|ppm|POOLED,cluster_sign_flip,56,0.00028808908107946096
s02_walkforward,B_COMPLETE,A10_opp_defrtg|ppm|POOLED,cluster_sign_flip,60,0.00022821719429814676
s02_walkforward,B_COMPLETE,A10_opp_defrtg|ppm|POOLED,cluster_sign_flip,64,-0.00044550858022166667
s02_walkforward,B_COMPLETE,A10_opp_defrtg|ppm|POOLED,cluster_sign_flip,68,-0.000133260464884003
s02_walkforward,B_COMPLETE,A10_opp_defrtg|ppm|POOLED,cluster_sign_flip,72,-0.00018027290742611421
