step,cell,draw,dr2
s07_swap_null,REAL|ppm|POOLED|T1_low,0,-0.000923199944863709
s07_swap_null,REAL|ppm|POOLED|T1_low,2,-0.0004163215486606485
s07_swap_null,REAL|ppm|POOLED|T1_low,4,-7.340458316260804e-05
s07_swap_null,REAL|ppm|POOLED|T1_low,6,-0.00014018259531634235
s07_swap_null,REAL|ppm|POOLED|T1_low,8,-3.33478445645959e-06
s07_swap_null,REAL|ppm|POOLED|T1_low,10,-0.0002517754017157219
s07_swap_null,REAL|ppm|POOLED|T1_low,12,0.00024888867317529584
s07_swap_null,REAL|ppm|POOLED|T1_low,14,-0.00022417590658557434
s07_swap_null,REAL|ppm|POOLED|T1_low,16,-0.00022471840175839023
s07_swap_null,REAL|ppm|POOLED|T1_low,18,4.7041225757236844e-05
s07_swap_null,REAL|ppm|POOLED|T1_low,20,-0.0004079443250565969
s07_swap_null,REAL|ppm|POOLED|T1_low,22,2.1971886375866666e-05
s07_swap_null,REAL|ppm|POOLED|T1_low,24,-0.001211550177751455
s07_swap_null,REAL|ppm|POOLED|T1_low,26,-0.00020750872084208106
s07_swap_null,REAL|ppm|POOLED|T1_low,28,-3.7899530227169616e-05
s07_swap_null,REAL|ppm|POOLED|T1_low,30,6.758177770719277e-05
s07_swap_null,REAL|ppm|POOLED|T1_low,32,-0.0005986582016450999
s07_swap_null,REAL|ppm|POOLED|T1_low,34,-0.000533609413256972
s07_swap_null,REAL|ppm|POOLED|T1_low,36,0.000525725841790118
s07_swap_null,REAL|ppm|POOLED|T1_low,38,-0.00015765279197087315
s07_swap_null,REAL|ppm|POOLED|T1_low,40,-4.2640574802353506e-05
s07_swap_null,REAL|ppm|POOLED|T1_low,42,-0.0003858665908002277
s07_swap_null,REAL|ppm|POOLED|T1_low,44,-0.0004913220430443991
s07_swap_null,REAL|ppm|POOLED|T1_low,46,0.0003489092461630239
s07_swap_null,REAL|ppm|POOLED|T1_low,48,6.368243362057974e-05
s07_swap_null,REAL|ppm|POOLED|T1_low,50,-0.00030251392051067736
s07_swap_null,REAL|ppm|POOLED|T1_low,52,-0.0002507267618011566
s07_swap_null,REAL|ppm|POOLED|T1_low,54,-4.582683273976327e-05
s07_swap_null,REAL|ppm|POOLED|T1_low,56,-0.0002736204072631777
s07_swap_null,REAL|ppm|POOLED|T1_low,58,-0.0002810890451089199
s07_swap_null,REAL|ppm|POOLED|T1_low,60,-0.00033302623813771955
s07_swap_null,REAL|ppm|POOLED|T1_low,62,-0.00032123933477772206
