response,stratum,tier,n,tier_cut_low,tier_cut_high,mae_without,mae_with,mae_pct_reduction,dr2_a_minus_b,p_cluster,p_row_NAIVE,n_clusters_present,null_sd_cluster,null_sd_row,null_width_inflation_cluster_over_row
ppm,POOLED,T1_low_usage,4474,6.64758712069823,11.913567676767675,0.20598658238327414,0.20576389446171595,0.10810797430671482,0.0002289584217582961,0.7361319340329835,0.767616191904048,36,0.0006263500460185123,0.0007782709945954345,0.8047968514413225
ppm,POOLED,T2_mid_usage,3308,6.64758712069823,11.913567676767675,0.16329918140351063,0.1633016548101434,-0.0015146472943206035,0.0003439974949731057,0.4892553723138431,0.45077461269365315,36,0.0004533457040958575,0.00046883641900290603,0.9669592329452705
ppm,POOLED,T3_high_usage,3923,6.64758712069823,11.913567676767675,0.15471155612232482,0.1539567437972952,0.4878836099565853,0.006371930266781103,0.004497751124437781,0.0004997501249375312,36,0.0025362601644639544,0.0016843964895869505,1.5057382155230559
ppm,DECISION,T1_low_usage,1393,11.747530864197529,15.615555555555554,0.1420783421764743,0.14210020399133377,-0.015387155089641169,-0.0035972526485850338,0.18990504747626186,0.1504247876061969,36,0.002682823163587173,0.0025247986738591226,1.062588946740261
ppm,DECISION,T2_mid_usage,1415,11.747530864197529,15.615555555555554,0.15162068539365212,0.15167077971024695,-0.03303923634481176,-0.0024945512347517053,0.03798100949525238,0.00849575212393803,36,0.0012684100016655824,0.0010545310643262865,1.2028190013311155
ppm,DECISION,T3_high_usage,1706,11.747530864197529,15.615555555555554,0.16314959187928396,0.16256331996020798,0.3593462369858469,0.0043651885251107265,0.16691654172913542,0.047476261869065464,36,0.003096218150019991,0.002207877538594017,1.402350490866297
points,POOLED,T1_low_usage,4474,6.64758712069823,11.913567676767675,2.8590634482797848,2.857964643443935,0.03843233477420771,0.00024013211235242887,0.8335832083958021,0.760119940029985,36,0.0010674370743121743,0.0007659201002868724,1.3936663549009485
points,POOLED,T2_mid_usage,3308,6.64758712069823,11.913567676767675,4.137828801519427,4.137052387074755,0.018763812663935564,0.00029214542592226306,0.4482758620689655,0.38580709645177413,36,0.00037327341902133394,0.0003386819963123178,1.1021354045554799
points,POOLED,T3_high_usage,3923,6.64758712069823,11.913567676767675,5.280750002497116,5.26191277904421,0.35671492579648634,0.005650707463359666,0.031984007996002,0.0014992503748125937,36,0.002683840895571646,0.001664074353089062,1.612813087702221
points,DECISION,T1_low_usage,1393,11.747530864197529,15.615555555555554,4.315582893151231,4.31794533590524,-0.0547421475267873,-0.003072868284677896,0.2708645677161419,0.16991504247876063,36,0.0027160302805882184,0.0022790911058600347,1.1917164143217964
points,DECISION,T2_mid_usage,1415,11.747530864197529,15.615555555555554,5.031552050334256,5.033912073820093,-0.04690448319379925,-0.0017618494911804399,0.06196901549225387,0.017991004497751123,36,0.0009646551753290341,0.0007681831510814901,1.2557619546470655
points,DECISION,T3_high_usage,1706,11.747530864197529,15.615555555555554,5.699199362305782,5.677086506310156,0.38799934148434634,0.005189870042693772,0.1424287856071964,0.02048975512243878,36,0.0033150386432562913,0.0022919316604887692,1.446395065090788
