response,stratum,tier,n_rows_in_tier,n_scored_walkforward,mean_prior_usage,tier_cut_low,tier_cut_high,beta_defence_in_sample,se_naive,t_naive,se_cluster_robust,t_cluster_robust,dr2_a_minus_b,p_cluster,p_row_NAIVE,n_clusters_present,null_sd_cluster,null_sd_row,null_width_inflation_cluster_over_row
ppm,POOLED,T1_low_usage,5644,4610,4.226842257435649,6.770172839506169,11.80363636363636,0.0008014375758871543,0.0008468830049330866,0.9463380079878648,0.0008622215516596248,0.9295030660559666,-0.00030500384764418394,0.7831084457771115,0.6316841579210395,36,0.0009554295244191529,0.0005914837111360401,1.6153099509436972
ppm,POOLED,T2_mid_usage,4146,3112,9.181299060920404,6.770172839506169,11.80363636363636,0.0013640219476207527,0.0006564379919323626,2.077914387016919,0.0006198471851616197,2.2005777879996273,-0.000781750957721774,0.5372313843078461,0.5477261369315343,36,0.00122954654977107,0.0012743803315211281,0.9648191512053992
ppm,POOLED,T3_high_usage,5017,3983,16.276385706105312,6.770172839506169,11.80363636363636,0.004875001561120529,0.0005726833537423467,8.512560264347789,0.0007268876366473418,6.7066783301002735,0.014362831759674207,0.0004997501249375312,0.0004997501249375312,36,0.004306502498320645,0.002705539097943242,1.5917354517605975
ppm,DECISION,T1_low_usage,1644,1259,8.692627638160005,11.396666666666663,15.656666666666666,0.0024942759687796023,0.0009487461343711783,2.6290235906286874,0.0008633217362942738,2.8891615534737305,-0.004076762802944688,0.38630684657671166,0.37181409295352325,36,0.004219202018224849,0.004367760141494403,0.9659875729305213
ppm,DECISION,T2_mid_usage,1953,1568,13.527260654545284,11.396666666666663,15.656666666666666,0.003696806317726953,0.0009632020114904959,3.8380384110767922,0.0009005817494267003,4.104909210163648,0.0051790003695836905,0.10394802598700649,0.04897551224387806,36,0.0031425485074227017,0.002681303712513555,1.1720225846689925
ppm,DECISION,T3_high_usage,2073,1687,18.74368013153534,11.396666666666663,15.656666666666666,0.006803572991362916,0.000987628047765485,6.8888009071391245,0.0011198985420877332,6.07516907619112,0.023862917871899772,0.0009995002498750624,0.0004997501249375312,36,0.00788177627944741,0.005417485270711696,1.4548772881872514
points,POOLED,T1_low_usage,5644,4610,4.226842257435649,6.770172839506169,11.80363636363636,0.0008014375758871543,0.0008468830049330866,0.9463380079878648,0.0008622215516596248,0.9295030660559666,0.0005948821282660011,0.4827586206896552,0.38130934532733635,36,0.0008158399216663773,0.00067625787933432,1.2064035726570108
points,POOLED,T2_mid_usage,4146,3112,9.181299060920404,6.770172839506169,11.80363636363636,0.0013640219476207527,0.0006564379919323626,2.077914387016919,0.0006198471851616197,2.2005777879996273,-0.0005005084195426787,0.567216391804098,0.6221889055472264,36,0.0008794815387283359,0.0010566953079839839,0.8322943539952447
points,POOLED,T3_high_usage,5017,3983,16.276385706105312,6.770172839506169,11.80363636363636,0.004875001561120529,0.0005726833537423467,8.512560264347789,0.0007268876366473418,6.7066783301002735,0.010787871829550997,0.0009995002498750624,0.0004997501249375312,36,0.00368311799031072,0.002341015916713921,1.5732989955406644
points,DECISION,T1_low_usage,1644,1259,8.692627638160005,11.396666666666663,15.656666666666666,0.0024942759687796023,0.0009487461343711783,2.6290235906286874,0.0008633217362942738,2.8891615534737305,-0.004805734516440843,0.328335832083958,0.27786106946526734,36,0.004478500426888974,0.004239013171829069,1.0564959921925814
points,DECISION,T2_mid_usage,1953,1568,13.527260654545284,11.396666666666663,15.656666666666666,0.003696806317726953,0.0009632020114904959,3.8380384110767922,0.0009005817494267003,4.104909210163648,0.0022479303641695383,0.36431784107946025,0.34632683658170915,36,0.0023922634544266716,0.0024146403044221425,0.9907328433330256
points,DECISION,T3_high_usage,2073,1687,18.74368013153534,11.396666666666663,15.656666666666666,0.006803572991362916,0.000987628047765485,6.8888009071391245,0.0011198985420877332,6.07516907619112,0.018702810112816066,0.008995502248875561,0.0004997501249375312,36,0.0076805639834418415,0.005163549925019156,1.4874580656665866
