screen,json,multiplicity.n_tests_in_sweep,multiplicity.n_tests,multiplicity.n_cells_clearing_own_nominal_floor,multiplicity.n_cells_surviving_familywise,summary.n_cells_screened,screen_design.n_candidates_after_dedupe,screen_design.n_cells,attrition.n_cells_p_correct_lt_0p05,attrition.n_cells_p_correct_ge_0p05,attrition.n_cells_familywise_lt_0p05_absres_family,abstention_on_rates.n_candidates,abstention_on_rates.n_cells,step5_abstention_on_rates.n_candidates,step5_abstention_on_rates.n_cells,n_cells,attrition.n_candidates,attrition.n_cells,n_candidates_preselected,n_candidates_screened,n_candidates_no_coarser_level,k1_attrition.n_cells,volume_offset.n_candidates,candidate_accounting.n_screened,candidate_accounting.n_cells,headline.points_per_minute_ppm.n_cells,headline.efg_and_ts.n_cells,mechanism_volume_offset.result.n_candidates,family_verdicts.A_own_profile.n_cells,family_verdicts.B_form_trend.n_cells,family_verdicts.C_assisted.n_cells,family_verdicts.D_quality_index.n_cells,family_verdicts.E_opp_conceded.n_cells,family_verdicts.F_interaction.n_cells,family_verdicts.G_control.n_cells,statistics.n_candidates_with_no_coarser_constant_level,n_cells_run,n_cells_prereg,preregistration.n_candidates,preregistration.n_cells_preregistered,stage1_noise_floor.post_hoc_position_nulls.n_cells,decision_stratum_n,attrition.n_candidates_preselected,attrition.n_candidates_declared_addition_before_any_statistic,attrition.n_candidates_screened,attrition.n_candidates_added_after_seeing_results,attrition.n_candidates_dropped_after_seeing_results,preselection.n_screened,STEP_2_POOLING.why_N1_and_N4_disagree.n_cells,step2_preregistration.n_cells
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear\FINDINGS.json,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0_I0013_possession_volume,E0_I0013_possession_volume\FINDINGS.json,,27.0,11.0,1.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0_I0014_residual_heterogeneity,E0_I0014_residual_heterogeneity\FINDINGS.json,,,,,,58.0,348.0,115.0,59.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0_I0015_points_skill_decomposition,E0_I0015_points_skill_decomposition\_s03.json,,,,,,,,,,,55.0,550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0_I0015_points_skill_decomposition,E0_I0015_points_skill_decomposition\FINDINGS.json,,,,,,,,,,,,,55.0,550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0_I0016_efficiency_predictors,E0_I0016_efficiency_predictors\_s02.json,,,,,,,,,,,,,,,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0_I0016_efficiency_predictors,E0_I0016_efficiency_predictors\FINDINGS.json,,,,,,,,,,,,,,,,44.0,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0_I0017_shot_quality_efficiency,E0_I0017_shot_quality_efficiency\_s01.json,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0_I0017_shot_quality_efficiency,E0_I0017_shot_quality_efficiency\_s02.json,,,,,,,,,,,,,,,117.0,,117.0,39.0,39.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0_I0017_shot_quality_efficiency,E0_I0017_shot_quality_efficiency\_s03.json,,,,,,,,,,,,,,,,,,,,,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0_I0017_shot_quality_efficiency,E0_I0017_shot_quality_efficiency\_s04.json,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0_I0017_shot_quality_efficiency,E0_I0017_shot_quality_efficiency\FINDINGS.json,,,,,,,,,,,,,,,,,,,,,,,39.0,117.0,39.0,78.0,12.0,36.0,18.0,15.0,12.0,18.0,12.0,6.0,33.0,,,,,,,,,,,,,,
E0_I0024_reb_ast_characterisation,E0_I0024_reb_ast_characterisation\_s04.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,125.0,,,,,,,,,,,,
E0_I0024_reb_ast_characterisation,E0_I0024_reb_ast_characterisation\FINDINGS.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,125.0,,,,,,,,,,
E1_I0008_height_mismatch,E1_I0008_height_mismatch\FINDINGS.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,
E1_I0018_teammate_volume_channel,E1_I0018_teammate_volume_channel\_s02.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5673.0,,,,,,,,
E1_I0018_teammate_volume_channel,E1_I0018_teammate_volume_channel\_s03.json,,,,,,,,,,,,,,,,,154.0,,,,,,,,,,,,,,,,,,,,,,,,5673.0,16.0,2.0,18.0,0.0,0.0,,,
E1_I0018_teammate_volume_channel,E1_I0018_teammate_volume_channel\FINDINGS.json,,,,,,,,,,,,,,,,,154.0,,,,,,,,,,,,,,,,,,,,,,,,,16.0,2.0,18.0,0.0,0.0,18.0,,
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic\FINDINGS.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,
E1_I0022_optimal_simple_estimator,E1_I0022_optimal_simple_estimator\_s03.json,,,,,,,,,,,,,,,15048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1_I0022_optimal_simple_estimator,E1_I0022_optimal_simple_estimator\FINDINGS.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15048.0
