n_target,n,n_player_seasons,n_clusters,null,base,carrier,null_mean,null_sd,type1_at_delta0,mde80_per_cell,mde80_K44,mde80_K132,mde80_K318
3549,3554,142,142,N_A_within_player_cyclic,B_COMPLETE,P01_c04_prevgame,0.0005881311565060411,0.0006484067203702762,0.054945054945054944,0.005767118884184975,0.009698553116085366,,
3549,3554,142,46,N_B_entity_swap_team_season,B_COMPLETE,P01_c04_prevgame,0.00023622906905306412,0.0003691080041005412,0.06393606393606394,0.002172127159533108,0.0042339349967383385,0.0049419158817678045,0.0049419158817678045
3549,3554,142,1467,N_D_within_date_opp_swap,B_COMPLETE,A10_opp_defrtg,0.00016436772241195752,0.0002046347093431025,0.06793206793206794,0.0011451726512223348,0.002141684017267177,0.002375677046332135,0.002375677046332135
4517,4534,180,180,N_A_within_player_cyclic,B_COMPLETE,P01_c04_prevgame,0.0010407369787079504,0.0007705667437379633,0.04295704295704296,0.008334273889620951,,,
4517,4534,180,48,N_B_entity_swap_team_season,B_COMPLETE,P01_c04_prevgame,0.00019849933089289673,0.0002709428553825993,0.030969030969030968,0.0015471964296300891,0.002873687179491947,0.003227103910731634,0.003227103910731634
4517,4534,180,1570,N_D_within_date_opp_swap,B_COMPLETE,A10_opp_defrtg,0.00016503597665767708,0.00027531138350598005,0.04095904095904096,0.0015871382347949273,0.0032564314129502545,0.0036846636457311794,0.0036846636457311794
5111,5123,208,208,N_A_within_player_cyclic,B_COMPLETE,P01_c04_prevgame,0.0004789053403013617,0.0005669007612743071,0.04495504495504495,0.004968721274011559,0.008544357070312095,0.009091883164049772,0.009091883164049772
5111,5123,208,48,N_B_entity_swap_team_season,B_COMPLETE,P01_c04_prevgame,0.00017699182154923176,0.00023876703930225137,0.03596403596403597,0.0015879784139815525,0.002870813144852586,0.003192762888062427,0.003192762888062427
5111,5123,208,1615,N_D_within_date_opp_swap,B_COMPLETE,A10_opp_defrtg,0.00010762135245370914,0.00015735961382536414,0.05094905094905095,0.0009584497381389845,0.0019015770358507883,0.002129689680616128,0.002129689680616128
5673,5706,227,227,N_A_within_player_cyclic,B_COMPLETE,P01_c04_prevgame,0.00041065165926628495,0.00039623056822511704,0.04695304695304695,0.0037241323315938294,0.006294885779428159,0.0066809734147199535,0.0066809734147199535
5673,5706,227,48,N_B_entity_swap_team_season,B_COMPLETE,P01_c04_prevgame,0.00015601420372788827,0.0002266208865987426,0.04395604395604396,0.0016201818339085384,0.0029286445646252352,0.003248694407099648,0.003248694407099648
5673,5706,227,1621,N_D_within_date_opp_swap,B_COMPLETE,A10_opp_defrtg,0.00013949507978718796,0.00018791479177986147,0.03796203796203796,0.0007914455701700607,0.0015409266096480458,0.001761390359315417,0.001761390359315417
9517,9541,388,388,N_A_within_player_cyclic,B_COMPLETE,P01_c04_prevgame,0.0004641315221326342,0.0003167547085645605,0.054945054945054944,0.0036566419498022477,0.005654880989871704,0.006235048810347778,0.006235048810347778
9517,9541,388,48,N_B_entity_swap_team_season,B_COMPLETE,P01_c04_prevgame,9.170028164935489e-05,0.0001321344971826859,0.04395604395604396,0.0008623503831919631,0.0015871064645641255,0.0017575208970387489,0.0017575208970387489
9517,9541,388,1632,N_D_within_date_opp_swap,B_COMPLETE,A10_opp_defrtg,6.562289094377965e-05,9.381080752702733e-05,0.04895104895104895,0.0006153368205912936,0.0011212262362697992,0.0012578278666778055,0.0012578278666778055
11738,11753,473,473,N_A_within_player_cyclic,B_COMPLETE,P01_c04_prevgame,0.0008001261469467815,0.0004721150611586473,0.04695304695304695,0.005603598122868009,0.0090859488636981,0.009490513682222982,0.009490513682222982
11738,11753,473,48,N_B_entity_swap_team_season,B_COMPLETE,P01_c04_prevgame,0.00011850344417659817,0.00016799552449193507,0.03896103896103896,0.0012518173992646232,0.0022212883469594413,0.0025220129475342266,0.0025220129475342266
11738,11753,473,1632,N_D_within_date_opp_swap,B_COMPLETE,A10_opp_defrtg,4.005485319542032e-05,6.0594627148518464e-05,0.05094905094905095,0.000289560375025126,0.0006269345759934295,0.0007046098628153914,0.0007046098628153914
14327,14328,574,574,N_A_within_player_cyclic,B_COMPLETE,P01_c04_prevgame,0.0005037652698328305,0.0003180387274989862,0.04795204795204795,0.003756203939862428,0.005793969310148041,0.006377237450798953,0.006377237450798953
14327,14328,574,48,N_B_entity_swap_team_season,B_COMPLETE,P01_c04_prevgame,6.540840143518698e-05,8.6842754846954e-05,0.060939060939060936,0.0006952089981939816,0.0011808398780086158,0.0013193559833315916,0.0013193559833315916
14327,14328,574,1632,N_D_within_date_opp_swap,B_COMPLETE,A10_opp_defrtg,3.8384119419609276e-05,5.563448202229759e-05,0.04295704295704296,0.0002634288071421768,0.0005186683003745664,0.0005903212750398021,0.0005903212750398021
14852,14852,600,600,N_A_within_player_cyclic,B_COMPLETE,P01_c04_prevgame,0.00048626464000414184,0.00032896198566963175,0.04795204795204795,0.0037793257822603286,0.006009278253607347,0.006518924896837446,0.006518924896837446
14852,14852,600,48,N_B_entity_swap_team_season,B_COMPLETE,P01_c04_prevgame,7.705302962933641e-05,0.00010149187709061664,0.06593406593406594,0.0008158830429310886,0.0014255673170816574,0.0016015248389016127,0.0016015248389016127
14852,14852,600,1632,N_D_within_date_opp_swap,B_COMPLETE,A10_opp_defrtg,3.332796724094131e-05,4.74523574077407e-05,0.053946053946053944,0.00024116997164634106,0.0004858765890864875,0.0005381335293373866,0.0005381335293373866
