stratum,base,null,delta,mu_null,sd_null,mu_null_delta0,sd_null_delta0,rel_drift_mu,rel_drift_sd,reps,draws
DECISION,B_SINGLE,N_A_within_player_cyclic,0.0003,0.0008657991812387,0.0005491435795336,0.0012184271647293,0.0006406614938048,-0.2894124439263425,-0.1428490945003206,6,300
DECISION,B_SINGLE,N_A_within_player_cyclic,0.001,0.0006388740815853,0.0004646916682428,0.0012184271647293,0.0006406614938048,-0.4756567318266465,-0.2746689589800311,6,300
DECISION,B_SINGLE,N_A_within_player_cyclic,0.003,0.0003556847263637,0.0003327271002878,0.0012184271647293,0.0006406614938048,-0.7080787948101975,-0.4806506969666287,6,300
DECISION,B_SINGLE,N_A_within_player_cyclic,0.01,0.0001007172237978,0.000136683434417,0.0012184271647293,0.0006406614938048,-0.917338330338208,-0.7866526461497048,6,300
DECISION,B_SINGLE,N_B_entity_swap_team_season,0.0003,0.0001493449680729,0.0002107167371377,0.0001765594060462,0.0002277167465477,-0.1541375709324321,-0.0746541906454955,6,300
DECISION,B_SINGLE,N_B_entity_swap_team_season,0.001,0.0001380437469514,0.0001960643508141,0.0001765594060462,0.0002277167465477,-0.2181456086499816,-0.1389989810299171,6,300
DECISION,B_SINGLE,N_B_entity_swap_team_season,0.003,0.0001292853129394,0.0001852680531014,0.0001765594060462,0.0002277167465477,-0.2677517678916741,-0.1864100646518323,6,300
DECISION,B_SINGLE,N_B_entity_swap_team_season,0.01,0.0001499146623082,0.0002153410983573,0.0001765594060462,0.0002277167465477,-0.1509109275718753,-0.0543466757629184,6,300
DECISION,B_SINGLE,N_C_entity_swap_opp_team_season,0.0003,0.0003913081734784,0.0005481745011172,0.0004157098908675,0.000543194458839,-0.0586989098052356,0.0091680653165338,6,300
DECISION,B_SINGLE,N_C_entity_swap_opp_team_season,0.001,0.0004069504827115,0.0005736885513713,0.0004157098908675,0.000543194458839,-0.021070964026677,0.0561384455163508,6,300
DECISION,B_SINGLE,N_C_entity_swap_opp_team_season,0.003,0.0004498462351099,0.0006409284348239,0.0004157098908675,0.000543194458839,0.0821157855329324,0.1799244716041815,6,300
DECISION,B_SINGLE,N_C_entity_swap_opp_team_season,0.01,0.0005921593706494,0.0008503769708929,0.0004157098908675,0.000543194458839,0.4244534076723072,0.5655111296799917,6,300
DECISION,B_SINGLE,N_D_within_date_opp_swap,0.0003,0.0001279714820871,0.0001673539418129,0.000105416475061,0.0001511483309902,0.2139609298547704,0.1072166044873593,6,300
DECISION,B_SINGLE,N_D_within_date_opp_swap,0.001,0.0001522367796666,0.0001903684646858,0.000105416475061,0.0001511483309902,0.4441459893098139,0.2594810901230502,6,300
DECISION,B_SINGLE,N_D_within_date_opp_swap,0.003,0.0002066653523372,0.0002393726536558,0.000105416475061,0.0001511483309902,0.960465403700595,0.5836936609730166,6,300
DECISION,B_SINGLE,N_D_within_date_opp_swap,0.01,0.0003707859752281,0.0003607590773184,0.000105416475061,0.0001511483309902,2.517343707549928,1.386788361836179,6,300
DECISION,B_COMPLETE,N_A_within_player_cyclic,0.0003,0.0006275485916642,0.0004601739191326,0.0009207783661197,0.000551969252438,-0.3184585837861629,-0.1663051572165855,6,300
DECISION,B_COMPLETE,N_A_within_player_cyclic,0.001,0.0004451248135353,0.0003784284144193,0.0009207783661197,0.000551969252438,-0.5165776804561781,-0.3144030890347866,6,300
DECISION,B_COMPLETE,N_A_within_player_cyclic,0.003,0.0002307051316362,0.0002558247381007,0.0009207783661197,0.000551969252438,-0.7494455342077245,-0.5365235708858817,6,300
DECISION,B_COMPLETE,N_A_within_player_cyclic,0.01,9.9859573856165e-05,0.000138887438669,0.0009207783661197,0.000551969252438,-0.8915487401414671,-0.7483783053936408,6,300
DECISION,B_COMPLETE,N_B_entity_swap_team_season,0.0003,0.0001415925915742,0.0002024108036004,0.0001661219781544,0.0002152856946583,-0.1476588880819084,-0.0598037462651604,6,300
DECISION,B_COMPLETE,N_B_entity_swap_team_season,0.001,0.0001324651203153,0.0001895377798514,0.0001661219781544,0.0002152856946583,-0.2026032811134375,-0.1195988188983053,6,300
DECISION,B_COMPLETE,N_B_entity_swap_team_season,0.003,0.0001277506408948,0.0001833328555142,0.0001661219781544,0.0002152856946583,-0.2309829059703538,-0.1484206333111862,6,300
DECISION,B_COMPLETE,N_B_entity_swap_team_season,0.01,0.0001540173793619,0.0002228866751175,0.0001661219781544,0.0002152856946583,-0.0728657275031273,0.0353064817952303,6,300
DECISION,B_COMPLETE,N_C_entity_swap_opp_team_season,0.0003,0.0004008642167423,0.0005643870236648,0.0004259281153509,0.0005514240365527,-0.0588453725059054,0.023508201044544,6,300
DECISION,B_COMPLETE,N_C_entity_swap_opp_team_season,0.001,0.0004176253975689,0.0005861719314391,0.0004259281153509,0.0005514240365527,-0.0194932371982955,0.0630148353770811,6,300
DECISION,B_COMPLETE,N_C_entity_swap_opp_team_season,0.003,0.0004636863581629,0.0006546371552418,0.0004259281153509,0.0005514240365527,0.0886493317795506,0.187175588743465,6,300
