stratum,base,null,carrier,n,n_clusters,family_size_K,t_crit,mu_null_delta0,sd_null_delta0,mde80_DRIFT_CORRECTED,status
DECISION,B_SINGLE,N_E_entity_swap_player_season,P01_c04_prevgame,5673,343,1,1.645,0.0001665989709203799,0.0002342086618272611,0.0011036087316883731,OK
DECISION,B_SINGLE,N_E_entity_swap_player_season,P01_c04_prevgame,5673,343,18,5.065914990765384,0.0001665989709203799,0.0002342086618272611,0.0021140119154075907,OK
DECISION,B_SINGLE,N_E_entity_swap_player_season,P01_c04_prevgame,5673,343,39,5.748932232686749,0.0001665989709203799,0.0002342086618272611,0.0023045401713603143,OK
DECISION,B_SINGLE,N_E_entity_swap_player_season,P01_c04_prevgame,5673,343,44,5.866627662225086,0.0001665989709203799,0.0002342086618272611,0.0023371340383075315,OK
DECISION,B_SINGLE,N_E_entity_swap_player_season,P01_c04_prevgame,5673,343,132,6.97447469907285,0.0001665989709203799,0.0002342086618272611,0.002640975474248974,OK
DECISION,B_SINGLE,N_E_entity_swap_player_season,P01_c04_prevgame,5673,343,154,7.0083281495438365,0.0001665989709203799,0.0002342086618272611,0.0026501836565999528,OK
DECISION,B_SINGLE,N_E_entity_swap_player_season,P01_c04_prevgame,5673,343,250,6.964093931192527,0.0001665989709203799,0.0002342086618272611,0.0026381511283382984,OK
DECISION,B_SINGLE,N_E_entity_swap_player_season,P01_c04_prevgame,5673,343,318,6.97447469907285,0.0001665989709203799,0.0002342086618272611,0.002640975474248974,OK
DECISION,B_SINGLE,N_E_entity_swap_player_season,P01_c04_prevgame,5673,343,348,6.97447469907285,0.0001665989709203799,0.0002342086618272611,0.002640975474248974,OK
DECISION,B_COMPLETE,N_E_entity_swap_player_season,P01_c04_prevgame,5673,343,1,1.645,0.00016892199114504922,0.00023589563449948942,0.0011083822139108118,OK
DECISION,B_COMPLETE,N_E_entity_swap_player_season,P01_c04_prevgame,5673,343,18,5.065914990765384,0.00016892199114504922,0.00023589563449948942,0.0021222249283400444,OK
DECISION,B_COMPLETE,N_E_entity_swap_player_season,P01_c04_prevgame,5673,343,39,5.748932232686749,0.00016892199114504922,0.00023589563449948942,0.0023131213114217686,OK
DECISION,B_COMPLETE,N_E_entity_swap_player_season,P01_c04_prevgame,5673,343,44,5.866627662225086,0.00016892199114504922,0.00023589563449948942,0.0023457715671636042,OK
DECISION,B_COMPLETE,N_E_entity_swap_player_season,P01_c04_prevgame,5673,343,132,6.97447469907285,0.00016892199114504922,0.00023589563449948942,0.0026500541011060777,OK
DECISION,B_COMPLETE,N_E_entity_swap_player_season,P01_c04_prevgame,5673,343,154,7.0083281495438365,0.00016892199114504922,0.00023589563449948942,0.0026592724858278045,OK
DECISION,B_COMPLETE,N_E_entity_swap_player_season,P01_c04_prevgame,5673,343,250,6.964093931192527,0.00016892199114504922,0.00023589563449948942,0.002647225829277962,OK
DECISION,B_COMPLETE,N_E_entity_swap_player_season,P01_c04_prevgame,5673,343,318,6.97447469907285,0.00016892199114504922,0.00023589563449948942,0.0026500541011060777,OK
DECISION,B_COMPLETE,N_E_entity_swap_player_season,P01_c04_prevgame,5673,343,348,6.97447469907285,0.00016892199114504922,0.00023589563449948942,0.0026500541011060777,OK
POOLED,B_SINGLE,N_E_entity_swap_player_season,P01_c04_prevgame,14852,600,1,1.645,7.554016867518544e-05,0.00010880898024338902,0.0005314033666632483,OK
